Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,J. Goff QB - LA ,8.08,J. White RB - NE ,11.80,S. Barkley RB - NYG ,14.60,K. Allen WR - LAC ,22.80,A. Thielen WR - MIN ,8.80,G. Kittle TE - SF ,7.00,D. Lewis RB - TEN ,3.40,W. Lutz K - NO ,4.00,Seahawks DEF ,16.00,D. Brees QB - NO ,7.28,J. Gordon WR - NE ,11.80,A. Robinson WR - CHI ,7.90,L. Fournette RB - JAX ,0.00,K. Johnson RB - DET ,0.00,Texans DEF ,18.00,96.48,Ben,82.30
Sawyer,8,M. Ryan QB - ATL ,7.64,D. Johnson RB - ARI ,7.20,M. Mack RB - IND ,3.30,T. Hilton WR - IND ,7.70,D. Adams WR - GB ,15.30,T. Burton TE - CHI ,0.00,C. Ridley WR - ATL ,2.20,M. Crosby K - GB ,5.00,Vikings DEF ,2.00,T. Brady QB - NE ,14.94,M. Jones WR - DET ,0.00,A. Jeffery WR - PHI ,3.10,C. Kupp WR - LA ,0.00,T. Cohen RB - CHI ,22.64,C. Carson RB - SEA ,10.80,50.34,Elijah,72.06
Leo,1,A. Luck QB - IND ,9.52,S. Ware RB - KC ,11.20,T. Gurley RB - LA ,28.50,B. Cooks WR - LA ,6.20,T. Hill WR - KC ,5.00,T. Kelce TE - KC ,26.80,N. Chubb RB - CLE ,13.20,H. Butker K - KC ,12.00,Titans DEF ,5.00,M. Brown RB - LA ,0.80,T. Coleman RB - ATL ,1.10,A. Cooper WR - DAL ,5.60,J. Howard RB - CHI ,8.00,J. Mixon RB - CIN ,9.50,K. Golladay WR - DET ,5.00,117.42,Ari,106.04
Ari,5,B. Roethlisberger QB - PIT ,17.24,J. Conner RB - PIT ,19.40,C. McCaffrey RB - CAR ,22.10,R. Woods WR - LA ,13.80,M. Thomas WR - NO ,4.00,E. Ebron TE - IND ,5.20,A. Ekeler RB - LAC ,4.30,S. Gostkowski K - NE ,6.00,Broncos DEF ,14.00,J. Edelman WR - NE ,6.00,M. Ingram RB - NO ,2.80,K. Cousins QB - MIN ,8.04,M. Breida RB - SF ,5.70,S. Michel RB - NE ,7.00,D. Moore WR - CAR ,6.50,106.04,Leo,117.42
Elijah,2,D. Watson QB - HOU ,15.96,L. Miller RB - HOU ,11.50,T. Yeldon RB - JAX ,6.50,E. Sanders WR - DEN ,1.90,D. Hopkins WR - HOU ,9.10,Z. Ertz TE - PHI ,8.30,M. Evans WR - TB ,4.80,C. Parkey K - CHI ,9.00,Bears DEF ,5.00,J. Nelson WR - LV ,9.70,J. Cook TE - LV ,16.00,T. Lockett WR - SEA ,12.20,C. Wentz QB - PHI ,19.84,K. Hunt RB ,0.00,D. Njoku TE - CLE ,0.80,72.06,Sawyer,50.34
Jack,4,P. Mahomes QB - KC ,33.00,E. Elliott RB - DAL ,19.50,A. Jones RB - GB ,11.20,O. Beckham WR - NYG ,15.46,J. Smith-Schuster WR - PIT ,4.90,G. Olsen TE - CAR ,1.30,P. Lindsay RB - DEN ,27.90,J. Tucker K - BAL ,14.00,Rams DEF ,9.00,S. Diggs WR - MIN ,4.90,T. Boyd WR - CIN ,9.70,D. Cook RB - MIN ,10.60,J. Adams RB - PHI ,8.50,G. Edwards RB - BAL ,8.20,Chiefs DEF ,8.00,136.26,Brad,71.42
Ben,7,C. Newton QB - CAR ,15.30,K. Drake RB - MIA ,10.40,P. Barber RB - TB ,8.50,A. Green WR - CIN ,0.70,A. Brown WR - PIT ,21.40,J. Graham TE - GB ,5.00,M. Goodwin WR - SF ,0.00,G. Zuerlein K - LA ,12.00,Eagles DEF ,9.00,R. Cobb WR - GB ,2.50,D. Johnson RB - CLE ,1.20,M. Gordon RB - LAC ,0.00,O. Howard TE - TB ,0.00,J. Williams RB - GB ,2.70,J. Lambo K - JAX ,6.00,82.30,Dylan,96.48
Brad,6,A. Rodgers QB - GB ,15.32,A. Peterson RB - WAS ,15.80,A. Kamara RB - NO ,7.20,G. Tate WR - PHI ,16.50,J. Jones WR - ATL ,1.80,R. Gronkowski TE - NE ,2.60,D. Thomas WR - HOU ,3.20,J. Elliott K - PHI ,8.00,Steelers DEF ,1.00,M. Crabtree WR - BAL ,3.60,K. Rudolph TE - MIN ,3.80,J. Reed TE - WAS ,2.10,T. Williams WR - LAC ,1.40,R. Freeman RB - DEN ,2.80,-,-,71.42,Jack,136.26
