Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,D. Brees QB - NO ,40.54,M. Lynch RB - LV ,14.60,S. Barkley RB - NYG ,17.70,K. Allen WR - LAC ,2.40,N. Agholor WR - PHI ,2.40,J. Reed TE - WAS ,6.50,G. Bernard RB - CIN ,14.60,H. Butker K - KC ,8.00,Browns DEF ,9.00,J. Gordon WR - NE ,0.00,C. Thompson RB - WAS ,1.70,A. Cooper WR - DAL ,1.70,J. Ajayi RB - PHI ,0.00,L. Fournette RB - JAX ,0.00,J. Mixon RB - CIN ,0.00,115.74,Ari,99.74
Sawyer,8,T. Brady QB - NE ,7.52,L. Murray RB - MIN ,3.10,D. Johnson RB - ARI ,12.10,D. Adams WR - GB ,11.20,A. Robinson WR - CHI ,5.00,J. Cook TE - LV ,3.10,C. Kupp WR - LA ,12.80,M. Crosby K - GB ,5.00,Vikings DEF ,3.00,D. Baldwin WR - SEA ,0.00,M. Jones WR - DET ,12.90,A. Jeffery WR - PHI ,0.00,D. Henry RB - TEN ,5.70,C. Davis WR - TEN ,3.40,D. Cook RB - MIN ,0.00,62.82,Jack,113.76
Leo,1,B. Roethlisberger QB - PIT ,24.02,T. Coleman RB - ATL ,10.70,T. Gurley RB - LA ,19.60,A. Thielen WR - MIN ,10.50,T. Hill WR - KC ,5.60,T. Kelce TE - KC ,11.40,J. Howard RB - CHI ,14.10,M. Bryant K - ATL ,3.00,Ravens DEF ,6.00,R. Wilson QB - SEA ,15.58,B. Cooks WR - LA ,9.00,D. Freeman RB - ATL ,0.00,W. Fuller WR - HOU ,16.10,K. Golladay WR - DET ,11.30,S. Michel RB - NE ,4.90,104.92,Elijah,104.80
Ari,4,K. Cousins QB - MIN ,10.04,J. Conner RB - PIT ,9.50,C. McCaffrey RB - CAR ,19.40,J. Landry WR - CLE ,12.30,M. Thomas WR - NO ,12.90,G. Kittle TE - SF ,9.90,M. Breida RB - SF ,11.70,R. Gould K - SF ,7.00,Jaguars DEF ,7.00,M. Ingram RB - NO ,0.00,C. Hogan WR - NE ,3.10,R. Woods WR - LA ,23.70,L. Bell RB - PIT ,0.00,D. Funchess WR - CAR ,12.70,A. Jones RB - GB ,4.70,99.74,Dylan,115.74
Elijah,6,D. Watson QB - HOU ,25.00,L. Miller RB - HOU ,9.10,K. Hunt RB ,16.40,D. Hopkins WR - HOU ,8.60,S. Diggs WR - MIN ,1.70,Z. Ertz TE - PHI ,7.30,M. Evans WR - TB ,19.70,S. Gostkowski K - NE ,4.00,Bears DEF ,13.00,J. Nelson WR - LV ,23.30,L. Blount RB - DET ,6.50,E. Sanders WR - DEN ,13.30,K. Stills WR - MIA ,12.10,D. Njoku TE - CLE ,3.60,Jets DEF ,4.00,104.80,Leo,104.92
Jack,2,P. Mahomes QB - KC ,25.26,C. Hyde RB - JAX ,22.30,E. Elliott RB - DAL ,11.80,T. Hilton WR - IND ,5.00,O. Beckham WR - NYG ,10.90,E. Engram TE - NYG ,1.90,J. Smith-Schuster WR - PIT ,11.60,J. Tucker K - BAL ,13.00,Rams DEF ,12.00,L. McCoy RB - BUF ,0.00,C. Wentz QB - PHI ,11.20,A. Collins RB - BAL ,13.40,K. Cole WR - JAX ,4.00,A. Ekeler RB - LAC ,5.10,P. Lindsay RB - DEN ,2.00,113.76,Sawyer,62.82
Ben,7,C. Newton QB - CAR ,29.60,M. Gordon RB - LAC ,14.40,P. Barber RB - TB ,3.30,A. Green WR - CIN ,5.80,A. Brown WR - PIT ,11.00,J. Graham TE - GB ,4.50,K. Drake RB - MIA ,1.00,J. Lambo K - JAX ,6.00,Eagles DEF ,3.00,R. Cobb WR - GB ,0.20,M. Goodwin WR - SF ,8.80,D. Johnson RB - CLE ,3.30,D. Booker RB - DEN ,4.40,J. Williams RB - GB ,4.50,G. Zuerlein K - LA ,0.00,78.60,Brad,98.50
Brad,5,A. Rodgers QB - GB ,19.90,D. Lewis RB - TEN ,4.00,A. Kamara RB - NO ,19.00,G. Tate WR - PHI ,6.90,J. Jones WR - ATL ,9.60,R. Gronkowski TE - NE ,5.10,A. Peterson RB - WAS ,24.00,J. Elliott K - PHI ,8.00,Broncos DEF ,2.00,M. Crabtree WR - BAL ,6.10,D. Thomas WR - HOU ,6.30,K. Rudolph TE - MIN ,10.80,L. Fitzgerald WR - ARI ,0.90,S. Watkins WR - KC ,13.50,R. Freeman RB - DEN ,11.80,98.50,Ben,78.60
