Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,J. Goff QB - LA ,29.34,J. White RB - NE ,22.30,K. Johnson RB - DET ,4.40,K. Allen WR - LAC ,15.20,A. Thielen WR - MIN ,8.70,G. Kittle TE - SF ,16.80,L. Murray RB - MIN ,10.70,W. Lutz K - NO ,11.00,Texans DEF ,5.00,D. Jackson WR - TB ,3.20,D. Brees QB - NO ,31.44,J. Gordon WR - NE ,19.00,J. Brown WR - BAL ,1.50,L. Fournette RB - JAX ,0.00,S. Barkley RB - NYG ,0.00,123.44,Leo,126.90
Sawyer,8,T. Brady QB - NE ,15.66,D. Cook RB - MIN ,10.90,C. Carson RB - SEA ,4.00,D. Adams WR - GB ,10.00,C. Kupp WR - LA ,14.90,T. Burton TE - CHI ,8.80,C. Ridley WR - ATL ,13.70,M. Crosby K - GB ,5.00,Vikings DEF ,22.00,M. Ryan QB - ATL ,28.00,D. Baldwin WR - SEA ,7.70,M. Jones WR - DET ,6.60,A. Jeffery WR - PHI ,0.00,D. Johnson RB - ARI ,0.00,M. Mack RB - IND ,0.00,104.96,Ari,118.24
Leo,1,R. Wilson QB - SEA ,19.50,T. Gurley RB - LA ,13.90,N. Chubb RB - CLE ,15.00,B. Cooks WR - LA ,17.40,T. Hill WR - KC ,8.50,T. Kelce TE - KC ,21.90,J. Howard RB - CHI ,16.70,H. Butker K - KC ,7.00,Cowboys DEF ,7.00,B. Roethlisberger QB - PIT ,25.20,C. Thompson RB - WAS ,0.00,A. Robinson WR - CHI ,0.00,T. Coleman RB - ATL ,27.60,J. Mixon RB - CIN ,0.00,K. Golladay WR - DET ,5.40,126.90,Dylan,123.44
Ari,4,K. Cousins QB - MIN ,6.86,J. Conner RB - PIT ,22.30,C. McCaffrey RB - CAR ,27.70,R. Woods WR - LA ,7.50,M. Thomas WR - NO ,27.10,J. Reed TE - WAS ,3.40,J. Edelman WR - NE ,11.38,S. Gostkowski K - NE ,7.00,Broncos DEF ,5.00,M. Ingram RB - NO ,1.60,L. Bell RB - PIT ,0.00,J. Doyle TE - IND ,0.00,J. Landry WR - CLE ,5.00,M. Breida RB - SF ,4.70,S. Michel RB - NE ,0.00,118.24,Sawyer,104.96
Elijah,2,D. Watson QB - HOU ,20.32,L. Miller RB - HOU ,4.80,K. Hunt RB ,32.10,D. Hopkins WR - HOU ,16.50,M. Evans WR - TB ,1.60,D. Njoku TE - CLE ,5.30,E. Sanders WR - DEN ,4.70,C. Parkey K - CHI ,11.00,Bears DEF ,28.00,J. Nelson WR - LV ,1.60,Z. Ertz TE - PHI ,0.00,T. Lockett WR - SEA ,2.20,T. Yeldon RB - JAX ,0.00,C. Wentz QB - PHI ,0.00,124.32,Brad,85.26
Jack,5,P. Mahomes QB - KC ,26.80,E. Elliott RB - DAL ,11.20,P. Lindsay RB - DEN ,8.40,D. Funchess WR - CAR ,4.40,J. Smith-Schuster WR - PIT ,7.80,G. Olsen TE - CAR ,13.60,T. Cohen RB - CHI ,1.30,J. Tucker K - BAL ,10.00,Chiefs DEF ,4.00,T. Hilton WR - IND ,0.00,O. Beckham WR - NYG ,0.00,S. Diggs WR - MIN ,0.00,A. Collins RB - BAL ,9.90,T. Boyd WR - CIN ,0.00,A. Jones RB - GB ,6.50,87.50,Ben,62.68
Ben,7,C. Newton QB - CAR ,21.18,K. Drake RB - MIA ,3.50,P. Barber RB - TB ,4.00,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,10.20,J. Graham TE - GB ,11.50,M. Goodwin WR - SF ,1.30,G. Zuerlein K - LA ,11.00,Eagles DEF ,0.00,R. Cobb WR - GB ,2.40,D. Johnson RB - CLE ,20.60,M. Gordon RB - LAC ,18.30,O. Howard TE - TB ,17.30,J. Williams RB - GB ,5.40,J. Lambo K - JAX ,0.00,62.68,Jack,87.50
Brad,6,A. Rodgers QB - GB ,19.16,A. Peterson RB - WAS ,3.30,A. Kamara RB - NO ,29.60,M. Crabtree WR - BAL ,3.20,J. Jones WR - ATL ,18.10,R. Gronkowski TE - NE ,0.00,L. McCoy RB - BUF ,2.90,G. Gano K - CAR ,6.00,Steelers DEF ,3.00,G. Tate WR - PHI ,0.00,D. Thomas WR - HOU ,6.10,K. Rudolph TE - MIN ,2.80,L. Fitzgerald WR - ARI ,0.00,R. Freeman RB - DEN ,0.00,J. Elliott K - PHI ,0.00,85.26,Elijah,124.32
