Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,D. Brees QB - NO ,8.58,G. Bernard RB - CIN ,21.60,L. Fournette RB - JAX ,3.50,K. Allen WR - LAC ,6.30,A. Robinson WR - CHI ,8.30,O. Howard TE - TB ,0.00,S. Barkley RB - NYG ,16.00,H. Butker K - KC ,9.00,Seahawks DEF ,4.00,J. Gordon WR - NE ,3.20,J. White RB - NE ,23.20,J. Ajayi RB - PHI ,8.10,N. Agholor WR - PHI ,2.20,J. Mixon RB - CIN ,0.00,K. Johnson RB - DET ,11.60,77.28,Elijah,117.20
Sawyer,8,M. Ryan QB - ATL ,29.26,D. Johnson RB - ARI ,15.20,D. Cook RB - MIN ,2.00,D. Adams WR - GB ,8.10,C. Kupp WR - LA ,28.20,D. Goedert TE - PHI ,1.30,M. Lynch RB - LV ,15.70,M. Crosby K - GB ,14.00,Vikings DEF ,-3.00,T. Brady QB - NE ,18.96,D. Baldwin WR - SEA ,4.10,M. Jones WR - DET ,5.60,A. Jeffery WR - PHI ,16.50,C. Davis WR - TEN ,22.10,C. Ridley WR - ATL ,17.50,110.76,Brad,125.12
Leo,1,P. Rivers QB - LAC ,21.70,T. Coleman RB - ATL ,7.70,T. Gurley RB - LA ,21.60,A. Thielen WR - MIN ,19.50,T. Hill WR - KC ,5.60,T. Kelce TE - KC ,13.80,J. Howard RB - CHI ,2.50,M. Bryant K - ATL ,14.00,Chargers DEF ,5.00,R. Wilson QB - SEA ,8.98,B. Cooks WR - LA ,18.60,D. Freeman RB - ATL ,0.00,W. Fuller WR - HOU ,10.90,K. Golladay WR - DET ,7.40,C. Carson RB - SEA ,0.00,111.40,Ben,83.34
Ari,5,K. Cousins QB - MIN ,31.68,J. Conner RB - PIT ,6.40,M. Breida RB - SF ,7.10,J. Landry WR - CLE ,9.40,M. Thomas WR - NO ,4.70,E. Ebron TE - IND ,10.00,R. Woods WR - LA ,16.10,W. Lutz K - NO ,15.00,Jaguars DEF ,9.00,J. Edelman WR - NE ,0.00,M. Ingram RB - NO ,0.00,L. Bell RB - PIT ,0.00,D. Funchess WR - CAR ,0.00,C. McCaffrey RB - CAR ,0.00,S. Michel RB - NE ,17.20,109.38,Jack,125.16
Elijah,4,D. Watson QB - HOU ,31.10,L. Miller RB - HOU ,4.90,K. Hunt RB ,23.50,E. Sanders WR - DEN ,6.30,S. Diggs WR - MIN ,12.30,Z. Ertz TE - PHI ,11.20,M. Evans WR - TB ,5.90,S. Gostkowski K - NE ,8.00,Bears DEF ,14.00,J. Nelson WR - LV ,12.80,L. Blount RB - DET ,1.20,D. Hopkins WR - HOU ,22.90,K. Stills WR - MIA ,4.00,D. Njoku TE - CLE ,5.20,Jets DEF ,7.00,117.20,Dylan,77.28
Jack,2,P. Mahomes QB - KC ,22.86,C. Hyde RB - JAX ,14.20,E. Elliott RB - DAL ,30.00,O. Beckham WR - NYG ,7.00,J. Smith-Schuster WR - PIT ,6.00,T. Burton TE - CHI ,14.60,T. Hilton WR - IND ,11.50,J. Tucker K - BAL ,14.00,Rams DEF ,5.00,L. McCoy RB - BUF ,3.70,C. Wentz QB - PHI ,20.72,A. Collins RB - BAL ,8.50,T. Boyd WR - CIN ,10.00,K. Cole WR - JAX ,1.50,P. Lindsay RB - DEN ,13.90,125.16,Ari,109.38
Ben,7,R. Fitzpatrick QB - TB ,3.04,M. Gordon RB - LAC ,23.90,K. Drake RB - MIA ,1.60,A. Green WR - CIN ,13.80,A. Brown WR - PIT ,12.20,J. Graham TE - GB ,8.10,J. Williams RB - GB ,2.70,J. Lambo K - JAX ,13.00,Eagles DEF ,5.00,R. Cobb WR - GB ,0.00,C. Newton QB - CAR ,0.00,M. Goodwin WR - SF ,2.80,D. Johnson RB - CLE ,9.60,P. Barber RB - TB ,3.00,G. Zuerlein K - LA ,0.00,83.34,Leo,111.40
Brad,3,A. Rodgers QB - GB ,15.02,A. Kamara RB - NO ,36.10,R. Freeman RB - DEN ,12.70,G. Tate WR - PHI ,25.20,J. Jones WR - ATL ,17.30,R. Gronkowski TE - NE ,4.40,D. Thomas WR - HOU ,2.40,J. Elliott K - PHI ,11.00,Broncos DEF ,1.00,M. Crabtree WR - BAL ,2.90,K. Rudolph TE - MIN ,5.70,D. Lewis RB - TEN ,6.60,L. Fitzgerald WR - ARI ,2.80,A. Peterson RB - WAS ,0.00,S. Watkins WR - KC ,0.00,125.12,Sawyer,110.76
