Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,J. Goff QB - LA ,16.48,J. White RB - NE ,21.70,K. Johnson RB - DET ,17.90,K. Allen WR - LAC ,7.20,A. Thielen WR - MIN ,17.00,G. Kittle TE - SF ,15.80,S. Barkley RB - NYG ,17.40,D. Bailey K - MIN ,13.00,Colts DEF ,19.00,D. Jackson WR - TB ,9.30,D. Brees QB - NO ,16.78,J. Gordon WR - NE ,10.00,J. Brown WR - BAL ,19.40,I. Crowell RB - NYJ ,5.00,L. Fournette RB - JAX ,0.00,145.48,Brad,95.48
Sawyer,7,M. Ryan QB - ATL ,19.26,D. Johnson RB - ARI ,7.00,M. Mack RB - IND ,29.90,M. Jones WR - DET ,2.90,A. Jeffery WR - PHI ,14.80,T. Burton TE - CHI ,18.60,C. Ridley WR - ATL ,4.30,J. Myers K - NYJ ,7.00,Vikings DEF ,12.00,M. Lynch RB - LV ,0.00,T. Brady QB - NE ,21.68,D. Baldwin WR - SEA ,0.00,D. Adams WR - GB ,0.00,C. Kupp WR - LA ,0.00,D. Cook RB - MIN ,0.00,115.76,Ben,79.16
Leo,1,J. Winston QB - TB ,20.10,T. Gurley RB - LA ,26.60,J. Mixon RB - CIN ,5.10,B. Cooks WR - LA ,13.10,T. Hill WR - KC ,13.60,T. Kelce TE - KC ,9.50,N. Chubb RB - CLE ,14.00,H. Butker K - KC ,9.00,Chargers DEF ,5.00,R. Wilson QB - SEA ,0.00,A. Robinson WR - CHI ,0.40,T. Coleman RB - ATL ,14.20,W. Fuller WR - HOU ,6.80,J. Howard RB - CHI ,10.80,K. Golladay WR - DET ,3.70,116.00,Jack,110.62
Ari,6,K. Cousins QB - MIN ,17.54,C. McCaffrey RB - CAR ,8.00,S. Michel RB - NE ,1.50,R. Woods WR - LA ,8.40,M. Thomas WR - NO ,12.90,E. Ebron TE - IND ,3.10,M. Ingram RB - NO ,4.20,S. Gostkowski K - NE ,8.00,Jaguars DEF ,2.00,J. Edelman WR - NE ,9.60,D. Martin RB - LV ,0.00,L. Bell RB - PIT ,0.00,J. Landry WR - CLE ,15.70,J. Conner RB - PIT ,0.00,M. Breida RB - SF ,-0.50,65.64,Elijah,103.86
Elijah,2,D. Watson QB - HOU ,10.86,T. Yeldon RB - JAX ,12.80,K. Hunt RB ,32.10,D. Hopkins WR - HOU ,11.00,M. Evans WR - TB ,10.70,Z. Ertz TE - PHI ,13.80,S. Diggs WR - MIN ,2.60,C. Parkey K - CHI ,7.00,Bears DEF ,3.00,J. Nelson WR - LV ,0.00,E. Sanders WR - DEN ,21.32,L. Miller RB - HOU ,15.90,B. Bortles QB - JAX ,1.44,D. Njoku TE - CLE ,11.20,Titans DEF ,3.00,103.86,Ari,65.64
Jack,5,P. Mahomes QB - KC ,32.82,E. Elliott RB - DAL ,4.20,A. Collins RB - BAL ,4.80,O. Beckham WR - NYG ,20.20,T. Boyd WR - CIN ,2.70,J. Reed TE - WAS ,4.30,P. Lindsay RB - DEN ,15.60,J. Tucker K - BAL ,5.00,Rams DEF ,21.00,T. Hilton WR - IND ,14.50,C. Hyde RB - JAX ,0.00,C. Wentz QB - PHI ,18.70,A. Jones RB - GB ,0.00,J. Smith-Schuster WR - PIT ,0.00,T. Cohen RB - CHI ,14.30,110.62,Leo,116.00
Ben,8,C. Newton QB - CAR ,25.66,M. Gordon RB - LAC ,0.00,K. Drake RB - MIA ,14.70,A. Green WR - CIN ,11.70,M. Goodwin WR - SF ,2.40,O. Howard TE - TB ,6.70,P. Barber RB - TB ,3.00,G. Zuerlein K - LA ,13.00,Eagles DEF ,2.00,J. Graham TE - GB ,0.00,R. Cobb WR - GB ,0.00,A. Brown WR - PIT ,0.00,D. Johnson RB - CLE ,1.90,J. Williams RB - GB ,0.00,J. Lambo K - JAX ,1.00,79.16,Sawyer,115.76
Brad,4,M. Stafford QB - DET ,17.58,L. McCoy RB - BUF ,0.10,A. Kamara RB - NO ,13.50,G. Tate WR - PHI ,6.60,J. Jones WR - ATL ,8.40,K. Rudolph TE - MIN ,1.60,A. Peterson RB - WAS ,10.70,J. Elliott K - PHI ,5.00,Broncos DEF ,32.00,M. Crabtree WR - BAL ,6.60,R. Gronkowski TE - NE ,0.00,D. Thomas WR - HOU ,4.20,L. Fitzgerald WR - ARI ,10.00,A. Rodgers QB - GB ,0.00,R. Freeman RB - DEN ,9.70,95.48,Dylan,145.48
