Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,J. Goff QB - LA ,17.24,L. Fournette RB - JAX ,13.10,S. Barkley RB - NYG ,13.70,A. Thielen WR - MIN ,8.30,R. Anderson WR - NYJ ,20.00,G. Kittle TE - SF ,7.40,E. McGuire RB - NYJ ,20.50,W. Lutz K - NO ,7.00,Broncos DEF ,1.00,D. Lewis RB - TEN ,2.50,D. Brees QB - NO ,16.94,K. Allen WR - LAC ,5.80,A. Robinson WR - CHI ,7.40,J. White RB - NE ,11.40,K. Johnson RB - DET ,0.00,108.24,Leo,112.54
Sawyer,7,J. Rosen QB - ARI ,8.38,D. Booker RB - DEN ,4.20,T. Cohen RB - CHI ,1.90,T. Hilton WR - IND ,13.80,D. Adams WR - GB ,13.10,K. Rudolph TE - MIN ,24.20,J. Wright WR - CAR ,4.90,G. Joseph K - CLE ,8.00,49ers DEF ,8.00,E. Penny RB - NYG ,0.50,J. Richard RB - LV ,11.10,M. Mack RB - IND ,9.80,J. Samuels RB - PIT ,12.40,M. Crosby K - GB ,12.00,Vikings DEF ,7.00,86.48,Ari,118.24
Leo,1,R. Wilson QB - SEA ,28.54,J. Mixon RB - CIN ,7.80,N. Chubb RB - CLE ,11.50,A. Cooper WR - DAL ,2.00,T. Hill WR - KC ,9.10,T. Kelce TE - KC ,5.40,C. Anderson RB - LA ,22.20,H. Butker K - KC ,13.00,Titans DEF ,13.00,B. Roethlisberger QB - PIT ,29.60,A. Luck QB - IND ,21.58,S. Ware RB - KC ,0.00,B. Cooks WR - LA ,6.20,T. Gurley RB - LA ,0.00,J. Kelly RB - LA ,4.90,112.54,Dylan,108.24
Ari,5,D. Prescott QB - DAL ,16.64,D. Johnson RB - ARI ,12.70,C. McCaffrey RB - CAR ,17.80,R. Woods WR - LA ,22.40,M. Thomas WR - NO ,16.90,E. Ebron TE - IND ,2.80,J. Edelman WR - NE ,13.00,S. Gostkowski K - NE ,6.00,Patriots DEF ,10.00,M. Ingram RB - NO ,10.30,J. Conner RB - PIT ,0.00,M. Breida RB - SF ,2.60,L. Jackson QB - BAL ,16.06,S. Michel RB - NE ,17.60,J. Wilson RB - SF ,3.80,118.24,Sawyer,86.48
Elijah,3,D. Watson QB - HOU ,36.46,D. Williams RB - KC ,18.00,D. Henry RB - TEN ,15.20,D. Hopkins WR - HOU ,10.40,M. Evans WR - TB ,15.00,Z. Ertz TE - PHI ,23.00,T. Lockett WR - SEA ,9.90,K. Fairbairn K - HOU ,6.00,Bears DEF ,7.00,M. Ryan QB - ATL ,19.46,J. Cook TE - LV ,2.00,L. Miller RB - HOU ,0.00,A. Blue RB - HOU ,4.00,T. Coleman RB - ATL ,5.10,D. Njoku TE - CLE ,13.30,140.96,Jack,85.58
Jack,4,C. Keenum QB - DEN ,13.98,E. Elliott RB - DAL ,10.90,R. Freeman RB - DEN ,2.10,S. Diggs WR - MIN ,7.00,J. Smith-Schuster WR - PIT ,9.50,E. Engram TE - NYG ,11.30,D. Cook RB - MIN ,10.80,J. Tucker K - BAL ,12.00,Rams DEF ,8.00,J. Howard RB - CHI ,13.00,K. Golladay WR - DET ,5.80,P. Mahomes QB - KC ,28.22,M. Williams WR - LAC ,1.10,T. Hill QB - NO ,-2.00,P. Lindsay RB - DEN ,5.70,85.58,Elijah,140.96
Ben,8,C. Newton QB - CAR ,0.00,K. Drake RB - MIA ,5.40,P. Barber RB - TB ,5.60,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,30.50,J. Graham TE - GB ,3.40,M. Goodwin WR - SF ,2.90,G. Zuerlein K - LA ,7.00,Eagles DEF ,5.00,R. Cobb WR - GB ,0.00,D. Johnson RB - CLE ,6.60,M. Gordon RB - LAC ,11.40,O. Howard TE - TB ,0.00,J. Williams RB - GB ,21.60,J. Lambo K - JAX ,0.00,59.80,Brad,118.38
Brad,6,A. Rodgers QB - GB ,42.88,D. Martin RB - LV ,17.60,A. Kamara RB - NO ,22.50,J. Jones WR - ATL ,8.80,C. Godwin WR - TB ,3.90,R. Gronkowski TE - NE ,0.00,A. Peterson RB - WAS ,12.70,M. Badgley K - LAC ,4.00,Saints DEF ,6.00,M. Crabtree WR - BAL ,2.00,G. Tate WR - PHI ,1.30,D. Thomas WR - HOU ,3.70,J. Winston QB - TB ,14.84,J. Elliott K - PHI ,8.00,118.38,Ben,59.80
