Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,J. Goff QB - LA ,26.50,K. Johnson RB - DET ,9.10,S. Barkley RB - NYG ,11.10,A. Thielen WR - MIN ,15.80,J. Brown WR - BAL ,2.80,G. Kittle TE - SF ,5.70,J. White RB - NE ,15.40,D. Bailey K - MIN ,2.00,Patriots DEF ,20.00,D. Jackson WR - TB ,13.20,D. Brees QB - NO ,6.80,J. Gordon WR - NE ,4.20,K. Allen WR - LAC ,0.00,L. Murray RB - MIN ,15.50,L. Fournette RB - JAX ,0.00,108.40,Sawyer,100.66
Sawyer,8,T. Brady QB - NE ,13.76,D. Johnson RB - ARI ,10.00,C. Carson RB - SEA ,18.40,A. Jeffery WR - PHI ,3.50,D. Adams WR - GB ,13.30,T. Burton TE - CHI ,1.80,M. Mack RB - IND ,26.90,M. Crosby K - GB ,11.00,Vikings DEF ,2.00,M. Ryan QB - ATL ,0.00,D. Baldwin WR - SEA ,2.60,M. Jones WR - DET ,23.70,C. Kupp WR - LA ,0.00,D. Cook RB - MIN ,0.00,C. Ridley WR - ATL ,0.00,100.66,Dylan,108.40
Leo,1,B. Roethlisberger QB - PIT ,16.88,T. Gurley RB - LA ,27.50,N. Chubb RB - CLE ,7.50,B. Cooks WR - LA ,8.30,T. Hill WR - KC ,7.00,T. Kelce TE - KC ,13.90,J. Mixon RB - CIN ,25.80,H. Butker K - KC ,6.00,Texans DEF ,4.00,R. Wilson QB - SEA ,23.42,C. Thompson RB - WAS ,2.20,A. Robinson WR - CHI ,0.00,T. Coleman RB - ATL ,0.00,J. Howard RB - CHI ,14.10,K. Golladay WR - DET ,1.20,116.88,Brad,91.24
Ari,6,K. Cousins QB - MIN ,20.66,J. Conner RB - PIT ,33.20,C. McCaffrey RB - CAR ,17.60,R. Woods WR - LA ,7.00,M. Thomas WR - NO ,8.10,E. Ebron TE - IND ,9.70,J. Edelman WR - NE ,11.70,S. Gostkowski K - NE ,13.00,Ravens DEF ,-4.00,M. Ingram RB - NO ,9.20,D. Martin RB - LV ,6.90,L. Bell RB - PIT ,0.00,J. Landry WR - CLE ,3.90,M. Breida RB - SF ,4.20,S. Michel RB - NE ,0.00,116.96,Ben,124.56
Elijah,2,D. Watson QB - HOU ,30.96,T. Yeldon RB - JAX ,9.00,K. Hunt RB ,14.60,D. Hopkins WR - HOU ,20.20,M. Evans WR - TB ,23.90,Z. Ertz TE - PHI ,8.60,E. Sanders WR - DEN ,5.10,C. Parkey K - CHI ,6.00,Bears DEF ,5.00,J. Nelson WR - LV ,1.40,L. Miller RB - HOU ,19.30,C. Wentz QB - PHI ,22.64,D. Njoku TE - CLE ,0.00,-,-,-,-,123.36,Jack,118.42
Jack,5,P. Mahomes QB - KC ,26.02,T. Cohen RB - CHI ,17.00,P. Lindsay RB - DEN ,17.20,O. Beckham WR - NYG ,13.60,J. Smith-Schuster WR - PIT ,3.30,J. Cook TE - LV ,13.40,S. Diggs WR - MIN ,17.90,J. Tucker K - BAL ,3.00,Rams DEF ,7.00,T. Hilton WR - IND ,3.40,I. Crowell RB - NYJ ,3.80,E. Elliott RB - DAL ,0.00,A. Collins RB - BAL ,10.30,T. Boyd WR - CIN ,19.60,A. Jones RB - GB ,14.60,118.42,Elijah,123.36
Ben,7,C. Newton QB - CAR ,27.96,K. Drake RB - MIA ,21.50,P. Barber RB - TB ,14.50,A. Green WR - CIN ,13.60,A. Brown WR - PIT ,19.40,J. Graham TE - GB ,2.10,M. Goodwin WR - SF ,11.50,G. Zuerlein K - LA ,7.00,Eagles DEF ,7.00,R. Cobb WR - GB ,4.00,D. Johnson RB - CLE ,1.60,M. Gordon RB - LAC ,0.00,O. Howard TE - TB ,12.80,J. Williams RB - GB ,6.90,J. Lambo K - JAX ,16.00,124.56,Ari,116.96
Brad,4,A. Rodgers QB - GB ,15.94,A. Peterson RB - WAS ,25.60,A. Kamara RB - NO ,19.60,G. Tate WR - PHI ,5.30,D. Thomas WR - HOU ,3.00,R. Gronkowski TE - NE ,4.30,C. Ivory RB - BUF ,4.50,J. Elliott K - PHI ,6.00,Steelers DEF ,7.00,M. Crabtree WR - BAL ,3.10,L. McCoy RB - BUF ,9.50,K. Rudolph TE - MIN ,3.90,J. Jones WR - ATL ,0.00,L. Fitzgerald WR - ARI ,18.20,R. Freeman RB - DEN ,0.00,91.24,Leo,116.88
