Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,5,D. Brees QB - NO ,26.72,J. White RB - NE ,13.70,S. Barkley RB - NYG ,24.90,K. Allen WR - LAC ,9.50,A. Thielen WR - MIN ,17.60,G. Kittle TE - SF ,8.30,K. Johnson RB - DET ,8.50,C. Boswell K - PIT ,5.00,Panthers DEF ,12.00,D. Jackson WR - TB ,0.00,J. Gordon WR - NE ,11.00,G. Bernard RB - CIN ,0.00,J. Brown WR - BAL ,5.80,J. Ajayi RB - PHI ,1.40,L. Fournette RB - JAX ,0.00,126.22,Jack,82.70
Sawyer,8,M. Ryan QB - ATL ,14.40,M. Lynch RB - LV ,4.10,D. Johnson RB - ARI ,19.10,D. Adams WR - GB ,20.00,C. Kupp WR - LA ,15.00,J. Cook TE - LV ,2.00,C. Ridley WR - ATL ,3.80,M. Crosby K - GB ,3.00,Vikings DEF ,13.00,T. Brady QB - NE ,27.54,D. Baldwin WR - SEA ,0.10,M. Jones WR - DET ,6.80,A. Jeffery WR - PHI ,3.90,C. Davis WR - TEN ,4.90,D. Cook RB - MIN ,0.00,94.40,Leo,104.30
Leo,1,B. Roethlisberger QB - PIT ,21.60,T. Gurley RB - LA ,29.30,J. Mixon RB - CIN ,17.50,B. Cooks WR - LA ,0.00,T. Hill WR - KC ,8.70,T. Kelce TE - KC ,10.00,C. Thompson RB - WAS ,6.20,R. Gould K - SF ,0.00,Ravens DEF ,11.00,R. Wilson QB - SEA ,19.92,D. Freeman RB - ATL ,4.10,T. Coleman RB - ATL ,3.00,W. Fuller WR - HOU ,1.50,J. Howard RB - CHI ,0.00,K. Golladay WR - DET ,15.80,104.30,Sawyer,94.40
Ari,3,K. Cousins QB - MIN ,14.14,J. Conner RB - PIT ,30.50,C. McCaffrey RB - CAR ,15.30,R. Woods WR - LA ,14.50,M. Thomas WR - NO ,7.40,E. Ebron TE - IND ,22.50,M. Ingram RB - NO ,19.30,W. Lutz K - NO ,7.00,Jaguars DEF ,5.00,J. Edelman WR - NE ,5.70,A. Morris RB - SF ,9.10,L. Bell RB - PIT ,0.00,J. Landry WR - CLE ,6.90,M. Breida RB - SF ,12.10,S. Michel RB - NE ,17.00,135.64,Brad,76.48
Elijah,2,D. Watson QB - HOU ,21.00,T. Yeldon RB - JAX ,18.20,K. Hunt RB ,15.40,D. Hopkins WR - HOU ,13.10,S. Diggs WR - MIN ,11.60,Z. Ertz TE - PHI ,17.00,E. Sanders WR - DEN ,7.20,C. Sturgis K ,8.00,Titans DEF ,7.00,J. Nelson WR - LV ,10.30,L. Miller RB - HOU ,0.00,M. Evans WR - TB ,0.00,D. Njoku TE - CLE ,6.90,C. Parkey K - CHI ,0.00,Bears DEF ,0.00,118.50,Ben,88.48
Jack,4,P. Mahomes QB - KC ,15.82,C. Hyde RB - JAX ,7.70,E. Elliott RB - DAL ,8.40,O. Beckham WR - NYG ,23.38,J. Smith-Schuster WR - PIT ,9.40,J. Reed TE - WAS ,2.10,A. Jones RB - GB ,5.90,J. Tucker K - BAL ,9.00,Rams DEF ,1.00,T. Hilton WR - IND ,0.00,C. Wentz QB - PHI ,21.04,A. Collins RB - BAL ,6.60,T. Boyd WR - CIN ,4.40,K. Cole WR - JAX ,7.00,P. Lindsay RB - DEN ,8.10,82.70,Dylan,126.22
Ben,7,C. Newton QB - CAR ,16.38,M. Gordon RB - LAC ,18.00,J. Williams RB - GB ,7.20,A. Green WR - CIN ,11.20,A. Brown WR - PIT ,22.10,J. Graham TE - GB ,7.60,M. Goodwin WR - SF ,0.00,J. Lambo K - JAX ,2.00,Eagles DEF ,4.00,R. Cobb WR - GB ,0.00,R. Fitzpatrick QB - TB ,0.00,D. Johnson RB - CLE ,4.20,K. Drake RB - MIA ,17.50,P. Barber RB - TB ,0.00,G. Zuerlein K - LA ,0.00,88.48,Elijah,118.50
Brad,6,A. Rodgers QB - GB ,28.68,L. McCoy RB - BUF ,10.80,A. Kamara RB - NO ,3.90,G. Tate WR - PHI ,4.20,J. Jones WR - ATL ,6.20,R. Gronkowski TE - NE ,7.50,A. Peterson RB - WAS ,4.20,J. Elliott K - PHI ,7.00,Broncos DEF ,4.00,M. Crabtree WR - BAL ,6.60,D. Thomas WR - HOU ,16.50,K. Rudolph TE - MIN ,4.10,D. Lewis RB - TEN ,2.80,L. Fitzgerald WR - ARI ,3.50,R. Freeman RB - DEN ,4.70,76.48,Ari,135.64
