Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,D. Brees QB - NO ,28.90,J. White RB - NE ,2.60,L. Fournette RB - JAX ,22.90,J. Gordon WR - NE ,8.10,K. Allen WR - LAC ,11.70,G. Kittle TE - SF ,8.30,S. Barkley RB - NYG ,10.00,W. Lutz K - NO ,15.00,Packers DEF ,14.00,D. Lewis RB - TEN ,6.80,L. Murray RB - MIN ,0.00,A. Thielen WR - MIN ,0.00,J. Brown WR - BAL ,0.00,J. Goff QB - LA ,21.02,K. Johnson RB - DET ,18.90,121.50,Ari,129.56
Sawyer,8,M. Ryan QB - ATL ,20.50,D. Johnson RB - ARI ,30.30,M. Mack RB - IND ,5.80,D. Adams WR - GB ,17.70,C. Kupp WR - LA ,3.90,T. Burton TE - CHI ,6.00,C. Ridley WR - ATL ,4.00,M. Crosby K - GB ,7.00,Patriots DEF ,1.00,T. Brady QB - NE ,10.76,M. Jones WR - DET ,5.50,A. Jeffery WR - PHI ,4.80,D. Cook RB - MIN ,0.00,C. Carson RB - SEA ,0.00,Vikings DEF ,0.00,96.20,Jack,152.06
Leo,1,R. Fitzpatrick QB - TB ,13.74,T. Gurley RB - LA ,22.00,J. Mixon RB - CIN ,8.50,B. Cooks WR - LA ,16.90,T. Hill WR - KC ,25.70,T. Kelce TE - KC ,4.60,N. Chubb RB - CLE ,32.90,H. Butker K - KC ,8.00,Jets DEF ,-3.00,D. Jackson WR - TB ,6.70,A. Luck QB - IND ,21.20,C. Thompson RB - WAS ,0.00,T. Coleman RB - ATL ,6.30,J. Howard RB - CHI ,3.20,K. Golladay WR - DET ,13.80,129.34,Elijah,97.10
Ari,4,P. Rivers QB - LAC ,15.02,J. Conner RB - PIT ,13.30,C. McCaffrey RB - CAR ,31.80,J. Edelman WR - NE ,10.64,M. Thomas WR - NO ,19.00,J. Doyle TE - IND ,3.60,M. Breida RB - SF ,25.20,S. Gostkowski K - NE ,6.00,Rams DEF ,5.00,M. Ingram RB - NO ,22.20,K. Cousins QB - MIN ,0.00,R. Woods WR - LA ,10.60,L. Bell RB - PIT ,0.00,J. Landry WR - CLE ,2.20,S. Michel RB - NE ,3.10,129.56,Dylan,121.50
Elijah,2,C. Wentz QB - PHI ,21.10,T. Yeldon RB - JAX ,6.30,K. Hunt RB ,9.60,M. Evans WR - TB ,5.10,T. Lockett WR - SEA ,14.50,Z. Ertz TE - PHI ,26.50,J. Nelson WR - LV ,0.00,C. Parkey K - CHI ,2.00,Bears DEF ,12.00,J. Cook TE - LV ,5.20,E. Sanders WR - DEN ,0.00,L. Miller RB - HOU ,0.00,D. Hopkins WR - HOU ,0.00,D. Njoku TE - CLE ,1.80,D. Watson QB - HOU ,0.00,97.10,Leo,129.34
Jack,5,P. Mahomes QB - KC ,20.06,E. Elliott RB - DAL ,30.70,A. Jones RB - GB ,29.20,O. Beckham WR - NYG ,19.30,T. Boyd WR - CIN ,6.50,G. Olsen TE - CAR ,4.00,J. Smith-Schuster WR - PIT ,16.30,R. Gould K - SF ,13.00,Chargers DEF ,13.00,T. Hilton WR - IND ,7.70,S. Diggs WR - MIN ,0.00,A. Collins RB - BAL ,0.00,T. Cohen RB - CHI ,10.40,P. Lindsay RB - DEN ,0.00,J. Tucker K - BAL ,0.00,152.06,Sawyer,96.20
Ben,7,C. Newton QB - CAR ,14.72,K. Drake RB - MIA ,3.80,P. Barber RB - TB ,6.60,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,15.60,J. Graham TE - GB ,1.40,M. Goodwin WR - SF ,6.90,G. Zuerlein K - LA ,12.00,Eagles DEF ,4.00,R. Cobb WR - GB ,0.00,D. Johnson RB - CLE ,10.60,M. Gordon RB - LAC ,22.50,O. Howard TE - TB ,1.50,J. Williams RB - GB ,0.30,J. Lambo K - JAX ,10.00,65.02,Brad,100.46
Brad,6,A. Rodgers QB - GB ,18.06,A. Peterson RB - WAS ,6.90,A. Kamara RB - NO ,22.20,J. Jones WR - ATL ,16.70,T. Williams WR - LAC ,4.60,J. Reed TE - WAS ,5.10,G. Tate WR - PHI ,1.90,J. Elliott K - PHI ,10.00,Steelers DEF ,15.00,M. Crabtree WR - BAL ,0.00,L. McCoy RB - BUF ,23.80,R. Gronkowski TE - NE ,0.00,D. Thomas WR - HOU ,0.00,K. Rudolph TE - MIN ,0.00,R. Freeman RB - DEN ,0.00,100.46,Ben,65.02
