Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,D. Brees QB - NO ,20.44,J. White RB - NE ,7.80,S. Barkley RB - NYG ,26.20,K. Allen WR - LAC ,13.20,A. Thielen WR - MIN ,18.50,G. Kittle TE - SF ,5.80,L. Fournette RB - JAX ,22.80,W. Lutz K - NO ,7.00,Texans DEF ,9.00,D. Lewis RB - TEN ,4.10,J. Gordon WR - NE ,7.00,L. Murray RB - MIN ,3.30,A. Robinson WR - CHI ,3.70,J. Goff QB - LA ,0.00,K. Johnson RB - DET ,0.00,130.74,Jack,106.58
Sawyer,7,M. Ryan QB - ATL ,20.68,D. Johnson RB - ARI ,7.90,M. Mack RB - IND ,9.60,T. Hilton WR - IND ,12.50,D. Adams WR - GB ,12.90,T. Burton TE - CHI ,0.80,C. Ridley WR - ATL ,13.30,M. Crosby K - GB ,5.00,Vikings DEF ,7.00,T. Brady QB - NE ,19.22,M. Jones WR - DET ,0.00,A. Jeffery WR - PHI ,3.90,C. Kupp WR - LA ,0.00,T. Cohen RB - CHI ,11.90,C. Carson RB - SEA ,12.30,89.68,Leo,132.82
Leo,1,A. Luck QB - IND ,22.62,T. Coleman RB - ATL ,8.30,J. Mixon RB - CIN ,15.50,A. Cooper WR - DAL ,30.00,K. Golladay WR - DET ,9.00,J. Doyle TE - IND ,7.60,N. Chubb RB - CLE ,24.80,B. Maher K - DAL ,7.00,Chargers DEF ,8.00,T. Kelce TE - KC ,0.00,B. Cooks WR - LA ,0.00,T. Gurley RB - LA ,0.00,J. Howard RB - CHI ,1.50,T. Hill WR - KC ,0.00,H. Butker K - KC ,0.00,132.82,Sawyer,89.68
Ari,5,K. Cousins QB - MIN ,27.38,J. Conner RB - PIT ,7.50,C. McCaffrey RB - CAR ,35.70,J. Edelman WR - NE ,14.40,M. Thomas WR - NO ,3.80,E. Ebron TE - IND ,16.50,M. Ingram RB - NO ,6.60,S. Gostkowski K - NE ,9.00,Ravens DEF ,18.00,B. Roethlisberger QB - PIT ,20.28,R. Woods WR - LA ,0.00,J. Landry WR - CLE ,3.00,C. Davis WR - TEN ,19.50,M. Breida RB - SF ,14.00,S. Michel RB - NE ,20.50,138.88,Brad,64.52
Elijah,2,D. Watson QB - HOU ,29.40,L. Miller RB - HOU ,22.70,T. Yeldon RB - JAX ,3.30,D. Hopkins WR - HOU ,7.40,M. Evans WR - TB ,11.60,Z. Ertz TE - PHI ,15.10,E. Sanders WR - DEN ,14.60,C. Parkey K - CHI ,5.00,Bears DEF ,13.00,J. Nelson WR - LV ,-0.20,J. Cook TE - LV ,9.20,T. Lockett WR - SEA ,16.50,C. Wentz QB - PHI ,13.24,K. Hunt RB ,0.00,D. Njoku TE - CLE ,12.30,122.10,Ben,70.54
Jack,4,J. Winston QB - TB ,22.88,E. Elliott RB - DAL ,20.30,A. Jones RB - GB ,15.30,O. Beckham WR - NYG ,8.50,S. Diggs WR - MIN ,14.90,G. Olsen TE - CAR ,1.10,D. Cook RB - MIN ,13.60,J. Tucker K - BAL ,10.00,Jaguars DEF ,0.00,T. Boyd WR - CIN ,14.50,P. Mahomes QB - KC ,0.00,J. Smith-Schuster WR - PIT ,24.90,P. Lindsay RB - DEN ,17.00,G. Edwards RB - BAL ,11.80,Rams DEF ,0.00,106.58,Dylan,130.74
Ben,8,C. Newton QB - CAR ,22.54,K. Drake RB - MIA ,21.60,P. Barber RB - TB ,12.30,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,6.70,J. Graham TE - GB ,3.40,M. Goodwin WR - SF ,0.00,G. Zuerlein K - LA ,0.00,Eagles DEF ,4.00,R. Cobb WR - GB ,0.00,D. Johnson RB - CLE ,3.90,M. Gordon RB - LAC ,18.60,O. Howard TE - TB ,0.00,J. Williams RB - GB ,0.50,J. Lambo K - JAX ,3.00,70.54,Elijah,122.10
Brad,6,A. Rodgers QB - GB ,11.92,A. Peterson RB - WAS ,4.40,A. Kamara RB - NO ,9.80,G. Tate WR - PHI ,3.00,J. Jones WR - ATL ,12.80,R. Gronkowski TE - NE ,11.60,T. Williams WR - LAC ,0.00,J. Elliott K - PHI ,9.00,Steelers DEF ,2.00,M. Crabtree WR - BAL ,8.10,D. Thomas WR - HOU ,15.80,K. Rudolph TE - MIN ,6.30,J. Reed TE - WAS ,7.50,R. Freeman RB - DEN ,1.70,-,-,64.52,Ari,138.88
