Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,3,D. Brees QB - NO ,30.52,K. Johnson RB - DET ,15.70,S. Barkley RB - NYG ,33.20,K. Allen WR - LAC ,15.00,A. Thielen WR - MIN ,8.60,A. Hooper TE - ATL ,2.70,L. Fournette RB - JAX ,20.10,W. Lutz K - NO ,12.00,Texans DEF ,15.00,D. Lewis RB - TEN ,3.20,J. Gordon WR - NE ,0.00,L. Murray RB - MIN ,0.50,J. White RB - NE ,0.00,J. Goff QB - LA ,35.12,G. Kittle TE - SF ,0.00,152.82,Elijah,102.22
Sawyer,7,M. Ryan QB - ATL ,13.74,D. Johnson RB - ARI ,15.40,M. Mack RB - IND ,12.90,A. Jeffery WR - PHI ,3.30,D. Adams WR - GB ,16.60,T. Burton TE - CHI ,0.90,C. Ridley WR - ATL ,3.70,M. Crosby K - GB ,6.00,Vikings DEF ,8.00,T. Brady QB - NE ,0.00,T. Hilton WR - IND ,27.50,M. Jones WR - DET ,0.00,C. Kupp WR - LA ,0.00,T. Cohen RB - CHI ,3.00,C. Carson RB - SEA ,12.30,80.54,Brad,100.38
Leo,1,A. Luck QB - IND ,23.88,T. Gurley RB - LA ,9.40,J. Mixon RB - CIN ,11.20,B. Cooks WR - LA ,10.70,T. Hill WR - KC ,33.50,T. Kelce TE - KC ,18.70,T. Coleman RB - ATL ,8.50,H. Butker K - KC ,9.00,Chargers DEF ,0.00,D. Jackson WR - TB ,3.80,R. Fitzpatrick QB - TB ,8.08,C. Thompson RB - WAS ,0.00,J. Howard RB - CHI ,6.50,K. Golladay WR - DET ,17.30,N. Chubb RB - CLE ,0.00,124.88,Ben,68.48
Ari,6,B. Roethlisberger QB - PIT ,20.66,J. Conner RB - PIT ,4.90,C. McCaffrey RB - CAR ,11.00,R. Woods WR - LA ,13.20,M. Thomas WR - NO ,15.20,E. Ebron TE - IND ,0.00,M. Ingram RB - NO ,22.30,C. Boswell K - PIT ,2.00,Ravens DEF ,1.00,J. Edelman WR - NE ,0.00,K. Cousins QB - MIN ,16.98,J. Landry WR - CLE ,0.00,C. Davis WR - TEN ,2.90,M. Breida RB - SF ,0.00,S. Michel RB - NE ,0.00,90.26,Jack,139.92
Elijah,2,D. Watson QB - HOU ,9.02,L. Miller RB - HOU ,10.80,K. Hunt RB ,17.10,E. Sanders WR - DEN ,6.20,D. Hopkins WR - HOU ,9.60,Z. Ertz TE - PHI ,1.50,M. Evans WR - TB ,24.00,C. Parkey K - CHI ,9.00,Bears DEF ,15.00,J. Nelson WR - LV ,0.00,J. Cook TE - LV ,9.10,T. Lockett WR - SEA ,7.20,T. Yeldon RB - JAX ,3.20,C. Wentz QB - PHI ,0.84,D. Njoku TE - CLE ,0.00,102.22,Dylan,152.82
Jack,4,P. Mahomes QB - KC ,35.92,E. Elliott RB - DAL ,26.10,A. Jones RB - GB ,22.30,O. Beckham WR - NYG ,14.50,J. Smith-Schuster WR - PIT ,10.40,G. Olsen TE - CAR ,6.90,A. Collins RB - BAL ,7.80,J. Tucker K - BAL ,12.00,Cardinals DEF ,4.00,S. Diggs WR - MIN ,18.60,T. Boyd WR - CIN ,7.10,D. Cook RB - MIN ,-1.00,M. Trubisky QB - CHI ,14.90,P. Lindsay RB - DEN ,22.60,Rams DEF ,21.00,139.92,Ari,90.26
Ben,8,C. Newton QB - CAR ,24.48,K. Drake RB - MIA ,0.00,P. Barber RB - TB ,17.00,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,17.70,J. Graham TE - GB ,1.30,M. Goodwin WR - SF ,0.00,G. Zuerlein K - LA ,12.00,Eagles DEF ,-4.00,R. Cobb WR - GB ,0.00,D. Johnson RB - CLE ,0.00,M. Gordon RB - LAC ,15.60,O. Howard TE - TB ,7.80,J. Williams RB - GB ,0.50,J. Lambo K - JAX ,10.00,68.48,Leo,124.88
Brad,5,A. Rodgers QB - GB ,21.58,A. Peterson RB - WAS ,17.10,A. Kamara RB - NO ,16.80,G. Tate WR - PHI ,4.00,J. Jones WR - ATL ,17.80,J. Reed TE - WAS ,13.10,D. Thomas WR - HOU ,0.00,J. Elliott K - PHI ,1.00,Steelers DEF ,9.00,M. Crabtree WR - BAL ,0.70,R. Gronkowski TE - NE ,0.00,K. Rudolph TE - MIN ,1.30,T. Williams WR - LAC ,2.20,R. Freeman RB - DEN ,9.00,100.38,Sawyer,80.54
