Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,D. Brees QB - NO ,31.56,L. Fournette RB - JAX ,5.50,S. Barkley RB - NYG ,18.80,K. Allen WR - LAC ,16.80,A. Cooper WR - DAL ,1.80,T. Burton TE - CHI ,1.50,J. Mixon RB - CIN ,20.90,M. Crosby K - GB ,6.00,Vikings DEF ,18.00,M. Lynch RB - LV ,10.90,J. Gordon WR - NE ,7.70,J. Ajayi RB - PHI ,20.20,W. Fuller WR - HOU ,0.00,K. Johnson RB - DET ,3.70,D. Moore WR - CAR ,0.30,120.86,Sawyer,66.58
Sawyer,8,T. Brady QB - NE ,21.28,D. Johnson RB - ARI ,12.70,D. Cook RB - MIN ,7.50,D. Baldwin WR - SEA ,0.00,D. Adams WR - GB ,14.80,D. Walker TE - TEN ,5.20,D. Henry RB - TEN ,3.10,W. Lutz K - NO ,6.00,Saints DEF ,-4.00,M. Jones WR - DET ,5.40,A. Jeffery WR - PHI ,0.00,A. Robinson WR - CHI ,6.10,C. Davis WR - TEN ,6.20,C. Kupp WR - LA ,12.80,M. Mack RB - IND ,0.00,66.58,Dylan,120.86
Leo,5,R. Wilson QB - SEA ,20.42,D. Freeman RB - ATL ,5.00,T. Gurley RB - LA ,20.70,A. Thielen WR - MIN ,10.20,T. Hill WR - KC ,29.30,T. Kelce TE - KC ,0.60,J. Howard RB - CHI ,10.70,M. Bryant K - ATL ,8.00,Ravens DEF ,17.00,A. Morris RB - SF ,1.80,R. Burkhead RB - NE ,6.90,B. Cooks WR - LA ,9.30,T. Coleman RB - ATL ,10.50,R. Anderson WR - NYJ ,9.20,T. Cohen RB - CHI ,4.10,121.92,Brad,141.04
Ari,3,K. Cousins QB - MIN ,20.36,J. Conner RB - PIT ,29.20,C. McCaffrey RB - CAR ,7.50,C. Hogan WR - NE ,1.10,M. Thomas WR - NO ,22.00,G. Olsen TE - CAR ,3.30,J. Landry WR - CLE ,10.60,C. Boswell K - PIT ,3.00,Lions DEF ,8.00,M. Ingram RB - NO ,0.00,L. Bell RB - PIT ,0.00,D. Funchess WR - CAR ,4.10,M. Breida RB - SF ,5.10,J. Wilkins RB - IND ,6.10,Texans DEF ,8.00,105.06,Ben,104.44
Elijah,4,D. Watson QB - HOU ,11.04,L. Miller RB - HOU ,10.90,K. Hunt RB ,4.90,D. Hopkins WR - HOU ,7.10,S. Diggs WR - MIN ,11.10,Z. Ertz TE - PHI ,4.80,M. Evans WR - TB ,20.70,S. Gostkowski K - NE ,9.00,Jaguars DEF ,13.00,J. Nelson WR - LV ,2.30,L. Blount RB - DET ,-0.30,E. Sanders WR - DEN ,19.50,K. Stills WR - MIA ,22.60,D. Njoku TE - CLE ,1.30,K. Ballage RB - MIA ,0.00,92.54,Jack,91.22
Jack,7,J. Goff QB - LA ,17.22,L. McCoy RB - BUF ,2.10,E. Elliott RB - DAL ,14.60,T. Hilton WR - IND ,10.60,O. Beckham WR - NYG ,11.00,E. Engram TE - NYG ,1.80,A. Collins RB - BAL ,5.90,J. Tucker K - BAL ,11.00,Rams DEF ,17.00,C. Hyde RB - JAX ,12.50,S. Shepard WR - NYG ,4.80,J. Smith-Schuster WR - PIT ,11.90,R. Jones RB - TB ,0.00,R. Penny RB - SEA ,4.30,91.22,Elijah,92.54
Ben,6,C. Newton QB - CAR ,18.24,M. Gordon RB - LAC ,18.60,J. Williams RB - GB ,4.70,A. Green WR - CIN ,13.20,A. Brown WR - PIT ,15.30,J. Graham TE - GB ,0.80,K. Drake RB - MIA ,6.60,G. Zuerlein K - LA ,17.00,Eagles DEF ,10.00,J. Edelman WR - NE ,0.00,R. Cobb WR - GB ,20.20,M. Goodwin WR - SF ,0.00,D. Johnson RB - CLE ,2.50,D. Booker RB - DEN ,1.50,P. Barber RB - TB ,6.90,104.44,Ari,105.06
Brad,1,A. Rodgers QB - GB ,24.94,A. Kamara RB - NO ,34.10,R. Freeman RB - DEN ,7.10,J. Jones WR - ATL ,18.00,L. Fitzgerald WR - ARI ,7.60,R. Gronkowski TE - NE ,16.30,D. Lewis RB - TEN ,17.00,J. Elliott K - PHI ,4.00,Broncos DEF ,12.00,M. Crabtree WR - BAL ,9.80,G. Tate WR - PHI ,13.90,D. Thomas WR - HOU ,12.30,K. Rudolph TE - MIN ,7.10,A. Peterson RB - WAS ,20.60,S. Watkins WR - KC ,2.10,141.04,Leo,121.92
