Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,D. Brees QB - NO ,13.94,L. Fournette RB - JAX ,4.10,S. Barkley RB - NYG ,25.70,K. Allen WR - LAC ,13.80,A. Thielen WR - MIN ,7.80,G. Kittle TE - SF ,27.00,J. White RB - NE ,2.80,W. Lutz K - NO ,8.00,Jaguars DEF ,4.00,D. Lewis RB - TEN ,5.20,J. Gordon WR - NE ,9.60,A. Robinson WR - CHI ,4.20,J. Goff QB - LA ,-0.30,K. Johnson RB - DET ,0.00,Texans DEF ,4.00,107.14,Brad,97.14
Sawyer,7,T. Brady QB - NE ,26.62,D. Johnson RB - ARI ,6.10,C. Carson RB - SEA ,15.00,T. Hilton WR - IND ,19.90,D. Adams WR - GB ,14.10,T. Burton TE - CHI ,2.20,T. Cohen RB - CHI ,8.90,M. Crosby K - GB ,12.00,Vikings DEF ,5.00,M. Ryan QB - ATL ,20.48,M. Jones WR - DET ,0.00,A. Jeffery WR - PHI ,11.00,M. Mack RB - IND ,9.30,C. Ridley WR - ATL ,1.00,J. Samuels RB - PIT ,9.20,109.82,Ben,52.00
Leo,1,A. Luck QB - IND ,23.56,T. Gurley RB - LA ,5.80,J. Mixon RB - CIN ,19.80,B. Cooks WR - LA ,2.20,T. Hill WR - KC ,14.50,T. Kelce TE - KC ,13.70,N. Chubb RB - CLE ,14.30,H. Butker K - KC ,9.00,Titans DEF ,10.00,R. Wilson QB - SEA ,8.98,S. Ware RB - KC ,12.90,M. Brown RB - LA ,0.00,A. Cooper WR - DAL ,39.70,J. Howard RB - CHI ,10.30,K. Golladay WR - DET ,0.50,112.86,Jack,114.48
Ari,5,B. Roethlisberger QB - PIT ,19.28,C. McCaffrey RB - CAR ,22.10,A. Ekeler RB - LAC ,15.40,R. Woods WR - LA ,6.10,M. Thomas WR - NO ,9.80,E. Ebron TE - IND ,12.50,M. Ingram RB - NO ,11.30,S. Gostkowski K - NE ,9.00,Chargers DEF ,3.00,J. Edelman WR - NE ,14.60,K. Cousins QB - MIN ,10.82,J. Conner RB - PIT ,0.00,M. Breida RB - SF ,0.00,S. Michel RB - NE ,5.70,J. Wilson RB - SF ,9.60,108.48,Elijah,85.98
Elijah,3,D. Watson QB - HOU ,18.18,L. Miller RB - HOU ,11.20,T. Yeldon RB - JAX ,1.70,D. Hopkins WR - HOU ,9.60,M. Evans WR - TB ,8.60,Z. Ertz TE - PHI ,3.80,T. Lockett WR - SEA ,5.90,C. Parkey K - CHI ,7.00,Bears DEF ,20.00,J. Nelson WR - LV ,4.80,J. Cook TE - LV ,11.60,E. Sanders WR - DEN ,0.00,C. Wentz QB - PHI ,18.82,K. Hunt RB ,0.00,D. Njoku TE - CLE ,3.50,85.98,Ari,108.48
Jack,4,P. Mahomes QB - KC ,20.78,E. Elliott RB - DAL ,19.20,A. Jones RB - GB ,16.60,S. Diggs WR - MIN ,8.10,J. Smith-Schuster WR - PIT ,25.00,A. Hooper TE - ATL ,3.70,P. Lindsay RB - DEN ,11.10,J. Tucker K - BAL ,6.00,Bills DEF ,4.00,O. Beckham WR - NYG ,0.00,T. Boyd WR - CIN ,5.20,D. Cook RB - MIN ,14.30,J. Adams RB - PHI ,3.60,G. Edwards RB - BAL ,6.70,Rams DEF ,11.00,114.48,Leo,112.86
Ben,8,C. Newton QB - CAR ,10.90,K. Drake RB - MIA ,13.90,P. Barber RB - TB ,4.40,A. Green WR - CIN ,0.00,A. Brown WR - PIT ,3.50,J. Graham TE - GB ,1.30,M. Goodwin WR - SF ,2.00,G. Zuerlein K - LA ,8.00,Eagles DEF ,8.00,R. Cobb WR - GB ,10.30,D. Johnson RB - CLE ,-0.60,M. Gordon RB - LAC ,0.00,O. Howard TE - TB ,0.00,J. Williams RB - GB ,1.70,J. Lambo K - JAX ,1.00,52.00,Sawyer,109.82
Brad,6,A. Rodgers QB - GB ,20.24,A. Peterson RB - WAS ,1.90,A. Kamara RB - NO ,10.70,J. Jones WR - ATL ,22.60,C. Godwin WR - TB ,1.30,R. Gronkowski TE - NE ,16.70,G. Tate WR - PHI ,0.70,M. Badgley K - LAC ,16.00,Saints DEF ,7.00,M. Crabtree WR - BAL ,3.10,D. Thomas WR - HOU ,4.80,J. Reed TE - WAS ,0.00,J. Winston QB - TB ,19.22,J. Elliott K - PHI ,5.00,97.14,Dylan,107.14
