Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,5,D. Brees QB - NO ,17.62,J. Ajayi RB - PHI ,8.70,J. Mixon RB - CIN ,8.70,K. Allen WR - LAC ,6.70,N. Agholor WR - PHI ,15.00,J. Reed TE - WAS ,3.50,S. Barkley RB - NYG ,10.80,C. Sturgis K ,7.00,Chargers DEF ,10.00,M. Lynch RB - LV ,12.80,J. Gordon WR - NE ,0.00,C. Thompson RB - WAS ,9.30,A. Cooper WR - DAL ,11.60,L. Fournette RB - JAX ,0.00,K. Johnson RB - DET ,6.60,88.02,Leo,150.58
Sawyer,8,T. Brady QB - NE ,16.36,D. Johnson RB - ARI ,5.10,D. Cook RB - MIN ,9.00,D. Adams WR - GB ,12.40,A. Robinson WR - CHI ,8.30,J. Cook TE - LV ,4.90,T. Yeldon RB - JAX ,7.10,W. Lutz K - NO ,7.00,Vikings DEF ,3.00,D. Baldwin WR - SEA ,0.00,M. Jones WR - DET ,11.40,A. Jeffery WR - PHI ,0.00,D. Henry RB - TEN ,5.92,C. Davis WR - TEN ,5.50,C. Kupp WR - LA ,6.30,73.16,Ari,102.60
Leo,3,B. Roethlisberger QB - PIT ,38.98,T. Coleman RB - ATL ,12.50,T. Gurley RB - LA ,29.30,A. Thielen WR - MIN ,19.10,T. Hill WR - KC ,15.00,T. Kelce TE - KC ,22.90,J. Howard RB - CHI ,6.80,M. Bryant K - ATL ,7.00,Ravens DEF ,-1.00,R. Wilson QB - SEA ,14.74,R. Burkhead RB - NE ,2.20,B. Cooks WR - LA ,15.90,D. Freeman RB - ATL ,0.00,R. Anderson WR - NYJ ,0.70,T. Cohen RB - CHI ,2.50,150.58,Dylan,88.02
Ari,1,K. Cousins QB - MIN ,33.50,J. Conner RB - PIT ,14.50,C. McCaffrey RB - CAR ,13.90,J. Landry WR - CLE ,6.90,M. Thomas WR - NO ,18.90,G. Kittle TE - SF ,2.20,D. Funchess WR - CAR ,7.70,C. Boswell K - PIT ,3.00,Texans DEF ,2.00,M. Ingram RB - NO ,0.00,C. Hogan WR - NE ,16.20,R. Woods WR - LA ,8.10,L. Bell RB - PIT ,0.00,A. Jones RB - GB ,0.00,M. Breida RB - SF ,21.90,102.60,Sawyer,73.16
Elijah,2,D. Watson QB - HOU ,22.80,L. Miller RB - HOU ,7.00,K. Hunt RB ,14.00,K. Stills WR - MIA ,1.70,M. Evans WR - TB ,12.30,Z. Ertz TE - PHI ,9.40,E. Sanders WR - DEN ,9.60,S. Gostkowski K - NE ,8.00,Jets DEF ,9.00,J. Nelson WR - LV ,3.00,L. Blount RB - DET ,3.50,D. Hopkins WR - HOU ,17.00,S. Diggs WR - MIN ,26.90,D. Njoku TE - CLE ,2.00,K. Ballage RB - MIA ,0.00,93.80,Brad,52.94
Jack,4,P. Mahomes QB - KC ,38.84,E. Elliott RB - DAL ,14.70,A. Collins RB - BAL ,9.00,T. Hilton WR - IND ,14.30,O. Beckham WR - NYG ,5.10,E. Engram TE - NYG ,12.70,J. Smith-Schuster WR - PIT ,18.10,J. Tucker K - BAL ,7.00,Rams DEF ,13.00,L. McCoy RB - BUF ,6.80,C. Hyde RB - JAX ,11.00,C. Wentz QB - PHI ,0.00,S. Shepard WR - NYG ,2.40,P. Lindsay RB - DEN ,11.10,R. Penny RB - SEA ,3.00,132.74,Ben,119.40
Ben,7,C. Newton QB - CAR ,27.60,M. Gordon RB - LAC ,24.60,J. Williams RB - GB ,7.10,A. Green WR - CIN ,24.90,A. Brown WR - PIT ,6.70,J. Graham TE - GB ,9.50,K. Drake RB - MIA ,13.00,G. Zuerlein K - LA ,0.00,Eagles DEF ,6.00,J. Edelman WR - NE ,0.00,R. Cobb WR - GB ,3.00,M. Goodwin WR - SF ,0.00,D. Johnson RB - CLE ,1.00,D. Booker RB - DEN ,1.70,P. Barber RB - TB ,2.90,119.40,Jack,132.74
Brad,6,A. Rodgers QB - GB ,16.04,D. Lewis RB - TEN ,4.30,A. Kamara RB - NO ,11.90,J. Jones WR - ATL ,6.40,L. Fitzgerald WR - ARI ,2.80,R. Gronkowski TE - NE ,1.50,A. Peterson RB - WAS ,5.00,J. Elliott K - PHI ,3.00,Broncos DEF ,2.00,M. Crabtree WR - BAL ,5.60,G. Tate WR - PHI ,11.80,D. Thomas WR - HOU ,1.80,K. Rudolph TE - MIN ,7.20,S. Watkins WR - KC ,13.10,R. Freeman RB - DEN ,8.80,52.94,Elijah,93.80
