Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,4,K. Murray QB - ARI ,16.34,D. Johnson RB - ARI ,13.90,K. Johnson RB - DET ,13.70,K. Allen WR - LAC ,4.80,D. Moore WR - CAR ,4.40,O. Howard TE - TB ,3.30,C. Carson RB - SEA ,14.50,W. Lutz K - NO ,12.00,Vikings DEF ,2.00,A. Peterson RB - WAS ,2.80,N. Agholor WR - PHI ,0.00,R. Mostert RB - SF ,0.00,T. Hill WR - KC ,0.00,M. Valdes-Scantling WR - GB ,4.70,M. Sanders RB - PHI ,7.20,84.94,Leo,136.78
Sawyer,2,P. Mahomes QB - KC ,18.00,M. Ingram RB - BAL ,7.10,C. McCaffrey RB - CAR ,23.90,S. Watkins WR - KC ,3.40,J. Smith-Schuster WR - PIT ,1.50,M. Andrews TE - BAL ,9.10,T. Boyd WR - CIN ,3.30,M. Bryant K ,4.00,Texans DEF ,10.00,J. Brown WR - BUF ,6.90,D. Williams RB - KC ,0.00,J. Ajayi RB ,0.00,W. Gallman RB - NYG ,21.80,C. Kirk WR - ARI ,4.30,D. Chark WR - JAX ,4.40,80.30,Will,130.38
Leo,9,L. Jackson QB - BAL ,24.48,R. Jones RB - TB ,14.20,S. Michel RB - NE ,6.30,D. Adams WR - GB ,18.00,K. Golladay WR - DET ,18.70,T. Hockenson TE - DET ,8.70,R. Woods WR - LA ,16.40,M. Prater K - DET ,14.00,Seahawks DEF ,16.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,9.80,J. Gordon WR - SEA ,4.60,J. Ross WR - CIN ,3.60,S. Barkley RB - NYG ,0.00,T. McLaurin WR - WAS ,0.00,136.78,Dylan,84.94
Ari,3,D. Prescott QB - DAL ,7.62,J. Jacobs RB - LV ,10.80,D. Montgomery RB - CHI ,6.70,O. Beckham WR - CLE ,2.00,C. Kupp WR - LA ,17.90,D. Walker TE - TEN ,0.40,R. Freeman RB - DEN ,5.00,S. Gostkowski K - NE ,4.00,Patriots DEF ,23.00,G. Tate WR - NYG ,0.00,L. Bell RB - NYJ ,0.00,A. Robinson WR - CHI ,7.70,T. Coleman RB - SF ,0.00,J. Goff QB - LA ,20.68,C. Samuel WR - CAR ,3.30,77.42,Jake,92.00
Elijah,7,J. Allen QB - BUF ,8.72,J. White RB - NE ,5.80,L. Fournette RB - JAX ,24.50,D. Hopkins WR - HOU ,2.10,A. Cooper WR - DAL ,4.80,T. Kelce TE - KC ,8.50,L. Fitzgerald WR - ARI ,4.70,K. Fairbairn K - HOU ,4.00,Bears DEF ,17.00,D. Moncrief WR ,0.00,J. Howard RB - PHI ,29.50,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,2.10,A. Isabella WR - ARI ,0.50,D. Singletary RB - BUF ,0.00,80.12,Ben,67.70
Jack,5,P. Rivers QB - LAC ,20.40,J. Conner RB - PIT ,18.50,D. Cook RB - MIN ,13.00,C. Godwin WR - TB ,29.20,M. Hardman WR - KC ,-1.10,D. Waller TE - LV ,5.30,D. Freeman RB - ATL ,10.00,J. Slye K - CAR ,12.00,Chargers DEF ,11.00,R. Burkhead RB - NE ,0.70,M. Brown RB - LA ,1.40,S. Diggs WR - MIN ,8.80,C. Wentz QB - PHI ,19.70,M. Williams WR - LAC ,0.00,D. Williams RB - KC ,15.60,118.30,Henry,81.58
Ben,6,D. Watson QB - HOU ,11.60,L. McCoy RB - KC ,14.90,E. Elliott RB - DAL ,10.50,J. Jones WR - ATL ,5.30,T. Lockett WR - SEA ,5.10,W. Dissly TE - SEA ,11.70,A. Thielen WR - MIN ,0.60,M. Crosby K - GB ,9.00,Ravens DEF ,-1.00,D. Lewis RB - TEN ,2.00,L. Murray RB - NO ,2.00,H. Henry TE - LAC ,0.00,G. Kittle TE - SF ,0.00,M. Breida RB - SF ,0.00,D. Pettis WR - SF ,0.00,67.70,Elijah,80.12
Jake,8,R. Wilson QB - SEA ,14.30,T. Gurley RB - LA ,19.00,D. Henry RB - TEN ,10.80,J. Landry WR - CLE ,16.70,M. Thomas WR - NO ,9.50,E. Ebron TE - IND ,10.80,M. Mack RB - IND ,3.90,J. Tucker K - BAL ,5.00,Jaguars DEF ,2.00,J. McKinnon RB - SF ,0.00,P. Lindsay RB - DEN ,6.00,M. Gallup WR - DAL ,0.00,B. Mayfield QB - CLE ,15.78,C. Ridley WR - ATL ,3.20,C. Sutton WR - DEN ,18.20,92.00,Ari,77.42
Henry,10,M. Ryan QB - ATL ,15.68,J. Mixon RB - CIN ,6.30,A. Jones RB - GB ,11.80,J. Edelman WR - NE ,3.00,E. Sanders WR - SF ,10.40,Z. Ertz TE - PHI ,6.50,S. Shepard WR - NYG ,9.90,G. Zuerlein K - LA ,12.00,Rams DEF ,6.00,G. Olsen TE - CAR ,0.50,M. Jones WR - DET ,7.70,W. Fuller WR - HOU ,2.30,A. Hooper TE - ATL ,13.00,P. Barber RB - TB ,7.90,D. Metcalf WR - SEA ,0.60,81.58,Jack,118.30
Will,1,A. Rodgers QB - GB ,25.48,A. Kamara RB - NO ,8.90,A. Ekeler RB - LAC ,24.20,M. Evans WR - TB ,14.90,M. Brown WR - BAL ,2.20,E. Engram TE - NYG ,5.40,N. Chubb RB - CLE ,36.30,H. Butker K - KC ,10.00,Colts DEF ,3.00,T. Brady QB - NE ,3.70,T. Hilton WR - IND ,0.00,B. Cooks WR - LA ,7.10,C. Hyde RB - HOU ,6.40,M. Gordon RB - LAC ,0.00,T. Williams WR - LV ,9.60,130.38,Sawyer,80.30
