Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,10,J. Winston QB - TB ,32.72,C. Carson RB - SEA ,25.70,M. Sanders RB - PHI ,29.20,D. Parker WR - MIA ,19.20,D. Moore WR - CAR ,12.30,D. Goedert TE - PHI ,5.50,T. Hill WR - KC ,18.80,J. Elliott K - PHI ,7.00,Vikings DEF ,27.00,A. Peterson RB - WAS ,15.10,J. Gordon WR - SEA ,3.80,D. Johnson RB - ARI ,0.60,K. Drake RB - ARI ,38.60,C. Samuel WR - CAR ,11.40,J. Washington WR - PIT ,8.30,177.42,N/A,N/A
Sawyer,1,P. Mahomes QB - KC ,22.70,M. Ingram RB - BAL ,22.60,C. McCaffrey RB - CAR ,29.50,C. Kirk WR - ARI ,6.10,T. McLaurin WR - WAS ,19.00,M. Andrews TE - BAL ,11.20,A. Brown WR - TEN ,17.40,M. Gay K - TB ,8.00,Saints DEF ,5.00,S. Watkins WR - KC ,6.90,D. Williams RB - KC ,0.00,D. Washington RB - LV ,2.20,T. Boyd WR - CIN ,2.60,D. Chark WR - JAX ,0.00,G. Minshew QB - JAX ,18.74,141.50,Ben,84.02
Leo,7,L. Jackson QB - BAL ,37.08,K. Hunt RB - CLE ,7.60,S. Michel RB - NE ,10.30,D. Adams WR - GB ,16.30,O. Beckham WR - CLE ,6.60,M. Gesicki TE - MIA ,4.70,A. Jeffery WR - PHI ,0.00,W. Lutz K - NO ,10.00,Packers DEF ,13.00,A. Green WR - CIN ,0.00,M. Sanu WR - NE ,1.30,R. Woods WR - LA ,1.70,L. Bell RB - NYJ ,8.80,R. Jones RB - TB ,4.90,B. Scarbrough RB - DET ,0.00,105.58,Henry,78.64
Ari,5,J. Garoppolo QB - SF ,12.60,S. Barkley RB - NYG ,26.30,J. Jacobs RB - LV ,10.90,A. Robinson WR - CHI ,12.50,K. Golladay WR - DET ,4.40,T. Higbee TE - LA ,11.10,R. Mostert RB - SF ,9.90,J. Myers K - SEA ,6.00,49ers DEF ,4.00,J. Crowder WR - NYJ ,21.00,D. Johnson RB - HOU ,2.30,D. Prescott QB - DAL ,17.68,C. Kupp WR - LA ,10.10,D. Montgomery RB - CHI ,4.90,D. Slayton WR - NYG ,9.10,97.70,Jack,145.38
Elijah,9,J. Allen QB - BUF ,16.36,L. Fournette RB - JAX ,7.30,D. Singletary RB - BUF ,6.90,D. Hopkins WR - HOU ,11.90,A. Cooper WR - DAL ,1.90,T. Kelce TE - KC ,14.20,J. White RB - NE ,12.20,M. Prater K - DET ,5.00,Bears DEF ,1.00,L. Fitzgerald WR - ARI ,4.20,V. McDonald TE - PIT ,0.00,J. Howard RB - PHI ,0.00,D. Njoku TE - CLE ,0.00,K. Ballage RB - MIA ,0.00,K. Fairbairn K - HOU ,6.00,76.76,N/A,N/A
Jack,8,D. Brees QB - NO ,28.28,E. Elliott RB - DAL ,28.00,D. Cook RB - MIN ,4.30,J. Jones WR - ATL ,25.40,C. Godwin WR - TB ,12.10,D. Waller TE - LV ,12.20,J. Conner RB - PIT ,11.10,J. Tucker K - BAL ,4.00,Patriots DEF ,20.00,K. Allen WR - LAC ,9.90,J. Brown WR - BUF ,9.90,A. Mattison RB - MIN ,0.00,D. Samuel WR - SF ,3.70,B. Snell RB - PIT ,0.10,Steelers DEF ,6.00,145.38,Ari,97.70
Ben,4,D. Watson QB - HOU ,16.92,L. McCoy RB - KC ,1.60,A. Jones RB - GB ,17.10,T. Lockett WR - SEA ,18.00,S. Diggs WR - MIN ,8.00,G. Kittle TE - SF ,13.40,A. Thielen WR - MIN ,3.00,M. Crosby K - GB ,3.00,Panthers DEF ,3.00,L. Murray RB - NO ,4.90,H. Henry TE - LAC ,0.90,J. Williams RB - GB ,3.30,M. Breida RB - SF ,-0.30,K. Murray QB - ARI ,16.36,D. Carlson K - LV ,10.00,84.02,Sawyer,141.50
Jake,2,R. Wilson QB - SEA ,19.34,T. Gurley RB - LA ,17.80,D. Henry RB - TEN ,8.60,J. Landry WR - CLE ,2.30,M. Thomas WR - NO ,18.80,K. Rudolph TE - MIN ,4.80,M. Mack RB - IND ,1.90,A. Seibert K - CLE ,6.00,Eagles DEF ,9.00,J. Witten TE - DAL ,9.60,P. Lindsay RB - DEN ,3.20,M. Gallup WR - DAL ,0.60,R. Penny RB - SEA ,0.00,C. Ridley WR - ATL ,0.00,C. Sutton WR - DEN ,7.90,88.54,Will,78.92
Henry,6,C. Wentz QB - PHI ,21.54,D. Freeman RB - ATL ,5.50,J. Mixon RB - CIN ,15.60,E. Sanders WR - SF ,0.90,D. Metcalf WR - SEA ,9.60,Z. Ertz TE - PHI ,12.10,C. Hyde RB - HOU ,16.40,G. Zuerlein K - LA ,1.00,Rams DEF ,-4.00,M. Ryan QB - ATL ,19.10,J. Edelman WR - NE ,0.90,R. Cobb WR - DAL ,-0.30,M. Jones WR - DET ,0.00,A. Hooper TE - ATL ,2.00,B. Hill RB - ATL ,1.60,78.64,Leo,105.58
Will,3,A. Rodgers QB - GB ,14.42,A. Kamara RB - NO ,8.90,N. Chubb RB - CLE ,20.80,T. Hilton WR - IND ,2.50,M. Brown WR - BAL ,10.50,J. Cook TE - NO ,5.40,M. Gordon RB - LAC ,2.40,H. Butker K - KC ,9.00,Ravens DEF ,5.00,T. Brady QB - NE ,12.92,M. Evans WR - TB ,0.00,T. Williams WR - LV ,10.50,E. Engram TE - NYG ,0.00,A. Ekeler RB - LAC ,8.10,C. Boswell K - PIT ,4.00,78.92,Jake,88.54
