Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,9,J. Winston QB - TB ,18.32,D. Johnson RB - ARI ,-1.00,C. Carson RB - SEA ,16.10,K. Allen WR - LAC ,8.60,T. Hill WR - KC ,22.00,G. Everett TE - LA ,6.80,D. Moore WR - CAR ,12.00,M. Badgley K - LAC ,6.00,Bills DEF ,5.00,F. Gore RB - BUF ,1.60,A. Peterson RB - WAS ,0.00,J. Gordon WR - SEA ,2.70,T. Cohen RB - CHI ,9.70,R. Penny RB - SEA ,-1.80,M. Sanders RB - PHI ,0.00,93.82,Ben,58.66
Sawyer,1,P. Mahomes QB - KC ,29.84,M. Ingram RB - BAL ,9.40,C. McCaffrey RB - CAR ,20.10,S. Watkins WR - KC ,5.10,C. Kirk WR - ARI ,31.80,M. Andrews TE - BAL ,17.30,D. Williams RB - KC ,8.90,Z. Gonzalez K - ARI ,11.00,Cardinals DEF ,9.00,T. Boyd WR - CIN ,6.20,D. Westbrook WR - JAX ,0.00,J. Smith-Schuster WR - PIT ,4.40,C. Edmonds RB - ARI ,0.00,D. Chark WR - JAX ,0.00,T. McLaurin WR - WAS ,0.00,142.44,Jack,115.38
Leo,6,L. Jackson QB - BAL ,33.42,L. Bell RB - NYJ ,12.80,R. Jones RB - TB ,14.60,D. Adams WR - GB ,11.80,M. Williams WR - LAC ,5.50,G. Olsen TE - CAR ,9.80,O. Beckham WR - CLE ,5.70,W. Lutz K - NO ,9.00,Saints DEF ,3.00,B. Powell RB - NYJ ,1.50,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,R. Woods WR - LA ,9.50,K. Hunt RB - CLE ,7.40,S. Michel RB - NE ,0.00,105.62,Henry,80.28
Ari,4,D. Prescott QB - DAL ,25.88,S. Barkley RB - NYG ,3.10,J. Jacobs RB - LV ,16.10,C. Kupp WR - LA ,0.00,K. Golladay WR - DET ,11.70,J. Cook TE - NO ,7.40,D. Montgomery RB - CHI ,6.00,J. Myers K - SEA ,9.00,Colts DEF ,8.00,G. Tate WR - NYG ,19.50,A. Robinson WR - CHI ,8.60,T. Coleman RB - SF ,7.20,J. Goff QB - LA ,3.72,R. Freeman RB - DEN ,0.00,Patriots DEF ,0.00,87.18,Elijah,100.14
Elijah,8,J. Allen QB - BUF ,25.44,K. Ballage RB - MIA ,4.50,D. Singletary RB - BUF ,5.00,D. Parker WR - MIA ,6.90,A. Cooper WR - DAL ,20.70,T. Kelce TE - KC ,13.50,L. Fitzgerald WR - ARI ,7.10,M. Prater K - DET ,9.00,Bears DEF ,8.00,D. Hopkins WR - HOU ,0.00,J. White RB - NE ,0.00,J. Howard RB - PHI ,0.00,L. Fournette RB - JAX ,0.00,D. Njoku TE - CLE ,0.00,K. Fairbairn K - HOU ,0.00,100.14,Ari,87.18
Jack,7,D. Brees QB - NO ,11.48,D. Cook RB - MIN ,24.30,J. Samuels RB - PIT ,4.00,S. Diggs WR - MIN ,4.90,C. Godwin WR - TB ,7.40,D. Waller TE - LV ,4.00,A. Jones RB - GB ,27.30,J. Tucker K - BAL ,7.00,Steelers DEF ,25.00,J. Brown WR - BUF ,7.70,K. Drake RB - ARI ,4.10,J. Conner RB - PIT ,0.00,J. Williams RB - GB ,6.30,D. Guice RB - WAS ,0.00,A. Mattison RB - MIN ,5.40,115.38,Sawyer,142.44
Ben,3,K. Murray QB - ARI ,26.76,L. Murray RB - NO ,1.90,E. Elliott RB - DAL ,6.30,J. Jones WR - ATL ,7.90,T. Lockett WR - SEA ,2.90,R. Dwelley TE - SF ,2.40,M. Breida RB - SF ,2.50,M. Crosby K - GB ,6.00,Panthers DEF ,2.00,L. McCoy RB - KC ,0.00,A. Thielen WR - MIN ,0.00,D. Johnson RB - HOU ,0.00,H. Henry TE - LAC ,9.00,D. Watson QB - HOU ,0.00,G. Kittle TE - SF ,0.00,58.66,Dylan,93.82
Jake,5,R. Wilson QB - SEA ,16.58,T. Gurley RB - LA ,7.30,D. Henry RB - TEN ,31.10,M. Thomas WR - NO ,15.20,M. Gallup WR - DAL ,13.60,J. Witten TE - DAL ,1.70,M. Mack RB - IND ,8.20,A. Vinatieri K - IND ,6.00,Chiefs DEF ,5.00,J. Landry WR - CLE ,15.70,J. McKinnon RB - SF ,0.00,P. Lindsay RB - DEN ,0.00,B. Mayfield QB - CLE ,17.62,C. Ridley WR - ATL ,4.70,C. Sutton WR - DEN ,0.00,104.68,Will,97.52
Henry,10,M. Ryan QB - ATL ,14.58,D. Freeman RB - ATL ,4.80,J. Mixon RB - CIN ,15.10,E. Sanders WR - SF ,2.40,M. Jones WR - DET ,7.70,A. Hooper TE - ATL ,7.70,D. Metcalf WR - SEA ,5.00,G. Zuerlein K - LA ,4.00,Rams DEF ,19.00,J. Edelman WR - NE ,0.00,R. Cobb WR - DAL ,16.60,Z. Ertz TE - PHI ,0.00,C. Hyde RB - HOU ,0.00,C. Wentz QB - PHI ,0.00,S. Shepard WR - NYG ,0.00,80.28,Leo,105.62
Will,2,A. Rodgers QB - GB ,10.02,A. Kamara RB - NO ,7.40,N. Chubb RB - CLE ,12.10,M. Evans WR - TB ,8.20,T. Williams WR - LV ,2.50,E. Engram TE - NYG ,0.00,M. Gordon RB - LAC ,19.30,H. Butker K - KC ,14.00,Ravens DEF ,24.00,T. Brady QB - NE ,0.00,T. Hilton WR - IND ,0.00,B. Cooks WR - LA ,0.00,P. Barber RB - TB ,10.70,A. Ekeler RB - LAC ,10.80,M. Brown WR - BAL ,14.00,97.52,Jake,104.68
