Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,10,J. Winston QB - TB ,14.82,A. Peterson RB - WAS ,3.00,M. Sanders RB - PHI ,4.70,C. Samuel WR - CAR ,2.50,D. Moore WR - CAR ,9.50,G. Everett TE - LA ,2.00,T. Hill WR - KC ,0.00,J. Slye K - CAR ,3.00,Bills DEF ,10.00,F. Gore RB - BUF ,4.50,J. Gordon WR - SEA ,0.00,D. Johnson RB - ARI ,0.00,K. Drake RB - ARI ,8.00,C. Carson RB - SEA ,0.00,R. Penny RB - SEA ,0.00,49.52,Jack,103.52
Sawyer,1,P. Mahomes QB - KC ,15.18,M. Ingram RB - BAL ,20.50,C. McCaffrey RB - CAR ,19.10,T. Boyd WR - CIN ,1.00,D. Chark WR - JAX ,22.40,M. Andrews TE - BAL ,13.50,D. Williams RB - KC ,1.30,D. Bailey K - MIN ,3.00,Vikings DEF ,4.00,S. Watkins WR - KC ,2.60,D. Westbrook WR - JAX ,3.20,J. Smith-Schuster WR - PIT ,2.10,C. Edmonds RB - ARI ,0.00,C. Kirk WR - ARI ,4.20,T. McLaurin WR - WAS ,6.90,99.98,Elijah,88.14
Leo,8,L. Jackson QB - BAL ,32.78,L. Bell RB - NYJ ,15.20,S. Michel RB - NE ,4.40,M. Sanu WR - NE ,1.20,O. Beckham WR - CLE ,6.00,G. Olsen TE - CAR ,5.70,R. Jones RB - TB ,1.40,W. Lutz K - NO ,10.00,49ers DEF ,14.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,R. Woods WR - LA ,0.00,D. Adams WR - GB ,0.00,K. Hunt RB - CLE ,5.80,D. Guice RB - WAS ,12.90,90.68,Jake,126.86
Ari,2,D. Prescott QB - DAL ,31.56,T. Coleman RB - SF ,6.20,J. Jacobs RB - LV ,10.40,C. Kupp WR - LA ,5.30,K. Golladay WR - DET ,3.40,J. Cook TE - NO ,9.30,J. Crowder WR - NYJ ,13.60,J. Lambo K - JAX ,1.00,Patriots DEF ,11.00,G. Tate WR - NYG ,0.00,A. Robinson WR - CHI ,1.50,J. Goff QB - LA ,5.22,W. Fuller WR - HOU ,0.00,S. Barkley RB - NYG ,0.00,D. Montgomery RB - CHI ,5.00,91.76,Ben,53.46
Elijah,9,J. Allen QB - BUF ,33.84,L. Fournette RB - JAX ,5.70,D. Singletary RB - BUF ,7.90,D. Hopkins WR - HOU ,8.00,A. Cooper WR - DAL ,3.80,T. Kelce TE - KC ,15.20,K. Ballage RB - MIA ,7.70,K. Fairbairn K - HOU ,1.00,Bears DEF ,5.00,L. Fitzgerald WR - ARI ,7.70,J. White RB - NE ,5.60,D. Parker WR - MIA ,13.50,J. Howard RB - PHI ,0.00,D. Njoku TE - CLE ,0.00,M. Prater K - DET ,3.00,88.14,Sawyer,99.98
Jack,6,D. Brees QB - NO ,21.12,J. Conner RB - PIT ,1.60,D. Cook RB - MIN ,11.70,J. Brown WR - BUF ,25.70,C. Godwin WR - TB ,10.70,D. Waller TE - LV ,7.60,K. Allen WR - LAC ,13.10,J. Tucker K - BAL ,11.00,Steelers DEF ,1.00,S. Diggs WR - MIN ,18.10,A. Jones RB - GB ,0.00,J. Williams RB - GB ,0.00,J. Samuels RB - PIT ,10.50,A. Mattison RB - MIN ,0.50,D. Samuel WR - SF ,13.40,103.52,Dylan,49.52
Ben,5,D. Watson QB - HOU ,3.96,D. Johnson RB - HOU ,4.40,E. Elliott RB - DAL ,17.30,J. Jones WR - ATL ,8.70,A. Thielen WR - MIN ,0.00,H. Henry TE - LAC ,8.90,L. Murray RB - NO ,3.20,D. Carlson K - LV ,5.00,Panthers DEF ,2.00,L. McCoy RB - KC ,11.70,T. Lockett WR - SEA ,0.00,G. Kittle TE - SF ,0.00,M. Breida RB - SF ,0.00,K. Murray QB - ARI ,26.70,M. Crosby K - GB ,0.00,53.46,Ari,91.76
Jake,4,J. Garoppolo QB - SF ,29.66,T. Gurley RB - LA ,17.30,P. Lindsay RB - DEN ,7.50,M. Thomas WR - NO ,17.40,M. Gallup WR - DAL ,14.80,J. Witten TE - DAL ,3.30,M. Mack RB - IND ,16.90,A. Vinatieri K - IND ,7.00,Raiders DEF ,13.00,R. Wilson QB - SEA ,0.00,J. Landry WR - CLE ,10.30,D. Henry RB - TEN ,0.00,J. Hollister TE - SEA ,0.00,C. Ridley WR - ATL ,20.30,C. Sutton WR - DEN ,13.82,126.86,Leo,90.68
Henry,7,M. Ryan QB - ATL ,16.44,C. Hyde RB - HOU ,12.50,J. Mixon RB - CIN ,16.30,J. Edelman WR - NE ,9.90,M. Jones WR - DET ,15.90,Z. Ertz TE - PHI ,9.40,B. Hill RB - ATL ,3.80,G. Zuerlein K - LA ,5.00,Rams DEF ,9.00,E. Sanders WR - SF ,3.30,R. Cobb WR - DAL ,17.50,D. Freeman RB - ATL ,0.00,C. Wentz QB - PHI ,12.26,A. Hooper TE - ATL ,0.00,D. Metcalf WR - SEA ,0.00,98.24,Will,71.84
Will,3,T. Brady QB - NE ,8.54,M. Gordon RB - LAC ,9.00,N. Chubb RB - CLE ,9.20,M. Evans WR - TB ,6.90,M. Brown WR - BAL ,2.30,E. Ebron TE - IND ,2.70,A. Kamara RB - NO ,12.20,H. Butker K - KC ,6.00,Ravens DEF ,15.00,A. Rodgers QB - GB ,0.00,T. Hilton WR - IND ,0.00,B. Cooks WR - LA ,0.00,T. Williams WR - LV ,8.20,E. Engram TE - NYG ,0.00,A. Ekeler RB - LAC ,13.20,71.84,Henry,98.24
