Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,10,M. Stafford QB - DET ,24.84,F. Gore RB - BUF ,1.50,A. Peterson RB - WAS ,13.00,K. Allen WR - LAC ,4.00,T. Hill WR - KC ,20.50,E. Ebron TE - IND ,1.60,C. Carson RB - SEA ,11.30,D. Bailey K - MIN ,5.00,Bills DEF ,8.00,D. Johnson RB - ARI ,0.00,W. Gallman RB - NYG ,0.00,D. Moore WR - CAR ,10.10,T. Pollard RB - DAL ,3.00,M. Sanders RB - PHI ,7.30,D. Slayton WR - NYG ,0.60,89.74,Henry,91.86
Sawyer,3,G. Minshew QB - JAX ,7.76,M. Ingram RB - BAL ,12.40,C. McCaffrey RB - CAR ,34.60,D. Chark WR - JAX ,3.20,T. McLaurin WR - WAS ,3.90,M. Andrews TE - BAL ,2.10,J. Smith-Schuster WR - PIT ,1.60,Z. Gonzalez K - ARI ,5.00,Browns DEF ,5.00,S. Watkins WR - KC ,6.30,D. Williams RB - KC ,18.80,T. Boyd WR - CIN ,0.00,P. Mahomes QB - KC ,0.00,C. Edmonds RB - ARI ,0.00,C. Kirk WR - ARI ,1.60,75.56,Ari,95.98
Leo,8,L. Jackson QB - BAL ,28.62,L. Bell RB - NYJ ,12.10,S. Michel RB - NE ,3.00,D. Adams WR - GB ,4.10,O. Beckham WR - CLE ,8.20,D. Fells TE - HOU ,6.10,M. Walton RB ,4.10,B. McManus K - DEN ,6.00,Cowboys DEF ,18.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,3.60,J. Gordon WR - SEA ,0.00,R. Woods WR - LA ,0.00,K. Hunt RB - CLE ,0.00,R. Jones RB - TB ,14.20,90.22,Jack,64.06
Ari,4,D. Prescott QB - DAL ,21.48,S. Barkley RB - NYG ,9.50,J. Jacobs RB - LV ,24.00,A. Robinson WR - CHI ,0.60,K. Golladay WR - DET ,19.20,T. Hockenson TE - DET ,5.60,T. Coleman RB - SF ,3.60,J. Myers K - SEA ,8.00,Patriots DEF ,4.00,G. Tate WR - NYG ,5.80,J. Goff QB - LA ,0.00,C. Kupp WR - LA ,0.00,R. Freeman RB - DEN ,1.40,D. Montgomery RB - CHI ,19.60,Colts DEF ,8.00,95.98,Sawyer,75.56
Elijah,9,J. Allen QB - BUF ,17.60,J. Howard RB - PHI ,14.30,L. Fournette RB - JAX ,7.20,L. Fitzgerald WR - ARI ,3.80,A. Cooper WR - DAL ,14.00,T. Kelce TE - KC ,6.20,D. Hopkins WR - HOU ,11.40,K. Fairbairn K - HOU ,10.00,Bears DEF ,4.00,J. White RB - NE ,14.40,J. Brissett QB - IND ,2.76,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,0.00,D. Singletary RB - BUF ,20.00,M. Prater K - DET ,6.00,88.50,Jake,122.82
Jack,5,D. Carr QB - LV ,19.56,D. Cook RB - MIN ,11.60,J. Samuels RB - PIT ,6.30,S. Diggs WR - MIN ,1.60,C. Godwin WR - TB ,6.90,D. Waller TE - LV ,5.20,A. Jones RB - GB ,2.90,J. Tucker K - BAL ,7.00,49ers DEF ,3.00,D. Brees QB - NO ,0.00,J. Brown WR - BUF ,7.60,K. Drake RB - ARI ,24.20,J. Conner RB - PIT ,0.00,J. Williams RB - GB ,10.90,A. Mattison RB - MIN ,0.60,64.06,Leo,90.22
Ben,2,D. Watson QB - HOU ,19.74,L. McCoy RB - KC ,0.90,E. Elliott RB - DAL ,13.90,A. Thielen WR - MIN ,0.00,T. Lockett WR - SEA ,27.20,G. Kittle TE - SF ,13.90,M. Breida RB - SF ,9.20,M. Crosby K - GB ,5.00,Panthers DEF ,11.00,J. Jones WR - ATL ,0.00,D. Lewis RB - TEN ,3.30,L. Murray RB - NO ,0.00,D. Johnson RB - HOU ,14.10,H. Henry TE - LAC ,8.40,Jaguars DEF ,3.00,100.84,Will,110.04
Jake,6,R. Wilson QB - SEA ,39.22,D. Henry RB - TEN ,21.90,P. Lindsay RB - DEN ,15.20,M. Gallup WR - DAL ,9.30,C. Sutton WR - DEN ,12.30,V. McDonald TE - PIT ,9.00,M. Mack RB - IND ,8.90,A. Vinatieri K - IND ,4.00,Seahawks DEF ,3.00,J. Landry WR - CLE ,11.10,J. McKinnon RB - SF ,0.00,T. Gurley RB - LA ,0.00,M. Thomas WR - NO ,0.00,B. Mayfield QB - CLE ,17.12,C. Ridley WR - ATL ,0.00,122.82,Elijah,88.50
Henry,7,C. Wentz QB - PHI ,15.06,D. Freeman RB - ATL ,0.00,C. Hyde RB - HOU ,14.00,J. Edelman WR - NE ,6.90,M. Jones WR - DET ,18.60,Z. Ertz TE - PHI ,16.30,D. Metcalf WR - SEA ,21.00,G. Zuerlein K - LA ,0.00,Rams DEF ,0.00,M. Ryan QB - ATL ,0.00,E. Sanders WR - SF ,17.20,R. Cobb WR - DAL ,1.50,S. Shepard WR - NYG ,0.00,A. Hooper TE - ATL ,0.00,J. Mixon RB - CIN ,0.00,91.86,Dylan,89.74
Will,1,A. Rodgers QB - GB ,12.94,M. Gordon RB - LAC ,22.90,N. Chubb RB - CLE ,9.10,M. Evans WR - TB ,24.00,T. Williams WR - LV ,4.80,E. Engram TE - NYG ,5.00,A. Ekeler RB - LAC ,9.30,H. Butker K - KC ,16.00,Eagles DEF ,6.00,T. Brady QB - NE ,13.40,T. Hilton WR - IND ,0.00,B. Cooks WR - LA ,0.00,O. Howard TE - TB ,0.00,A. Kamara RB - NO ,0.00,M. Brown WR - BAL ,4.80,110.04,Ben,100.84
