Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,"('5',)",K. Murray QB - ARI ,28.80,D. Johnson RB - ARI ,22.20,C. Carson RB - SEA ,21.90,K. Allen WR - LAC ,3.30,D. Moore WR - CAR ,8.60,G. Everett TE - LA ,0.90,K. Johnson RB - DET ,12.10,W. Lutz K - NO ,7.00,Titans DEF ,4.00,F. Gore RB - BUF ,0.00,A. Peterson RB - WAS ,13.60,M. Sanu WR - NE ,2.90,T. Hill WR - KC ,20.00,R. Anderson WR - NYJ ,18.50,M. Sanders RB - PHI ,15.20,108.80,Ari,104.62
Sawyer,"('1',)",P. Mahomes QB - KC ,18.82,M. Ingram RB - BAL ,13.40,C. McCaffrey RB - CAR ,17.70,D. Chark WR - JAX ,4.30,T. McLaurin WR - WAS ,22.00,M. Andrews TE - BAL ,7.90,D. Williams RB - KC ,8.00,Z. Gonzalez K - ARI ,10.00,Panthers DEF ,21.00,S. Watkins WR - KC ,0.00,T. Boyd WR - CIN ,1.00,J. Smith-Schuster WR - PIT ,0.70,C. Edmonds RB - ARI ,12.70,C. Kirk WR - ARI ,0.00,R. Bonnafon RB - CAR ,0.00,123.12,Henry,67.64
Leo,"('10',)",L. Jackson QB - BAL ,30.64,L. Bell RB - NYJ ,11.30,S. Michel RB - NE ,11.30,J. Gordon WR - SEA ,0.70,O. Beckham WR - CLE ,10.10,G. Swaim TE - JAX ,0.50,R. Woods WR - LA ,7.60,J. Lambo K - JAX ,6.00,Redskins DEF ,10.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,13.60,D. Adams WR - GB ,0.00,W. Gallman RB - NYG ,0.00,C. Herndon TE - NYJ ,0.00,R. Jones RB - TB ,7.00,88.14,Elijah,77.30
Ari,"('7',)",D. Prescott QB - DAL ,18.22,T. Coleman RB - SF ,12.10,R. Freeman RB - DEN ,7.60,C. Kupp WR - LA ,1.70,K. Golladay WR - DET ,12.10,T. Hockenson TE - DET ,2.10,C. Samuel WR - CAR ,19.80,M. Gay K - TB ,6.00,Patriots DEF ,25.00,G. Tate WR - NYG ,16.20,A. Robinson WR - CHI ,0.00,J. Goff QB - LA ,1.12,S. Barkley RB - NYG ,0.00,J. Jacobs RB - LV ,0.00,D. Montgomery RB - CHI ,0.00,104.62,Dylan,108.80
Elijah,"('6',)",J. Winston QB - TB ,12.10,J. Howard RB - PHI ,4.90,L. Fournette RB - JAX ,11.80,D. Hopkins WR - HOU ,7.50,A. Cooper WR - DAL ,0.30,T. Kelce TE - KC ,5.80,L. Fitzgerald WR - ARI ,6.90,K. Fairbairn K - HOU ,5.00,Broncos DEF ,23.00,J. White RB - NE ,4.50,D. Njoku TE - CLE ,0.00,J. Allen QB - BUF ,0.00,K. Coutee WR - HOU ,3.90,D. Singletary RB - BUF ,0.00,Bears DEF ,0.00,77.30,Leo,88.14
Jack,"('4',)",C. Wentz QB - PHI ,20.54,J. Conner RB - PIT ,23.90,D. Cook RB - MIN ,11.40,S. Diggs WR - MIN ,36.50,C. Godwin WR - TB ,15.10,D. Walker TE - TEN ,4.30,D. Freeman RB - ATL ,23.80,J. Slye K - CAR ,13.00,Cowboys DEF ,4.00,C. Hyde RB - HOU ,17.00,J. Brown WR - BUF ,0.00,M. Brown RB - LA ,4.00,D. Waller TE - LV ,0.00,M. Williams WR - LAC ,7.20,A. Mattison RB - MIN ,4.30,152.54,Will,78.92
Ben,"('3',)",D. Watson QB - HOU ,29.40,E. Elliott RB - DAL ,21.30,M. Breida RB - SF ,6.30,J. Jones WR - ATL ,10.80,T. Lockett WR - SEA ,7.80,G. Kittle TE - SF ,10.30,A. Thielen WR - MIN ,11.70,M. Crosby K - GB ,11.00,Ravens DEF ,5.00,L. McCoy RB - KC ,4.40,D. Lewis RB - TEN ,1.90,L. Murray RB - NO ,7.90,H. Henry TE - LAC ,22.00,D. Pettis WR - SF ,4.50,W. Dissly TE - SEA ,0.00,113.60,Jake,89.90
Jake,"('8',)",R. Wilson QB - SEA ,28.90,D. Henry RB - TEN ,3.30,P. Lindsay RB - DEN ,13.50,M. Thomas WR - NO ,8.90,C. Ridley WR - ATL ,10.80,J. Witten TE - DAL ,5.70,M. Gallup WR - DAL ,4.80,J. Tucker K - BAL ,11.00,Packers DEF ,3.00,J. Landry WR - CLE ,3.60,J. McKinnon RB - SF ,0.00,T. Gurley RB - LA ,0.00,M. Mack RB - IND ,0.00,B. Mayfield QB - CLE ,19.46,C. Sutton WR - DEN ,7.60,89.90,Ben,113.60
Henry,"('9',)",M. Ryan QB - ATL ,30.94,J. Mixon RB - CIN ,3.90,A. Jones RB - GB ,4.00,J. Edelman WR - NE ,11.30,W. Fuller WR - HOU ,4.40,Z. Ertz TE - PHI ,3.40,M. Jones WR - DET ,1.70,G. Zuerlein K - LA ,1.00,Rams DEF ,7.00,E. Sanders WR - SF ,0.00,G. Olsen TE - CAR ,5.20,S. Shepard WR - NYG ,0.00,A. Hooper TE - ATL ,17.70,P. Barber RB - TB ,2.80,D. Metcalf WR - SEA ,7.30,67.64,Sawyer,123.12
Will,"('2',)",A. Rodgers QB - GB ,18.32,A. Kamara RB - NO ,6.60,N. Chubb RB - CLE ,23.90,M. Evans WR - TB ,11.60,B. Cooks WR - LA ,3.20,O. Howard TE - TB ,3.50,M. Gordon RB - LAC ,4.80,H. Butker K - KC ,6.00,Eagles DEF ,1.00,T. Brady QB - NE ,21.96,T. Hilton WR - IND ,0.00,T. Williams WR - LV ,0.00,E. Engram TE - NYG ,0.00,A. Ekeler RB - LAC ,2.80,M. Brown WR - BAL ,0.00,78.92,Jack,152.54
