Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,"('10',)",J. Winston QB - TB ,10.72,C. Carson RB - SEA ,16.90,M. Sanders RB - PHI ,16.50,C. Samuel WR - CAR ,12.50,D. Moore WR - CAR ,13.20,R. Griffin TE - NYJ ,3.00,T. Hill WR - KC ,5.10,M. Badgley K - LAC ,8.00,Jets DEF ,2.00,A. Peterson RB - WAS ,15.90,J. Gordon WR - SEA ,1.00,D. Parker WR - MIA ,27.90,D. Johnson RB - ARI ,2.40,K. Drake RB - ARI ,5.10,J. Washington WR - PIT ,17.10,87.92,Will,73.72
Sawyer,"('1',)",P. Mahomes QB - KC ,19.50,M. Ingram RB - BAL ,6.20,C. McCaffrey RB - CAR ,10.20,T. Boyd WR - CIN ,11.90,D. Chark WR - JAX ,4.70,M. Andrews TE - BAL ,11.00,T. McLaurin WR - WAS ,0.80,M. Gay K - TB ,8.00,Saints DEF ,16.00,S. Watkins WR - KC ,0.00,D. Williams RB - KC ,0.00,J. Driskel QB - DET ,0.00,J. Smith-Schuster WR - PIT ,0.00,C. Edmonds RB - ARI ,0.00,C. Kirk WR - ARI ,2.30,88.30,Leo,85.60
Leo,"('6',)",L. Jackson QB - BAL ,22.30,L. Bell RB - NYJ ,6.70,B. Scarbrough RB - DET ,8.30,D. Adams WR - GB ,18.40,O. Beckham WR - CLE ,2.90,G. Olsen TE - CAR ,2.20,R. Jones RB - TB ,0.80,W. Lutz K - NO ,14.00,Packers DEF ,10.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,19.70,M. Sanu WR - NE ,1.40,R. Woods WR - LA ,17.20,K. Hunt RB - CLE ,12.50,S. Michel RB - NE ,4.50,85.60,Sawyer,88.30
Ari,"('5',)",J. Goff QB - LA ,24.96,S. Barkley RB - NYG ,11.50,J. Jacobs RB - LV ,10.40,A. Robinson WR - CHI ,14.60,C. Kupp WR - LA ,12.50,J. Cook TE - NO ,8.50,J. Crowder WR - NYJ ,0.80,Z. Gonzalez K - ARI ,1.00,Patriots DEF ,2.00,G. Tate WR - NYG ,0.00,T. Coleman RB - SF ,1.50,D. Prescott QB - DAL ,22.70,W. Fuller WR - HOU ,0.80,K. Golladay WR - DET ,21.80,D. Montgomery RB - CHI ,14.70,86.26,Henry,97.80
Elijah,"('9',)",J. Allen QB - BUF ,23.54,L. Fournette RB - JAX ,9.10,D. Singletary RB - BUF ,16.10,D. Hopkins WR - HOU ,10.64,A. Cooper WR - DAL ,8.50,T. Kelce TE - KC ,9.00,K. Ballage RB - MIA ,0.00,K. Fairbairn K - HOU ,4.00,Bears DEF ,5.00,L. Fitzgerald WR - ARI ,5.60,V. McDonald TE - PIT ,2.10,J. White RB - NE ,29.70,J. Howard RB - PHI ,0.00,D. Njoku TE - CLE ,0.00,M. Prater K - DET ,8.00,85.88,Jack,74.66
Jack,"('8',)",D. Brees QB - NO ,11.26,E. Elliott RB - DAL ,13.70,D. Cook RB - MIN ,10.40,K. Allen WR - LAC ,12.80,C. Godwin WR - TB ,5.00,D. Waller TE - LV ,10.00,J. Williams RB - IND ,2.50,J. Tucker K - BAL ,8.00,Eagles DEF ,1.00,J. Jones WR - ATL ,0.00,K. Cousins QB - MIN ,17.04,J. Brown WR - BUF ,7.72,J. Conner RB - PIT ,0.00,A. Mattison RB - MIN ,7.30,Steelers DEF ,13.00,74.66,Elijah,85.88
Ben,"('4',)",K. Murray QB - ARI ,13.32,L. Murray RB - NO ,0.20,A. Jones RB - GB ,3.10,A. Thielen WR - MIN ,0.00,T. Lockett WR - SEA ,0.00,H. Henry TE - LAC ,1.00,S. Diggs WR - MIN ,5.20,M. Crosby K - GB ,7.00,Panthers DEF ,4.00,L. McCoy RB - KC ,9.00,D. Watson QB - HOU ,27.86,J. Williams RB - GB ,6.70,G. Kittle TE - SF ,1.40,M. Breida RB - SF ,0.00,D. Carlson K - LV ,3.00,33.82,Jake,96.90
Jake,"('2',)",R. Wilson QB - SEA ,16.90,T. Gurley RB - LA ,17.50,D. Henry RB - TEN ,20.60,J. Landry WR - CLE ,7.60,M. Thomas WR - NO ,4.80,J. Hollister TE - SEA ,4.40,C. Ridley WR - ATL ,9.10,A. Rosas K - NYG ,7.00,Colts DEF ,9.00,J. Witten TE - DAL ,12.20,J. Garoppolo QB - SF ,9.10,M. Mack RB - IND ,0.00,P. Lindsay RB - DEN ,6.20,M. Gallup WR - DAL ,6.30,C. Sutton WR - DEN ,19.40,96.90,Ben,33.82
Henry,"('7',)",C. Wentz QB - PHI ,24.40,D. Freeman RB - ATL ,6.40,J. Mixon RB - CIN ,13.00,J. Edelman WR - NE ,15.90,D. Metcalf WR - SEA ,5.50,Z. Ertz TE - PHI ,2.40,C. Hyde RB - HOU ,2.20,G. Zuerlein K - LA ,10.00,Rams DEF ,18.00,M. Ryan QB - ATL ,16.58,E. Sanders WR - SF ,4.10,R. Cobb WR - DAL ,5.30,M. Jones WR - DET ,10.00,A. Hooper TE - ATL ,0.00,B. Hill RB - ATL ,3.70,97.80,Ari,86.26
Will,"('3',)",A. Rodgers QB - GB ,28.12,A. Kamara RB - NO ,8.40,N. Chubb RB - CLE ,7.90,T. Hilton WR - IND ,0.00,M. Evans WR - TB ,5.30,E. Engram TE - NYG ,0.00,M. Gordon RB - LAC ,11.00,C. Boswell K - PIT ,8.00,Ravens DEF ,5.00,T. Brady QB - NE ,24.34,E. Ebron TE - IND ,0.00,T. Williams WR - LV ,0.90,A. Ekeler RB - LAC ,12.70,M. Brown WR - BAL ,0.10,H. Butker K - KC ,10.00,73.72,Dylan,87.92
