Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,"('9',)",M. Stafford QB - DET ,23.38,F. Gore RB - BUF ,3.40,C. Carson RB - SEA ,15.00,T. Hill WR - KC ,8.10,M. Williams WR - LAC ,6.90,G. Everett TE - LA ,1.50,T. Johnson RB - DET ,3.80,W. Lutz K - NO ,7.00,Vikings DEF ,12.00,A. Peterson RB - WAS ,10.30,K. Allen WR - LAC ,5.30,D. Johnson RB - ARI ,0.00,D. Moore WR - CAR ,3.80,R. Penny RB - SEA ,5.50,M. Sanders RB - PHI ,19.80,81.08,Sawyer,103.96
Sawyer,"('2',)",G. Minshew QB - JAX ,23.96,C. McCaffrey RB - CAR ,23.50,C. Edmonds RB - ARI ,1.30,D. Chark WR - JAX ,13.90,T. McLaurin WR - WAS ,3.90,T. Hockenson TE - DET ,2.10,J. Smith-Schuster WR - PIT ,16.30,Z. Gonzalez K - ARI ,11.00,Saints DEF ,8.00,M. Ingram RB - BAL ,0.00,S. Watkins WR - KC ,4.50,T. Boyd WR - CIN ,6.80,C. Davis WR - TEN ,0.90,P. Mahomes QB - KC ,0.00,M. Andrews TE - BAL ,0.00,103.96,Dylan,81.08
Leo,"('10',)",K. Cousins QB - MIN ,11.60,L. Bell RB - NYJ ,3.50,S. Michel RB - NE ,7.40,R. Woods WR - LA ,4.20,O. Beckham WR - CLE ,5.20,I. Smith TE - MIN ,2.10,A. Jeffery WR - PHI ,6.40,M. Nugent K ,9.00,Lions DEF ,11.00,A. Green WR - CIN ,0.00,D. Adams WR - GB ,0.00,K. Hunt RB - CLE ,0.00,L. Jackson QB - BAL ,0.00,R. Jones RB - TB ,5.20,M. Walton RB ,3.40,60.40,Jake,94.08
Ari,"('4',)",J. Goff QB - LA ,22.88,T. Coleman RB - SF ,35.80,S. Barkley RB - NYG ,20.30,C. Kupp WR - LA ,28.00,K. Golladay WR - DET ,22.30,C. Brate TE - TB ,3.20,J. Jacobs RB - LV ,8.10,J. Myers K - SEA ,11.00,Patriots DEF ,21.00,G. Tate WR - NYG ,8.50,A. Robinson WR - CHI ,6.20,D. Prescott QB - DAL ,0.00,C. Samuel WR - CAR ,4.60,R. Freeman RB - DEN ,10.50,D. Montgomery RB - CHI ,20.70,172.58,Jack,151.32
Elijah,"('7',)",J. Allen QB - BUF ,17.26,J. Howard RB - PHI ,17.10,L. Fournette RB - JAX ,13.60,L. Fitzgerald WR - ARI ,0.80,D. Hopkins WR - HOU ,10.90,T. Kelce TE - KC ,12.30,D. Singletary RB - BUF ,10.90,K. Fairbairn K - HOU ,9.00,Bears DEF ,4.00,J. White RB - NE ,7.90,A. Cooper WR - DAL ,0.00,J. Brissett QB - IND ,9.48,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,0.00,M. Prater K - DET ,9.00,95.86,Will,108.96
Jack,"('5',)",D. Brees QB - NO ,24.92,J. Conner RB - PIT ,21.00,D. Cook RB - MIN ,23.10,S. Diggs WR - MIN ,12.30,C. Godwin WR - TB ,6.30,D. Waller TE - LV ,7.10,A. Jones RB - GB ,34.60,R. Gould K - SF ,9.00,Steelers DEF ,13.00,J. Brown WR - BUF ,5.40,K. Drake RB - ARI ,0.00,J. Samuels RB - PIT ,0.00,A. Mattison RB - MIN ,6.40,J. Tucker K - BAL ,0.00,49ers DEF ,17.00,151.32,Ari,172.58
Ben,"('1',)",D. Watson QB - HOU ,27.76,L. McCoy RB - KC ,4.30,L. Murray RB - NO ,27.70,J. Jones WR - ATL ,15.20,T. Lockett WR - SEA ,10.00,G. Kittle TE - SF ,8.60,M. Breida RB - SF ,5.00,M. Crosby K - GB ,7.00,Jaguars DEF ,15.00,D. Lewis RB - TEN ,0.20,A. Thielen WR - MIN ,0.00,D. Johnson RB - HOU ,9.40,E. Elliott RB - DAL ,0.00,H. Henry TE - LAC ,4.70,Panthers DEF ,3.00,120.56,Henry,83.28
Jake,"('6',)",R. Wilson QB - SEA ,15.68,T. Gurley RB - LA ,10.40,D. Henry RB - TEN ,6.30,J. Landry WR - CLE ,6.50,M. Thomas WR - NO ,16.30,V. McDonald TE - PIT ,1.90,M. Mack RB - IND ,15.00,A. Vinatieri K - IND ,13.00,Seahawks DEF ,9.00,J. McKinnon RB - SF ,0.00,P. Lindsay RB - DEN ,7.60,M. Gallup WR - DAL ,0.00,B. Mayfield QB - CLE ,11.56,C. Ridley WR - ATL ,9.00,C. Sutton WR - DEN ,7.20,94.08,Leo,60.40
Henry,"('8',)",C. Wentz QB - PHI ,14.38,D. Freeman RB - ATL ,8.20,J. Mixon RB - CIN ,13.70,J. Edelman WR - NE ,19.50,M. Jones WR - DET ,2.20,Z. Ertz TE - PHI ,2.00,C. Hyde RB - HOU ,8.30,G. Zuerlein K - LA ,6.00,Rams DEF ,9.00,M. Ryan QB - ATL ,0.00,E. Sanders WR - SF ,8.50,G. Olsen TE - CAR ,1.30,S. Shepard WR - NYG ,0.00,A. Hooper TE - ATL ,12.50,D. Metcalf WR - SEA ,13.30,83.28,Ben,120.56
Will,"('3',)",T. Brady QB - NE ,18.36,M. Gordon RB - LAC ,9.40,N. Chubb RB - CLE ,9.80,T. Hilton WR - IND ,5.40,M. Evans WR - TB ,31.80,E. Engram TE - NYG ,10.00,A. Ekeler RB - LAC ,8.20,H. Butker K - KC ,6.00,Eagles DEF ,10.00,A. Rodgers QB - GB ,27.10,B. Cooks WR - LA ,0.00,T. Williams WR - LV ,15.10,O. Howard TE - TB ,0.00,A. Kamara RB - NO ,0.00,M. Brown WR - BAL ,0.00,108.96,Elijah,95.86
