Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,5,J. Winston QB - TB ,25.50,D. Johnson RB - ARI ,12.50,K. Johnson RB - DET ,10.30,K. Allen WR - LAC ,30.60,N. Agholor WR - PHI ,15.00,V. McDonald TE - PIT ,1.00,C. Carson RB - SEA ,3.00,W. Lutz K - NO ,3.00,Packers DEF ,13.00,A. Peterson RB - WAS ,3.40,R. Mostert RB - SF ,5.90,T. Hill WR - KC ,0.00,D. Moore WR - CAR ,12.40,M. Valdes-Scantling WR - GB ,15.90,M. Sanders RB - PHI ,10.60,113.90,Jack,92.76
Sawyer,2,P. Mahomes QB - KC ,27.86,M. Ingram RB - BAL ,31.50,C. McCaffrey RB - CAR ,24.80,S. Watkins WR - KC ,6.40,J. Smith-Schuster WR - PIT ,14.10,M. Andrews TE - BAL ,1.50,T. Boyd WR - CIN ,6.80,M. Bryant K ,6.00,Bills DEF ,11.00,J. Brown WR - BUF ,5.50,D. Williams RB - KC ,0.00,J. Jackson RB - LAC ,3.00,C. Kirk WR - ARI ,5.90,D. Chark WR - JAX ,13.60,D. Thompson RB - KC ,0.80,129.96,Jake,112.34
Leo,10,L. Jackson QB - BAL ,21.28,S. Michel RB - NE ,7.10,S. Barkley RB - NYG ,3.70,D. Adams WR - GB ,5.60,K. Golladay WR - DET ,1.70,T. Hockenson TE - DET ,0.10,R. Woods WR - LA ,5.80,B. Maher K ,7.00,Vikings DEF ,7.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,J. Gordon WR - SEA ,8.40,J. Ross WR - CIN ,0.20,R. Jones RB - TB ,12.10,T. McLaurin WR - WAS ,13.00,59.28,Will,137.80
Ari,3,D. Prescott QB - DAL ,22.54,F. Gore RB - BUF ,14.90,L. Bell RB - NYJ ,6.30,O. Beckham WR - CLE ,5.60,C. Kupp WR - LA ,22.10,D. Walker TE - TEN ,6.40,D. Montgomery RB - CHI ,8.10,S. Gostkowski K - NE ,6.00,Patriots DEF ,14.00,A. Brown WR ,0.00,A. Robinson WR - CHI ,6.00,T. Coleman RB - SF ,0.00,J. Goff QB - LA ,14.12,R. Freeman RB - DEN ,7.30,J. Jacobs RB - LV ,4.40,105.94,Ben,121.04
Elijah,6,J. Allen QB - BUF ,18.32,J. White RB - NE ,0.00,L. Fournette RB - JAX ,9.20,D. Hopkins WR - HOU ,6.70,A. Cooper WR - DAL ,20.80,T. Kelce TE - KC ,8.90,L. Fitzgerald WR - ARI ,9.60,K. Fairbairn K - HOU ,3.00,Bears DEF ,21.00,D. Moncrief WR ,0.00,J. Howard RB - PHI ,9.70,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,0.00,A. Isabella WR - ARI ,0.00,D. Singletary RB - BUF ,0.00,97.52,Henry,96.26
Jack,7,C. Wentz QB - PHI ,21.66,J. Conner RB - PIT ,3.70,D. Cook RB - MIN ,20.30,S. Diggs WR - MIN ,1.50,C. Godwin WR - TB ,4.00,D. Waller TE - LV ,14.10,D. Freeman RB - ATL ,9.50,R. Gould K - SF ,6.00,Cowboys DEF ,12.00,M. Brown RB - LA ,0.70,M. Williams WR - LAC ,4.50,J. Samuels RB - PIT ,0.00,K. Murray QB - ARI ,17.82,M. Hardman WR - KC ,16.40,Chargers DEF ,4.00,92.76,Dylan,113.90
Ben,4,D. Watson QB - HOU ,25.84,E. Elliott RB - DAL ,13.90,M. Breida RB - SF ,8.80,J. Jones WR - ATL ,18.80,T. Lockett WR - SEA ,21.40,G. Kittle TE - SF ,5.70,A. Thielen WR - MIN ,17.60,M. Crosby K - GB ,9.00,Ravens DEF ,0.00,L. McCoy RB - KC ,20.00,D. Lewis RB - TEN ,2.00,L. Murray RB - NO ,0.20,H. Henry TE - LAC ,0.00,G. Allison WR - GB ,-0.10,D. Pettis WR - SF ,8.00,121.04,Ari,105.94
Jake,9,R. Wilson QB - SEA ,41.34,T. Gurley RB - LA ,4.30,D. Henry RB - TEN ,10.60,J. Landry WR - CLE ,6.20,M. Thomas WR - NO ,11.40,E. Ebron TE - IND ,4.70,M. Mack RB - IND ,14.80,J. Tucker K - BAL ,4.00,Jaguars DEF ,15.00,J. McKinnon RB - SF ,0.00,P. Lindsay RB - DEN ,25.00,M. Gallup WR - DAL ,0.00,B. Mayfield QB - CLE ,9.70,C. Ridley WR - ATL ,0.60,C. Sutton WR - DEN ,8.70,112.34,Sawyer,129.96
Henry,8,M. Ryan QB - ATL ,22.46,J. Mixon RB - CIN ,15.40,A. Jones RB - GB ,14.30,J. Edelman WR - NE ,12.20,E. Sanders WR - SF ,1.00,Z. Ertz TE - PHI ,6.40,P. Barber RB - TB ,5.50,G. Zuerlein K - LA ,10.00,Rams DEF ,9.00,G. Olsen TE - CAR ,19.50,M. Jones WR - DET ,16.10,S. Shepard WR - NYG ,20.10,W. Fuller WR - HOU ,5.10,A. Hooper TE - ATL ,18.60,D. Metcalf WR - SEA ,6.70,96.26,Elijah,97.52
Will,1,A. Rodgers QB - GB ,13.30,A. Kamara RB - NO ,28.10,A. Ekeler RB - LAC ,8.10,M. Evans WR - TB ,37.00,M. Brown WR - BAL ,4.90,E. Engram TE - NYG ,17.30,N. Chubb RB - CLE ,13.10,H. Butker K - KC ,9.00,49ers DEF ,7.00,T. Brady QB - NE ,20.14,T. Hilton WR - IND ,12.50,B. Cooks WR - LA ,12.00,C. Hyde RB - HOU ,7.90,M. Gordon RB - LAC ,0.00,T. Williams WR - LV ,8.90,137.80,Leo,59.28
