Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,"('4',)",C. Newton QB - CAR ,11.32,D. Johnson RB - ARI ,7.40,K. Johnson RB - DET ,14.80,K. Allen WR - LAC ,9.80,D. Moore WR - CAR ,8.90,V. McDonald TE - PIT ,15.80,C. Carson RB - SEA ,6.70,W. Lutz K - NO ,11.00,Texans DEF ,10.00,D. Jackson WR - PHI ,0.00,A. Peterson RB - WAS ,9.20,T. Hill WR - KC ,0.00,M. Valdes-Scantling WR - GB ,1.90,D. Henderson RB - LA ,0.00,M. Sanders RB - PHI ,3.70,95.72,Will,105.26
Sawyer,"('2',)",P. Mahomes QB - KC ,31.62,D. Williams RB - KC ,5.60,C. McCaffrey RB - CAR ,5.30,S. Watkins WR - KC ,4.90,J. Smith-Schuster WR - PIT ,8.40,M. Andrews TE - BAL ,17.20,M. Ingram RB - BAL ,7.70,M. Bryant K ,8.00,Bills DEF ,6.00,C. Thompson RB - WAS ,5.10,J. Brown WR - BUF ,7.20,T. Montgomery RB - NYJ ,4.00,T. Boyd WR - CIN ,12.20,J. Jackson RB - LAC ,6.40,C. Kirk WR - ARI ,11.40,94.72,Ben,94.46
Leo,"('10',)",L. Jackson QB - BAL ,30.88,S. Michel RB - NE ,12.30,S. Barkley RB - NYG ,19.50,J. Gordon WR - SEA ,1.90,D. Adams WR - GB ,10.60,T. Hockenson TE - DET ,0.70,R. Woods WR - LA ,4.20,J. Elliott K - PHI ,6.00,Vikings DEF ,6.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,J. Ross WR - CIN ,17.20,K. Golladay WR - DET ,17.70,R. Jones RB - TB ,0.90,T. McLaurin WR - WAS ,12.20,92.08,Henry,104.10
Ari,"('1',)",D. Prescott QB - DAL ,27.66,L. Bell RB - NYJ ,10.90,J. Jacobs RB - LV ,9.90,A. Brown WR ,12.10,O. Beckham WR - CLE ,22.10,D. Walker TE - TEN ,3.90,C. Kupp WR - LA ,12.60,S. Gostkowski K - NE ,7.00,Patriots DEF ,37.00,A. Robinson WR - CHI ,4.10,T. Coleman RB - SF ,0.00,J. Goff QB - LA ,19.12,C. Samuel WR - CAR ,9.30,R. Freeman RB - DEN ,10.20,D. Montgomery RB - CHI ,12.80,143.16,Elijah,96.12
Elijah,"('8',)",J. Allen QB - BUF ,22.22,L. Fournette RB - JAX ,8.70,D. Singletary RB - BUF ,11.70,D. Hopkins WR - HOU ,4.00,A. Cooper WR - DAL ,10.40,T. Kelce TE - KC ,16.70,L. Fitzgerald WR - ARI ,10.40,K. Fairbairn K - HOU ,7.00,Bears DEF ,5.00,D. Moncrief WR ,0.00,J. White RB - NE ,8.90,J. Howard RB - PHI ,2.60,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,0.70,A. Isabella WR - ARI ,0.00,96.12,Ari,143.16
Jack,"('6',)",C. Wentz QB - PHI ,17.54,J. Conner RB - PIT ,10.50,D. Cook RB - MIN ,25.10,S. Diggs WR - MIN ,8.90,C. Godwin WR - TB ,18.10,D. Waller TE - LV ,6.30,D. Freeman RB - ATL ,6.40,R. Gould K - SF ,11.00,Cowboys DEF ,1.00,D. Brees QB - NO ,-0.48,M. Brown RB - LA ,4.70,D. Johnson RB - HOU ,3.10,O. Howard TE - TB ,0.00,M. Williams WR - LAC ,8.30,M. Hardman WR - KC ,12.10,104.84,Jake,91.30
Ben,"('5',)",D. Watson QB - HOU ,12.86,E. Elliott RB - DAL ,18.00,M. Breida RB - SF ,13.20,J. Jones WR - ATL ,22.60,T. Lockett WR - SEA ,7.90,G. Kittle TE - SF ,5.40,A. Thielen WR - MIN ,7.50,M. Crosby K - GB ,3.00,Ravens DEF ,4.00,L. McCoy RB - KC ,2.30,D. Lewis RB - TEN ,1.40,L. Murray RB - NO ,2.30,H. Henry TE - LAC ,0.00,G. Allison WR - GB ,6.50,D. Pettis WR - SF ,0.64,94.46,Sawyer,94.72
Jake,"('9',)",B. Mayfield QB - CLE ,15.00,T. Gurley RB - LA ,12.70,D. Henry RB - TEN ,15.40,J. Landry WR - CLE ,3.20,M. Thomas WR - NO ,8.90,E. Ebron TE - IND ,8.50,P. Lindsay RB - DEN ,6.60,J. Tucker K - BAL ,13.00,Jaguars DEF ,8.00,R. Wilson QB - SEA ,24.20,J. McKinnon RB - SF ,0.00,M. Mack RB - IND ,6.30,M. Gallup WR - DAL ,6.80,C. Ridley WR - ATL ,16.50,C. Sutton WR - DEN ,4.00,91.30,Jack,104.84
Henry,"('7',)",M. Ryan QB - ATL ,19.10,J. Mixon RB - CIN ,2.70,A. Jones RB - GB ,21.00,J. Edelman WR - NE ,5.20,E. Sanders WR - SF ,17.80,Z. Ertz TE - PHI ,9.20,D. Metcalf WR - SEA ,12.10,G. Zuerlein K - LA ,9.00,Rams DEF ,8.00,G. Olsen TE - CAR ,11.00,M. Jones WR - DET ,4.30,S. Shepard WR - NYG ,0.00,W. Fuller WR - HOU ,4.00,A. Hooper TE - ATL ,3.40,P. Barber RB - TB ,14.90,104.10,Leo,92.08
Will,"('3',)",T. Brady QB - NE ,24.66,A. Kamara RB - NO ,6.00,N. Chubb RB - CLE ,15.80,M. Evans WR - TB ,6.10,B. Cooks WR - LA ,13.60,E. Engram TE - NYG ,4.80,A. Ekeler RB - LAC ,17.30,H. Butker K - KC ,4.00,Browns DEF ,13.00,A. Rodgers QB - GB ,14.36,T. Hilton WR - IND ,10.30,C. Hyde RB - HOU ,9.00,M. Gordon RB - LAC ,0.00,T. Williams WR - LV ,10.60,M. Brown WR - BAL ,8.60,105.26,Dylan,95.72
