Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,9,K. Murray QB - ARI ,25.42,D. Johnson RB - ARI ,15.60,C. Carson RB - SEA ,18.30,K. Allen WR - LAC ,1.80,D. Robinson WR - KC ,3.10,T. Eifert TE - CIN ,1.40,M. Sanders RB - PHI ,6.40,W. Lutz K - NO ,7.00,Titans DEF ,7.00,F. Gore RB - BUF ,6.90,A. Peterson RB - WAS ,1.80,T. Hill WR - KC ,0.00,R. Anderson WR - NYJ ,1.60,K. Johnson RB - DET ,0.00,D. Moore WR - CAR ,9.10,86.02,Elijah,116.56
Sawyer,2,P. Mahomes QB - KC ,18.54,M. Ingram RB - BAL ,10.90,C. McCaffrey RB - CAR ,41.70,T. Boyd WR - CIN ,18.30,J. Smith-Schuster WR - PIT ,11.50,M. Andrews TE - BAL ,4.50,S. Watkins WR - KC ,0.00,M. Bryant K ,6.00,49ers DEF ,19.00,J. Brown WR - BUF ,7.50,D. Williams RB - KC ,3.80,C. Kirk WR - ARI ,0.00,R. Penny RB - SEA ,4.90,D. Chark WR - JAX ,28.40,T. McLaurin WR - WAS ,5.10,130.44,Jack,107.16
Leo,10,L. Jackson QB - BAL ,11.44,L. Bell RB - NYJ ,8.80,W. Gallman RB - NYG ,1.40,R. Woods WR - LA ,4.80,O. Beckham WR - CLE ,3.00,J. Graham TE - GB ,4.10,R. Jones RB - TB ,5.60,R. Gould K - SF ,7.00,Vikings DEF ,12.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,5.20,J. Gordon WR - SEA ,5.90,D. Adams WR - GB ,0.00,C. Herndon TE - NYJ ,0.00,S. Michel RB - NE ,18.30,58.14,Ben,126.44
Ari,5,D. Prescott QB - DAL ,23.22,J. Jacobs RB - LV ,26.30,D. Montgomery RB - CHI ,9.60,A. Robinson WR - CHI ,21.70,C. Kupp WR - LA ,17.70,O. Howard TE - TB ,1.00,C. Samuel WR - CAR ,4.40,E. Pineiro K - CHI ,3.00,Patriots DEF ,14.00,G. Tate WR - NYG ,1.30,T. Coleman RB - SF ,15.70,J. Goff QB - LA ,17.90,K. Golladay WR - DET ,0.00,R. Freeman RB - DEN ,6.70,S. Barkley RB - NYG ,0.00,120.92,Henry,132.30
Elijah,4,J. Allen QB - BUF ,17.46,J. Howard RB - PHI ,12.20,L. Fournette RB - JAX ,19.70,D. Hopkins WR - HOU ,8.80,A. Cooper WR - DAL ,28.60,T. Kelce TE - KC ,7.00,L. Fitzgerald WR - ARI ,5.80,K. Fairbairn K - HOU ,13.00,Bears DEF ,4.00,D. Moncrief WR ,0.00,J. White RB - NE ,7.20,J. Winston QB - TB ,17.46,D. Njoku TE - CLE ,0.00,K. Coutee WR - HOU ,7.20,D. Singletary RB - BUF ,0.00,116.56,Dylan,86.02
Jack,7,C. Wentz QB - PHI ,12.06,J. Conner RB - PIT ,11.50,D. Cook RB - MIN ,19.80,S. Diggs WR - MIN ,4.40,C. Godwin WR - TB ,24.50,D. Waller TE - LV ,3.90,D. Freeman RB - ATL ,13.00,J. Slye K - CAR ,4.00,Chargers DEF ,14.00,M. Brown RB - LA ,0.30,M. Williams WR - LAC ,7.40,J. Samuels RB - PIT ,-0.54,M. Valdes-Scantling WR - GB ,1.80,D. Williams RB - KC ,0.00,A. Mattison RB - MIN ,5.20,107.16,Sawyer,130.44
Ben,3,D. Watson QB - HOU ,41.74,L. McCoy RB - KC ,0.30,E. Elliott RB - DAL ,15.10,J. Jones WR - ATL ,4.20,T. Lockett WR - SEA ,10.30,G. Kittle TE - SF ,14.80,A. Thielen WR - MIN ,25.00,M. Crosby K - GB ,10.00,Ravens DEF ,5.00,D. Lewis RB - TEN ,3.00,L. Murray RB - NO ,3.40,H. Henry TE - LAC ,0.00,M. Breida RB - SF ,24.90,D. Pettis WR - SF ,1.10,W. Dissly TE - SEA ,8.80,126.44,Leo,58.14
Jake,6,R. Wilson QB - SEA ,29.92,T. Gurley RB - LA ,15.70,D. Henry RB - TEN ,13.80,M. Thomas WR - NO ,30.20,C. Sutton WR - DEN ,15.20,E. Ebron TE - IND ,0.80,P. Lindsay RB - DEN ,20.70,J. Tucker K - BAL ,14.00,Buccaneers DEF ,1.00,J. Landry WR - CLE ,7.50,J. McKinnon RB - SF ,0.00,M. Mack RB - IND ,14.80,M. Gallup WR - DAL ,17.30,B. Mayfield QB - CLE ,-2.00,C. Ridley WR - ATL ,14.80,141.32,Will,88.94
Henry,8,M. Ryan QB - ATL ,31.90,J. Mixon RB - CIN ,10.90,A. Jones RB - GB ,42.20,J. Edelman WR - NE ,17.00,E. Sanders WR - SF ,0.90,Z. Ertz TE - PHI ,11.70,S. Shepard WR - NYG ,4.70,G. Zuerlein K - LA ,11.00,Rams DEF ,2.00,G. Olsen TE - CAR ,0.00,M. Jones WR - DET ,0.00,W. Fuller WR - HOU ,39.70,A. Hooper TE - ATL ,7.60,P. Barber RB - TB ,9.10,D. Metcalf WR - SEA ,10.40,132.30,Ari,120.92
Will,1,A. Rodgers QB - GB ,9.42,A. Kamara RB - NO ,10.92,N. Chubb RB - CLE ,9.90,M. Evans WR - TB ,0.00,M. Brown WR - BAL ,8.20,E. Engram TE - NYG ,4.70,M. Gordon RB - LAC ,3.80,H. Butker K - KC ,7.00,Eagles DEF ,35.00,T. Brady QB - NE ,23.92,T. Hilton WR - IND ,3.70,B. Cooks WR - LA ,5.60,C. Hyde RB - HOU ,12.00,T. Williams WR - LV ,0.00,A. Ekeler RB - LAC ,7.30,88.94,Jake,141.32
