Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,4,C. Newton QB - CAR ,5.36,D. Johnson RB - ARI ,19.70,K. Johnson RB - DET ,6.20,K. Allen WR - LAC ,18.30,T. Hill WR - KC ,2.10,V. McDonald TE - PIT ,4.00,C. Carson RB - SEA ,18.00,W. Lutz K - NO ,14.00,Vikings DEF ,14.00,D. Jackson WR - PHI ,27.40,D. Westbrook WR - JAX ,9.20,D. Moore WR - CAR ,5.60,K. Ballage RB - MIA ,1.20,D. Henderson RB - LA ,0.00,M. Sanders RB - PHI ,2.70,101.66,Jake,81.80
Sawyer,2,P. Mahomes QB - KC ,27.32,D. Williams RB - KC ,12.50,C. McCaffrey RB - CAR ,32.90,T. Boyd WR - CIN ,6.30,J. Smith-Schuster WR - PIT ,7.80,M. Andrews TE - BAL ,16.80,M. Ingram RB - BAL ,22.70,M. Bryant K ,0.00,Chargers DEF ,2.00,S. Watkins WR - KC ,37.80,J. Brown WR - BUF ,18.30,C. Davis WR - TEN ,0.00,J. Jackson RB - LAC ,6.10,C. Kirk WR - ARI ,6.40,D. Guice RB - WAS ,3.80,128.32,Elijah,101.44
Leo,9,L. Jackson QB - BAL ,33.56,S. Michel RB - NE ,1.40,S. Barkley RB - NYG ,13.90,R. Woods WR - LA ,8.60,K. Golladay WR - DET ,10.20,J. Cook TE - NO ,3.70,M. Evans WR - TB ,2.80,J. Myers K - SEA ,3.00,Eagles DEF ,1.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,17.10,J. Gordon WR - SEA ,13.30,M. Gordon RB - LAC ,0.00,K. Drake RB - ARI ,2.70,R. Anderson WR - NYJ ,2.30,78.16,Ari,134.60
Ari,1,D. Prescott QB - DAL ,33.40,L. Bell RB - NYJ ,17.20,J. Jacobs RB - LV ,23.30,O. Beckham WR - CLE ,7.10,C. Kupp WR - LA ,4.60,D. Walker TE - TEN ,17.50,D. Montgomery RB - CHI ,4.50,S. Gostkowski K - NE ,15.00,Seahawks DEF ,12.00,A. Brown WR ,0.00,A. Robinson WR - CHI ,10.20,T. Coleman RB - SF ,5.60,J. Goff QB - LA ,9.44,C. Samuel WR - CAR ,3.20,R. Freeman RB - DEN ,6.10,134.60,Leo,78.16
Elijah,6,B. Roethlisberger QB - PIT ,9.74,J. Howard RB - PHI ,5.50,L. Fournette RB - JAX ,7.40,D. Hopkins WR - HOU ,23.10,A. Cooper WR - DAL ,16.60,T. Kelce TE - KC ,8.80,L. Fitzgerald WR - ARI ,17.30,K. Fairbairn K - HOU ,4.00,Bears DEF ,9.00,D. Moncrief WR ,0.70,J. White RB - NE ,8.20,D. Njoku TE - CLE ,9.70,K. Coutee WR - HOU ,0.00,A. Isabella WR - ARI ,0.00,D. Singletary RB - BUF ,9.80,101.44,Sawyer,128.32
Jack,8,D. Brees QB - NO ,20.80,J. Conner RB - PIT ,6.50,D. Cook RB - MIN ,24.00,S. Diggs WR - MIN ,3.70,C. Godwin WR - TB ,11.30,O. Howard TE - TB ,1.20,D. Freeman RB - ATL ,1.10,A. Rosas K - NYG ,5.00,Cowboys DEF ,6.00,D. Johnson RB - HOU ,9.00,C. Wentz QB - PHI ,25.02,M. Williams WR - LAC ,2.90,R. Penny RB - SEA ,1.80,M. Valdes-Scantling WR - GB ,5.20,A. Mattison RB - MIN ,4.90,79.60,Ben,98.92
Ben,5,D. Watson QB - HOU ,30.72,E. Elliott RB - DAL ,12.30,M. Breida RB - SF ,3.70,J. Jones WR - ATL ,9.10,T. Lockett WR - SEA ,10.40,G. Kittle TE - SF ,5.40,A. Thielen WR - MIN ,10.30,M. Crosby K - GB ,4.00,Ravens DEF ,13.00,L. McCoy RB - KC ,9.30,D. Lewis RB - TEN ,1.30,L. Murray RB - NO ,10.70,H. Henry TE - LAC ,6.00,G. Allison WR - GB ,0.00,D. Pettis WR - SF ,0.70,98.92,Jack,79.60
Jake,7,B. Mayfield QB - CLE ,9.40,T. Gurley RB - LA ,10.10,D. Henry RB - TEN ,27.90,J. Landry WR - CLE ,7.70,M. Thomas WR - NO ,12.30,E. Ebron TE - IND ,0.80,P. Lindsay RB - DEN ,6.60,J. Tucker K - BAL ,11.00,Jaguars DEF ,-4.00,R. Wilson QB - SEA ,16.60,J. McKinnon RB - SF ,0.00,M. Mack RB - IND ,25.40,M. Gallup WR - DAL ,15.80,C. Ridley WR - ATL ,12.40,C. Sutton WR - DEN ,12.00,81.80,Dylan,101.66
Henry,10,M. Ryan QB - ATL ,18.56,P. Barber RB - TB ,4.50,J. Mixon RB - CIN ,1.70,E. Sanders WR - SF ,14.60,D. Adams WR - GB ,3.60,Z. Ertz TE - PHI ,5.40,A. Jones RB - GB ,3.90,G. Zuerlein K - LA ,14.00,Rams DEF ,9.00,G. Olsen TE - CAR ,3.60,M. Jones WR - DET ,6.00,A. Wilson WR - MIA ,1.40,S. Shepard WR - NYG ,4.20,A. Hooper TE - ATL ,7.70,D. Metcalf WR - SEA ,8.90,75.26,Will,113.74
Will,3,J. Winston QB - TB ,7.06,A. Kamara RB - NO ,16.90,N. Chubb RB - CLE ,8.50,J. Edelman WR - NE ,10.38,B. Cooks WR - LA ,3.90,E. Engram TE - NYG ,17.60,A. Ekeler RB - LAC ,33.40,H. Butker K - KC ,16.00,Browns DEF ,0.00,T. Brady QB - NE ,25.64,A. Rodgers QB - GB ,12.92,T. Hilton WR - IND ,20.70,T. Williams WR - LV ,16.50,W. Fuller WR - HOU ,6.90,T. Cohen RB - CHI ,4.90,113.74,Henry,75.26
