Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,8,K. Murray QB - ARI ,6.96,D. Johnson RB - ARI ,0.20,K. Johnson RB - DET ,2.30,K. Allen WR - LAC ,6.10,T. Hill WR - KC ,13.40,G. Everett TE - LA ,11.00,C. Carson RB - SEA ,7.40,W. Lutz K - NO ,10.00,Titans DEF ,4.00,F. Gore RB - BUF ,6.60,A. Peterson RB - WAS ,6.10,J. Crowder WR - NYJ ,2.60,R. Anderson WR - NYJ ,1.00,D. Moore WR - CAR ,0.00,M. Sanders RB - PHI ,3.20,61.36,Ben,119.62
Sawyer,2,P. Mahomes QB - KC ,7.24,M. Ingram RB - BAL ,5.30,D. Williams RB - KC ,0.60,D. Chark WR - JAX ,7.30,T. McLaurin WR - WAS ,1.10,M. Andrews TE - BAL ,3.90,T. Boyd WR - CIN ,3.50,Z. Gonzalez K - ARI ,9.00,Saints DEF ,8.00,S. Watkins WR - KC ,0.00,C. McCaffrey RB - CAR ,0.00,J. Smith-Schuster WR - PIT ,0.00,C. Edmonds RB - ARI ,33.00,C. Kirk WR - ARI ,0.00,G. Minshew QB - JAX ,21.00,45.94,Leo,110.32
Leo,9,L. Jackson QB - BAL ,23.32,L. Bell RB - NYJ ,7.60,S. Michel RB - NE ,21.40,A. Jeffery WR - PHI ,3.80,R. Woods WR - LA ,8.60,J. Graham TE - GB ,12.50,J. Williams RB - GB ,9.10,J. Lambo K - JAX ,13.00,Bills DEF ,11.00,A. Green WR - CIN ,0.00,J. Gordon WR - SEA ,0.00,D. Adams WR - GB ,0.00,O. Beckham WR - CLE ,0.00,J. Winston QB - TB ,0.00,R. Jones RB - TB ,0.00,110.32,Sawyer,45.94
Ari,5,J. Goff QB - LA ,25.02,S. Barkley RB - NYG ,14.00,J. Jacobs RB - LV ,13.40,C. Kupp WR - LA ,5.00,K. Golladay WR - DET ,2.10,T. Hockenson TE - DET ,3.20,T. Coleman RB - SF ,6.10,J. Myers K - SEA ,10.00,Patriots DEF ,25.00,G. Tate WR - NYG ,8.00,A. Robinson WR - CHI ,14.70,D. Prescott QB - DAL ,20.56,C. Samuel WR - CAR ,0.00,R. Freeman RB - DEN ,12.70,D. Montgomery RB - CHI ,-0.10,103.82,Will,102.06
Elijah,6,J. Brissett QB - IND ,27.64,J. Howard RB - PHI ,5.60,L. Fournette RB - JAX ,14.50,D. Hopkins WR - HOU ,16.60,A. Cooper WR - DAL ,10.60,T. Kelce TE - KC ,4.40,L. Fitzgerald WR - ARI ,1.20,M. Prater K - DET ,6.00,Bears DEF ,6.00,J. White RB - NE ,5.90,D. Njoku TE - CLE ,0.00,J. Allen QB - BUF ,21.28,K. Coutee WR - HOU ,8.90,D. Singletary RB - BUF ,2.60,K. Fairbairn K - HOU ,11.00,92.54,Jack,116.94
Jack,3,C. Wentz QB - PHI ,6.84,C. Hyde RB - HOU ,3.50,D. Cook RB - MIN ,26.90,J. Brown WR - BUF ,14.30,S. Diggs WR - MIN ,14.30,D. Waller TE - LV ,24.60,D. Freeman RB - ATL ,2.50,R. Gould K - SF ,9.00,49ers DEF ,15.00,J. Conner RB - PIT ,0.00,C. Godwin WR - TB ,0.00,M. Williams WR - LAC ,4.70,A. Mattison RB - MIN ,1.80,J. Slye K - CAR ,0.00,Steelers DEF ,0.00,116.94,Elijah,92.54
Ben,1,D. Watson QB - HOU ,15.52,L. Murray RB - NO ,27.00,E. Elliott RB - DAL ,20.70,J. Jones WR - ATL ,9.30,T. Lockett WR - SEA ,11.80,G. Kittle TE - SF ,3.80,A. Thielen WR - MIN ,8.50,M. Crosby K - GB ,6.00,Jaguars DEF ,17.00,L. McCoy RB - KC ,7.60,D. Lewis RB - TEN ,0.20,D. Johnson RB - HOU ,5.60,H. Henry TE - LAC ,9.70,M. Breida RB - SF ,3.60,Panthers DEF ,0.00,119.62,Dylan,61.36
Jake,10,R. Wilson QB - SEA ,14.34,D. Henry RB - TEN ,16.80,P. Lindsay RB - DEN ,3.20,M. Thomas WR - NO ,13.10,M. Gallup WR - DAL ,3.40,J. Witten TE - DAL ,3.30,T. Gurley RB - LA ,11.40,J. Tucker K - BAL ,12.00,Packers DEF ,4.00,J. Landry WR - CLE ,0.00,J. McKinnon RB - SF ,0.00,M. Mack RB - IND ,5.60,B. Mayfield QB - CLE ,0.00,C. Ridley WR - ATL ,3.00,C. Sutton WR - DEN ,8.70,81.54,Henry,103.66
Henry,7,M. Ryan QB - ATL ,2.56,J. Mixon RB - CIN ,6.40,A. Jones RB - GB ,14.30,J. Edelman WR - NE ,6.70,W. Fuller WR - HOU ,0.60,Z. Ertz TE - PHI ,3.80,M. Jones WR - DET ,33.30,G. Zuerlein K - LA ,15.00,Rams DEF ,21.00,E. Sanders WR - SF ,6.00,G. Olsen TE - CAR ,0.00,S. Shepard WR - NYG ,0.00,A. Hooper TE - ATL ,10.60,P. Barber RB - TB ,0.00,D. Metcalf WR - SEA ,3.30,103.66,Jake,81.54
Will,4,A. Rodgers QB - GB ,43.76,M. Gordon RB - LAC ,6.90,A. Ekeler RB - LAC ,18.50,T. Hilton WR - IND ,13.40,B. Cooks WR - LA ,5.90,E. Engram TE - NYG ,0.60,M. Brown WR - BAL ,0.00,H. Butker K - KC ,12.00,Eagles DEF ,1.00,T. Brady QB - NE ,11.96,M. Evans WR - TB ,0.00,T. Williams WR - LV ,0.00,O. Howard TE - TB ,0.00,A. Kamara RB - NO ,0.00,N. Chubb RB - CLE ,0.00,102.06,Ari,103.82
