Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,10,J. Winston QB - TB ,24.32,C. Carson RB - SEA ,5.70,M. Sanders RB - PHI ,8.60,C. Samuel WR - CAR ,4.90,D. Moore WR - CAR ,25.40,D. Goedert TE - PHI ,1.20,D. Parker WR - MIA ,9.10,N. Folk K - NE ,7.00,Bills DEF ,13.00,A. Peterson RB - WAS ,4.90,J. Gordon WR - SEA ,1.00,D. Johnson RB - ARI ,0.00,K. Drake RB - ARI ,0.00,T. Hill WR - KC ,0.00,J. Washington WR - PIT ,15.80,99.22,Sawyer,103.28
Sawyer,1,J. Driskel QB - DET ,12.58,M. Ingram RB - BAL ,23.80,C. McCaffrey RB - CAR ,25.30,T. Boyd WR - CIN ,14.10,D. Chark WR - JAX ,5.80,M. Andrews TE - BAL ,4.50,T. McLaurin WR - WAS ,7.20,M. Gay K - TB ,5.00,Saints DEF ,5.00,S. Watkins WR - KC ,0.00,D. Williams RB - KC ,0.00,P. Mahomes QB - KC ,0.00,J. Smith-Schuster WR - PIT ,0.00,C. Edmonds RB - ARI ,0.00,C. Kirk WR - ARI ,0.00,103.28,Dylan,99.22
Leo,6,L. Jackson QB - BAL ,36.26,L. Bell RB - NYJ ,10.80,S. Michel RB - NE ,8.50,D. Adams WR - GB ,12.30,O. Beckham WR - CLE ,14.40,G. Olsen TE - CAR ,4.40,K. Hunt RB - CLE ,10.60,W. Lutz K - NO ,10.00,Browns DEF ,8.00,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,M. Sanu WR - NE ,0.00,R. Woods WR - LA ,9.70,R. Jones RB - TB ,12.70,D. Guice RB - WAS ,3.80,115.26,Elijah,91.80
Ari,5,B. Mayfield QB - CLE ,23.58,S. Barkley RB - NYG ,6.00,J. Jacobs RB - LV ,3.60,C. Kupp WR - LA ,3.50,K. Golladay WR - DET ,6.10,J. Cook TE - NO ,15.90,T. Coleman RB - SF ,10.90,S. Hauschka K - BUF ,8.00,Patriots DEF ,6.00,G. Tate WR - NYG ,9.30,A. Robinson WR - CHI ,19.10,J. Crowder WR - NYJ ,1.80,D. Prescott QB - DAL ,6.88,W. Fuller WR - HOU ,14.00,D. Montgomery RB - CHI ,3.10,83.58,Will,92.46
Elijah,9,J. Allen QB - BUF ,19.00,L. Fournette RB - JAX ,27.90,D. Singletary RB - BUF ,11.40,D. Hopkins WR - HOU ,21.40,A. Cooper WR - DAL ,0.00,V. McDonald TE - PIT ,0.10,J. Howard RB - PHI ,0.00,K. Fairbairn K - HOU ,8.00,Bears DEF ,4.00,L. Fitzgerald WR - ARI ,0.00,T. Kelce TE - KC ,0.00,J. White RB - NE ,-0.10,D. Njoku TE - CLE ,0.00,K. Ballage RB - MIA ,2.60,M. Prater K - DET ,10.00,91.80,Leo,115.26
Jack,7,D. Brees QB - NO ,22.44,E. Elliott RB - DAL ,12.60,J. Samuels RB - PIT ,3.20,J. Jones WR - ATL ,6.80,C. Godwin WR - TB ,30.40,D. Waller TE - LV ,4.10,J. Brown WR - BUF ,9.90,J. Tucker K - BAL ,9.00,Steelers DEF ,12.00,K. Allen WR - LAC ,0.00,J. Conner RB - PIT ,0.00,D. Cook RB - MIN ,0.00,A. Mattison RB - MIN ,0.00,T. Pollard RB - DAL ,2.80,Eagles DEF ,11.00,110.44,Jake,112.00
Ben,4,D. Watson QB - HOU ,18.92,L. Murray RB - NO ,12.40,A. Jones RB - GB ,3.80,A. Thielen WR - MIN ,0.00,T. Lockett WR - SEA ,3.80,G. Kittle TE - SF ,18.90,J. Williams RB - GB ,8.00,D. Carlson K - LV ,3.00,Panthers DEF ,3.00,L. McCoy RB - KC ,0.00,S. Diggs WR - MIN ,0.00,H. Henry TE - LAC ,0.00,M. Breida RB - SF ,0.00,K. Murray QB - ARI ,0.00,M. Crosby K - GB ,0.00,71.82,Henry,51.94
Jake,2,R. Wilson QB - SEA ,9.50,T. Gurley RB - LA ,1.90,D. Henry RB - TEN ,27.50,J. Landry WR - CLE ,26.80,M. Thomas WR - NO ,16.10,J. Hollister TE - SEA ,2.20,C. Ridley WR - ATL ,16.00,Y. Koo K - ATL ,10.00,Raiders DEF ,2.00,J. Witten TE - DAL ,0.50,J. Garoppolo QB - SF ,18.22,M. Mack RB - IND ,0.00,P. Lindsay RB - DEN ,6.80,M. Gallup WR - DAL ,5.50,C. Sutton WR - DEN ,2.70,112.00,Jack,110.44
Henry,8,M. Ryan QB - ATL ,7.64,C. Hyde RB - HOU ,6.70,J. Mixon RB - CIN ,7.90,E. Sanders WR - SF ,1.50,M. Jones WR - DET ,4.60,Z. Ertz TE - PHI ,15.10,D. Metcalf WR - SEA ,3.50,G. Zuerlein K - LA ,6.00,Rams DEF ,-1.00,J. Edelman WR - NE ,9.30,R. Cobb WR - DAL ,8.60,D. Freeman RB - ATL ,0.00,C. Wentz QB - PHI ,8.94,A. Hooper TE - ATL ,0.00,B. Hill RB - ATL ,2.70,51.94,Ben,71.82
Will,3,A. Rodgers QB - GB ,9.46,A. Kamara RB - NO ,10.20,N. Chubb RB - CLE ,22.40,M. Evans WR - TB ,5.00,M. Brown WR - BAL ,16.20,E. Ebron TE - IND ,4.40,T. Williams WR - LV ,1.80,C. Boswell K - PIT ,10.00,Ravens DEF ,13.00,T. Brady QB - NE ,11.30,T. Hilton WR - IND ,1.80,M. Gordon RB - LAC ,0.00,E. Engram TE - NYG ,0.00,A. Ekeler RB - LAC ,0.00,H. Butker K - KC ,0.00,92.46,Ari,83.58
