Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,4,P. Rivers QB - LAC ,18.84,L. Blount RB - NE ,5.80,D. Murray RB - TEN ,23.90,A. Green WR - CIN ,23.30,D. Hopkins WR - HOU ,0.40,J. Reed TE - WAS ,19.30,C. Michael RB - GB ,15.00,S. Gostkowski K - NE ,0.00,Cardinals DEF ,5.00,M. Forte RB - NYJ ,4.30,M. Stafford QB - DET ,8.22,E. Decker WR - NYJ ,0.00,F. Gore RB - IND ,15.50,J. Matthews WR - PHI ,0.00,C. Sims RB - TB ,1.50,111.54,David,91.96
Sawyer,3,B. Bortles QB - JAX ,25.88,L. Miller RB - HOU ,10.80,L. Bell RB - PIT ,17.80,T. Hilton WR - IND ,10.20,M. Evans WR - TB ,5.90,C. Fleener TE - NO ,1.90,A. Robinson WR - JAX ,11.50,D. Bailey K - DAL ,6.00,Vikings DEF ,8.00,J. Stewart RB - CAR ,0.00,D. Williams RB - PIT ,6.90,B. Cooks WR - NO ,3.10,I. Crowell RB - CLE ,20.20,W. Snead WR - NO ,2.30,W. Fuller WR - HOU ,14.10,97.98,Dominic,91.36
Leo,1,C. Newton QB - CAR ,15.60,J. Charles RB - KC ,0.70,L. McCoy RB - BUF ,16.80,A. Brown WR - PIT ,18.40,M. Jones WR - DET ,7.40,K. Rudolph TE - MIN ,11.50,T. Pryor WR - CLE ,10.00,J. Tucker K - BAL ,7.00,Broncos DEF ,15.00,A. Jeffery WR - CHI ,4.60,S. Ware RB - KC ,7.60,L. Murray RB - LV ,2.40,D. Freeman RB - ATL ,12.40,T. Coleman RB - ATL ,3.30,A. Cooper WR - LV ,4.80,102.40,Ben,31.40
Ari,5,K. Cousins QB - WAS ,17.32,J. Hill RB - CIN ,7.10,M. Gordon RB - LAC ,17.90,M. Crabtree WR - LV ,26.80,K. Benjamin WR - CAR ,9.90,T. Kelce TE - KC ,8.30,M. Jones RB - WAS ,19.80,S. Hauschka K - SEA ,11.00,Patriots DEF ,3.00,D. Jackson WR - WAS ,0.50,J. Edelman WR - NE ,1.70,D. Brees QB - NO ,11.88,D. Allen TE - IND ,2.00,O. Beckham WR - NYG ,2.30,J. Howard RB - CHI ,13.20,121.12,Owen,95.62
David,6,R. Wilson QB - SEA ,23.86,C. Ivory RB - JAX ,2.90,D. Johnson RB - ARI ,10.40,L. Fitzgerald WR - ARI ,6.30,A. Hurns WR - JAX ,10.70,G. Olsen TE - CAR ,15.60,G. Bernard RB - CIN ,4.20,C. Catanzaro K - ARI ,7.00,Seahawks DEF ,11.00,J. Maclin WR - KC ,7.80,D. Walker TE - TEN ,3.40,B. Roethlisberger QB - PIT ,33.90,E. Lacy RB - GB ,0.00,S. Watkins WR - BUF ,0.00,Bengals DEF ,13.00,91.96,Dylan,111.54
Owen,2,C. Palmer QB - ARI ,11.52,C. Anderson RB - DEN ,11.20,C. Hyde RB - SF ,13.90,J. Jones WR - ATL ,36.00,M. Floyd WR - NE ,9.60,J. Graham TE - SEA ,11.30,G. Tate WR - DET ,2.10,C. Santos K - KC ,2.00,Chiefs DEF ,-2.00,J. Nelson WR - GB ,0.00,M. Bennett TE - NE ,10.90,R. Jennings RB - NYG ,0.00,D. Bryant WR - DAL ,0.00,T. Riddick RB - DET ,5.80,D. Carr QB - LV ,23.76,95.62,Ari,121.12
Ben,8,A. Rodgers QB - GB ,0.00,A. Peterson RB - MIN ,0.00,D. Martin RB - TB ,0.00,K. Allen WR - LAC ,0.00,J. Landry WR - MIA ,6.10,G. Barnidge TE - CLE ,5.70,D. Johnson RB - CLE ,5.60,G. Gano K - CAR ,7.00,Panthers DEF ,7.00,R. Mathews RB - PHI ,0.00,T. Brady QB - NE ,0.00,D. Moncrief WR - IND ,0.00,T. Yeldon RB - JAX ,11.70,S. Shepard WR - NYG ,3.00,C. Coleman WR - CLE ,0.00,31.40,Leo,102.40
Dominic,7,A. Luck QB - IND ,17.66,M. Ingram RB - NO ,16.50,E. Elliott RB - DAL ,21.70,E. Sanders WR - DEN ,14.80,D. Baldwin WR - SEA ,5.40,R. Gronkowski TE - NE ,1.10,T. Gurley RB - LA ,8.20,C. Boswell K - PIT ,5.00,Dolphins DEF ,1.00,D. Thomas WR - DEN ,15.40,B. Marshall WR - NYJ ,14.90,J. Brown WR - ARI ,14.40,A. Abdullah RB - DET ,0.00,S. Diggs WR - MIN ,4.60,T. Rawls RB - SEA ,0.00,91.36,Sawyer,97.98
