Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,5,P. Rivers QB - LAC ,14.62,M. Forte RB - NYJ ,15.50,L. McCoy RB - BUF ,13.00,A. Green WR - CIN ,24.00,A. Cooper WR - LV ,15.70,J. Reed TE - WAS ,6.40,R. Cobb WR - GB ,6.80,S. Gostkowski K - NE ,13.00,Cardinals DEF ,6.00,J. Charles RB - KC ,0.00,T. Smith WR - SF ,1.30,F. Gore RB - IND ,7.80,C. Michael RB - GB ,7.10,T. Austin WR - LA ,1.50,C. Sims RB - TB ,10.10,115.02,Sawyer,115.58
Sawyer,1,E. Manning QB - NYG ,18.28,L. Miller RB - HOU ,11.70,T. Gurley RB - LA ,4.20,M. Evans WR - TB ,15.90,B. Cooks WR - NO ,27.40,A. Gates TE - LAC ,2.00,D. Williams RB - PIT ,29.10,R. Bullock K - CIN ,2.00,Steelers DEF ,5.00,D. Jackson WR - WAS ,10.20,J. Starks RB - GB ,1.30,E. Decker WR - NYJ ,9.70,T. Hilton WR - IND ,7.90,L. Bell RB - PIT ,0.00,S. Ware RB - KC ,25.90,115.58,Dylan,115.02
Leo,2,C. Newton QB - CAR ,21.16,D. Murray RB - TEN ,17.70,L. Murray RB - LV ,13.20,A. Brown WR - PIT ,24.60,D. Hopkins WR - HOU ,11.40,C. Fleener TE - NO ,0.60,A. Jeffery WR - CHI ,10.50,J. Tucker K - BAL ,9.00,Broncos DEF ,6.00,A. Foster RB - MIA ,10.00,D. Thomas WR - DEN ,4.80,J. Gordon WR - CLE ,0.00,B. Bortles QB - JAX ,15.00,J. Langford RB - CHI ,12.30,M. Gordon RB - LAC ,17.70,114.16,Dominic,94.40
Ari,4,A. Smith QB - KC ,28.02,D. Freeman RB - ATL ,4.00,I. Crowell RB - CLE ,13.80,O. Beckham WR - NYG ,7.30,A. Robinson WR - JAX ,7.20,T. Kelce TE - KC ,7.40,M. Crabtree WR - LV ,10.70,S. Hauschka K - SEA ,6.00,Eagles DEF ,11.00,J. Stewart RB - CAR ,6.40,J. Edelman WR - NE ,8.20,D. Brees QB - NO ,31.42,J. Hill RB - CIN ,9.10,T. Lockett WR - SEA ,1.70,D. Henry RB - TEN ,4.40,95.42,Ben,69.46
David,7,R. Wilson QB - SEA ,11.92,E. Lacy RB - GB ,7.80,D. Johnson RB - ARI ,19.20,L. Fitzgerald WR - ARI ,20.10,S. Watkins WR - BUF ,4.30,G. Olsen TE - CAR ,7.30,G. Bernard RB - CIN ,3.00,C. Catanzaro K - ARI ,3.00,Seahawks DEF ,9.00,J. Maclin WR - KC ,12.20,D. Walker TE - TEN ,4.20,B. Roethlisberger QB - PIT ,21.80,C. Ivory RB - JAX ,0.00,A. Hurns WR - JAX ,7.50,Bengals DEF ,3.00,85.62,Owen,101.86
Owen,3,D. Carr QB - LV ,22.36,C. Anderson RB - DEN ,25.90,C. Hyde RB - SF ,21.30,D. Bryant WR - DAL ,0.80,J. Jones WR - ATL ,12.60,J. Graham TE - SEA ,1.10,R. Jennings RB - NYG ,7.80,C. Santos K - KC ,9.00,Chiefs DEF ,1.00,J. Nelson WR - GB ,9.20,D. Woodhead RB - LAC ,18.00,G. Tate WR - DET ,4.30,C. Palmer QB - ARI ,18.94,M. Floyd WR - NE ,6.10,T. Eifert TE - CIN ,0.00,101.86,David,85.62
Ben,8,A. Rodgers QB - GB ,23.56,A. Peterson RB - MIN ,3.10,D. Martin RB - TB ,9.60,K. Allen WR - LAC ,6.30,J. Landry WR - MIA ,5.90,G. Barnidge TE - CLE ,0.00,D. Johnson RB - CLE ,5.00,G. Gano K - CAR ,8.00,Panthers DEF ,8.00,R. Mathews RB - PHI ,13.70,T. Brady QB - NE ,0.00,D. Moncrief WR - IND ,12.40,T. Yeldon RB - JAX ,12.90,S. Shepard WR - NYG ,10.30,C. Coleman WR - CLE ,6.90,69.46,Ari,95.42
Dominic,6,A. Luck QB - IND ,35.50,M. Ingram RB - NO ,8.70,E. Elliott RB - DAL ,11.20,B. Marshall WR - NYJ ,3.20,D. Baldwin WR - SEA ,15.20,Z. Ertz TE - PHI ,5.80,T. Rawls RB - SEA ,5.80,C. Boswell K - PIT ,8.00,Rams DEF ,1.00,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,4.90,K. Benjamin WR - CAR ,15.10,J. Brown WR - ARI ,0.80,A. Abdullah RB - DET ,18.00,M. Jones RB - WAS ,3.30,94.40,Leo,114.16
