Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,4,P. Rivers QB - LAC ,11.24,M. Forte RB - NYJ ,6.40,L. Blount RB - NE ,22.50,A. Green WR - CIN ,7.70,A. Cooper WR - LV ,6.20,J. Reed TE - WAS ,5.60,L. McCoy RB - BUF ,23.60,S. Gostkowski K - NE ,9.00,Cardinals DEF ,8.00,J. Charles RB - KC ,0.00,F. Gore RB - IND ,14.30,M. Wallace WR - BAL ,3.90,C. Michael RB - GB ,23.10,J. Matthews WR - PHI ,7.90,C. Sims RB - TB ,18.40,100.24,Ari,99.56
Sawyer,3,M. Ryan QB - ATL ,19.90,D. Williams RB - PIT ,4.40,L. Miller RB - HOU ,10.70,M. Evans WR - TB ,19.20,B. Cooks WR - NO ,1.90,D. Allen TE - IND ,3.50,E. Decker WR - NYJ ,3.10,D. Bailey K - DAL ,7.00,Texans DEF ,1.00,T. Hilton WR - IND ,23.40,A. Jeffery WR - CHI ,7.00,L. Bell RB - PIT ,0.00,S. Ware RB - KC ,6.30,W. Snead WR - NO ,0.00,S. Diggs WR - MIN ,4.00,70.70,Owen,122.38
Leo,1,C. Newton QB - CAR ,13.08,D. Murray RB - TEN ,21.50,D. Freeman RB - ATL ,26.70,A. Brown WR - PIT ,14.00,D. Hopkins WR - HOU ,5.60,J. Thomas TE - JAX ,1.30,W. Fuller WR - HOU ,3.10,J. Tucker K - BAL ,15.00,Broncos DEF ,9.00,J. Gordon WR - CLE ,0.00,T. Riddick RB - DET ,4.80,L. Murray RB - LV ,9.80,I. Crowell RB - CLE ,7.90,T. Coleman RB - ATL ,26.90,T. Gurley RB - LA ,20.00,109.28,David,76.92
Ari,6,R. Tannehill QB - MIA ,18.96,J. Langford RB - CHI ,4.60,M. Gordon RB - LAC ,13.80,K. Benjamin WR - CAR ,0.00,O. Beckham WR - NYG ,12.10,T. Kelce TE - KC ,14.90,M. Crabtree WR - LV ,10.20,S. Hauschka K - SEA ,13.00,Rams DEF ,12.00,J. Stewart RB - CAR ,0.00,A. Foster RB - MIA ,0.00,D. Thomas WR - DEN ,14.00,D. Brees QB - NO ,25.94,J. Hill RB - CIN ,21.70,T. Lockett WR - SEA ,0.00,99.56,Dylan,100.24
David,5,R. Wilson QB - SEA ,14.02,E. Lacy RB - GB ,10.50,D. Johnson RB - ARI ,23.10,J. Maclin WR - KC ,3.50,L. Fitzgerald WR - ARI ,6.00,G. Olsen TE - CAR ,6.40,G. Bernard RB - CIN ,4.40,C. Catanzaro K - ARI ,6.00,Seahawks DEF ,3.00,D. Walker TE - TEN ,0.00,B. Roethlisberger QB - PIT ,6.98,C. Ivory RB - JAX ,2.30,S. Watkins WR - BUF ,0.00,A. Hurns WR - JAX ,4.00,Bengals DEF ,3.00,76.92,Leo,109.28
Owen,2,C. Palmer QB - ARI ,3.48,C. Anderson RB - DEN ,4.10,C. Hyde RB - SF ,24.50,J. Nelson WR - GB ,22.10,D. Bryant WR - DAL ,10.00,J. Graham TE - SEA ,14.00,G. Tate WR - DET ,3.20,C. Santos K - KC ,6.00,Chiefs DEF ,35.00,M. Bennett TE - NE ,1.60,D. Woodhead RB - LAC ,0.00,R. Jennings RB - NYG ,0.00,J. Jones WR - ATL ,1.60,M. Floyd WR - NE ,6.50,D. Carr QB - LV ,11.86,122.38,Sawyer,70.70
Ben,8,A. Rodgers QB - GB ,26.40,A. Peterson RB - MIN ,0.00,D. Martin RB - TB ,0.00,K. Allen WR - LAC ,0.00,J. Landry WR - MIA ,19.60,G. Barnidge TE - CLE ,8.60,D. Johnson RB - CLE ,8.10,G. Gano K - CAR ,4.00,Panthers DEF ,3.00,R. Mathews RB - PHI ,-0.50,T. Brady QB - NE ,0.00,D. Moncrief WR - IND ,0.00,T. Yeldon RB - JAX ,2.80,S. Shepard WR - NYG ,13.30,C. Coleman WR - CLE ,0.00,69.70,Dominic,100.34
Dominic,7,A. Luck QB - IND ,13.24,M. Ingram RB - NO ,18.70,E. Elliott RB - DAL ,16.00,B. Marshall WR - NYJ ,2.70,D. Baldwin WR - SEA ,22.00,R. Gronkowski TE - NE ,0.00,A. Robinson WR - JAX ,17.70,C. Boswell K - PIT ,3.00,Dolphins DEF ,7.00,E. Sanders WR - DEN ,23.70,A. Seferian-Jenkins TE - NYJ ,0.00,J. Brown WR - ARI ,7.00,A. Abdullah RB - DET ,0.00,M. Jones RB - WAS ,7.90,T. Rawls RB - SEA ,0.00,100.34,Ben,69.70
