Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,M. Ryan QB - ATL ,19.34,L. Blount RB - NE ,9.10,D. Murray RB - TEN ,14.10,A. Brown WR - PIT ,5.80,T. Gabriel WR - ATL ,12.00,C. Brate TE - TB ,13.30,J. Hill RB - CIN ,11.10,S. Gostkowski K - NE ,10.00,Falcons DEF ,8.00,F. Gore RB - IND ,11.50,J. Reed TE - WAS ,0.60,A. Cooper WR - LV ,2.80,D. Henry RB - TEN ,17.80,K. Farrow RB - LAC ,3.30,Broncos DEF ,3.00,102.74,Leo,120.88
Sawyer,1,K. Cousins QB - WAS ,9.70,L. Bell RB - PIT ,13.10,E. Elliott RB - DAL ,24.80,J. Nelson WR - GB ,12.40,M. Evans WR - TB ,5.90,Z. Ertz TE - PHI ,8.00,T. Hilton WR - IND ,4.50,M. Bryant K - ATL ,13.00,Vikings DEF ,-1.00,T. Ginn WR - CAR ,12.40,A. Morris RB - DAL ,0.00,A. Robinson WR - JAX ,1.50,M. Mariota QB - TEN ,5.44,M. Thomas WR - NO ,11.20,R. Kelley RB - WAS ,11.50,90.40,Ari,86.16
Leo,3,A. Rodgers QB - GB ,11.98,L. McCoy RB - BUF ,28.90,L. Murray RB - LV ,7.20,D. Thomas WR - DEN ,9.10,O. Beckham WR - NYG ,13.30,T. Eifert TE - CIN ,0.90,D. Freeman RB - ATL ,31.50,J. Tucker K - BAL ,11.00,Texans DEF ,7.00,D. McFadden RB - DAL ,0.80,A. Green WR - CIN ,0.00,D. Hopkins WR - HOU ,8.70,S. Ware RB - KC ,9.40,D. Adams WR - GB ,2.50,J. Ajayi RB - MIA ,5.10,120.88,Dylan,102.74
Ari,4,T. Taylor QB - BUF ,15.86,J. Stewart RB - CAR ,14.00,J. Howard RB - CHI ,17.30,M. Crabtree WR - LV ,12.00,S. Watkins WR - BUF ,1.00,T. Kelce TE - KC ,4.10,T. Rawls RB - SEA ,3.90,D. Carpenter K - BUF ,9.00,Bills DEF ,9.00,D. Brees QB - NO ,29.36,T. West RB - BAL ,12.20,J. Crowder WR - WAS ,0.40,M. Gordon RB - LAC ,0.00,T. Williams WR - LAC ,2.00,D. Booker RB - DEN ,3.30,86.16,Sawyer,90.40
David,6,R. Wilson QB - SEA ,20.36,I. Crowell RB - CLE ,2.80,D. Johnson RB - ARI ,22.80,B. LaFell WR - CIN ,9.10,L. Fitzgerald WR - ARI ,3.70,D. Walker TE - TEN ,5.50,T. Hill WR - KC ,12.80,C. Catanzaro K - ARI ,5.00,Seahawks DEF ,11.00,J. Maclin WR - KC ,8.20,G. Olsen TE - CAR ,8.50,C. Ivory RB - JAX ,4.40,A. Hurns WR - JAX ,0.00,D. Prescott QB - DAL ,19.16,Bengals DEF ,1.00,93.06,Dominic,64.40
Owen,5,D. Carr QB - LV ,11.02,C. Hyde RB - SF ,5.70,T. Coleman RB - ATL ,6.60,D. Bryant WR - DAL ,8.20,B. Cooks WR - NO ,30.60,J. Graham TE - SEA ,3.10,T. Pryor WR - CLE ,1.90,C. Santos K - KC ,5.00,Chiefs DEF ,8.00,K. Britt WR - LA ,5.00,M. Stafford QB - DET ,10.22,J. Jones WR - ATL ,0.00,D. Sproles RB - PHI ,0.00,T. Riddick RB - DET ,0.00,T. Montgomery RB - GB ,28.30,80.12,Ben,62.12
Ben,8,T. Brady QB - NE ,7.42,D. Martin RB - TB ,4.20,T. Yeldon RB - JAX ,6.20,J. Landry WR - MIA ,16.80,D. Moncrief WR - IND ,0.00,G. Barnidge TE - CLE ,3.50,K. Benjamin WR - CAR ,2.00,G. Gano K - CAR ,14.00,Panthers DEF ,8.00,R. Mathews RB - PHI ,21.30,C. Newton QB - CAR ,20.00,A. Peterson RB - MIN ,0.30,D. Johnson RB ,0.00,D. Johnson RB - CLE ,9.30,S. Shepard WR - NYG ,11.60,62.12,Owen,80.12
Dominic,7,A. Luck QB - IND ,18.80,L. Miller RB - HOU ,14.90,T. Gurley RB - LA ,3.60,R. Cobb WR - GB ,0.00,D. Baldwin WR - SEA ,9.50,V. Davis TE - WAS ,2.30,S. Diggs WR - MIN ,1.30,S. Hauschka K - SEA ,6.00,Raiders DEF ,8.00,M. Forte RB - NYJ ,2.80,R. Jennings RB - NYG ,3.80,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,4.80,M. Ingram RB - NO ,9.20,B. Marshall WR - NYJ ,1.60,64.40,David,93.06
