Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,M. Ryan QB - ATL ,18.26,D. Murray RB - TEN ,8.40,F. Gore RB - IND ,3.10,A. Brown WR - PIT ,27.10,R. Matthews WR - TEN ,12.40,J. Reed TE - WAS ,21.50,L. Blount RB - NE ,6.70,S. Gostkowski K - NE ,10.00,Broncos DEF ,5.00,A. Green WR - CIN ,0.00,A. Gates TE - LAC ,0.00,J. Hill RB - CIN ,8.20,I. Crowell RB - CLE ,7.10,J. Crowder WR - WAS ,8.80,T. Coleman RB - ATL ,7.30,112.46,Owen,78.10
Sawyer,1,M. Mariota QB - TEN ,21.64,L. Bell RB - PIT ,20.20,E. Elliott RB - DAL ,24.00,J. Nelson WR - GB ,9.10,M. Evans WR - TB ,22.40,Z. Ertz TE - PHI ,3.60,M. Thomas WR - NO ,22.80,M. Bryant K - ATL ,8.00,Vikings DEF ,3.00,P. Rivers QB - LAC ,19.68,T. Hilton WR - IND ,5.40,A. Morris RB - DAL ,1.20,S. Watkins WR - BUF ,8.00,A. Robinson WR - JAX ,2.40,R. Kelley RB - WAS ,4.20,134.74,Leo,129.62
Leo,3,A. Rodgers QB - GB ,23.12,L. McCoy RB - BUF ,27.40,J. Ajayi RB - MIA ,11.60,J. Edelman WR - NE ,8.30,O. Beckham WR - NYG ,21.60,T. Eifert TE - CIN ,12.80,T. Rawls RB - SEA ,3.80,J. Tucker K - BAL ,19.00,Bills DEF ,2.00,D. Thomas WR - DEN ,6.00,M. Gillislee RB - BUF ,0.00,D. Hopkins WR - HOU ,7.00,S. Ware RB - KC ,9.60,D. Freeman RB - ATL ,19.70,D. Booker RB - DEN ,10.10,129.62,Sawyer,134.74
Ari,5,D. Brees QB - NO ,32.50,M. Gordon RB - LAC ,8.90,J. Howard RB - CHI ,12.70,M. Wallace WR - BAL ,5.60,A. Cooper WR - LV ,2.20,T. Kelce TE - KC ,10.10,T. West RB - BAL ,6.40,D. Bailey K - DAL ,7.00,Giants DEF ,23.00,J. Stewart RB - CAR ,21.60,M. Crabtree WR - LV ,11.00,T. Pryor WR - CLE ,13.10,M. Jones WR - DET ,5.40,L. Murray RB - LV ,14.80,T. Williams WR - LAC ,13.00,108.40,Dominic,42.70
David,6,D. Prescott QB - DAL ,21.70,C. Ivory RB - JAX ,11.50,D. Johnson RB - ARI ,22.10,B. LaFell WR - CIN ,3.80,L. Fitzgerald WR - ARI ,5.30,G. Olsen TE - CAR ,4.50,T. Hill WR - KC ,17.50,C. Catanzaro K - ARI ,9.00,Seahawks DEF ,7.00,J. Maclin WR - KC ,0.00,D. Walker TE - TEN ,11.00,R. Wilson QB - SEA ,10.04,A. Hurns WR - JAX ,7.20,Bengals DEF ,7.00,-,-,102.40,Ben,61.64
Owen,4,D. Carr QB - LV ,17.40,J. Starks RB - GB ,6.80,C. Hyde RB - SF ,15.50,D. Bryant WR - DAL ,7.20,J. Jones WR - ATL ,3.50,J. Graham TE - SEA ,4.70,B. Cooks WR - NO ,0.00,C. Santos K - KC ,8.00,Chiefs DEF ,15.00,T. Hightower RB - NO ,16.50,K. Britt WR - LA ,11.20,M. Stafford QB - DET ,16.28,D. Sproles RB - PHI ,5.40,C. Beasley WR - DAL ,5.60,T. Riddick RB - DET ,5.80,78.10,Dylan,112.46
Ben,8,T. Brady QB - NE ,19.04,D. Martin RB - TB ,7.00,T. Yeldon RB - JAX ,2.00,J. Landry WR - MIA ,4.70,D. Moncrief WR - IND ,10.50,G. Barnidge TE - CLE ,1.10,K. Benjamin WR - CAR ,11.30,G. Gano K - CAR ,2.00,Panthers DEF ,4.00,R. Mathews RB - PHI ,0.00,C. Newton QB - CAR ,20.44,A. Peterson RB - MIN ,0.00,D. Johnson RB ,0.00,D. Johnson RB - CLE ,4.00,S. Shepard WR - NYG ,2.20,61.64,David,102.40
Dominic,7,A. Luck QB - IND ,0.00,L. Miller RB - HOU ,5.50,T. Gurley RB - LA ,8.90,R. Cobb WR - GB ,4.10,D. Baldwin WR - SEA ,3.40,V. Davis TE - WAS ,6.80,S. Diggs WR - MIN ,0.00,S. Hauschka K - SEA ,3.00,Raiders DEF ,11.00,M. Forte RB - NYJ ,5.00,R. Jennings RB - NYG ,5.90,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,22.20,M. Ingram RB - NO ,28.70,B. Marshall WR - NYJ ,12.70,42.70,Ari,108.40
