Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,M. Ryan QB - ATL ,12.68,L. Blount RB - NE ,24.90,D. Murray RB - TEN ,26.00,A. Green WR - CIN ,12.80,A. Brown WR - PIT ,20.40,J. Reed TE - WAS ,4.10,J. Hill RB - CIN ,10.60,S. Gostkowski K - NE ,6.00,Ravens DEF ,14.00,D. Lewis RB - NE ,0.00,F. Gore RB - IND ,0.00,M. Wallace WR - BAL ,5.90,D. Adams WR - GB ,15.60,D. Henry RB - TEN ,3.10,Broncos DEF ,11.00,131.48,Ari,94.74
Sawyer,3,J. Winston QB - TB ,18.48,L. Bell RB - PIT ,25.40,E. Elliott RB - DAL ,38.90,J. Nelson WR - GB ,18.60,M. Evans WR - TB ,6.60,Z. Miller TE - CHI ,3.20,M. Thomas WR - NO ,0.00,J. Tucker K - BAL ,8.00,Vikings DEF ,3.00,T. Hilton WR - IND ,0.00,A. Morris RB - DAL ,1.90,E. Ebron TE - DET ,0.00,A. Robinson WR - JAX ,18.70,T. West RB - BAL ,7.70,I. Crowell RB - CLE ,5.30,122.18,Owen,94.36
Leo,1,C. Newton QB - CAR ,23.84,D. Freeman RB - ATL ,8.10,J. Ajayi RB - MIA ,8.00,D. Thomas WR - DEN ,14.70,A. Jeffery WR - CHI ,4.70,T. Eifert TE - CIN ,9.60,O. Beckham WR - NYG ,15.70,C. Sturgis K - PHI ,10.00,Texans DEF ,12.00,L. McCoy RB - BUF ,0.00,C. Michael RB - GB ,2.60,D. Hopkins WR - HOU ,4.80,S. Ware RB - KC ,7.20,K. Benjamin WR - CAR ,6.40,D. Booker RB - DEN ,8.80,106.64,David,83.56
Ari,5,J. Flacco QB - BAL ,22.14,M. Gordon RB - LAC ,13.20,J. Howard RB - CHI ,8.00,T. Pryor WR - CLE ,4.80,T. Williams WR - LAC ,18.50,T. Kelce TE - KC ,5.10,J. Brown WR - ARI ,4.00,B. McManus K - DEN ,13.00,Cardinals DEF ,6.00,J. Stewart RB - CAR ,3.90,M. Crabtree WR - LV ,0.00,D. Brees QB - NO ,21.02,M. Jones WR - DET ,0.00,L. Murray RB - LV ,0.00,A. Cooper WR - LV ,0.00,94.74,Dylan,131.48
David,6,D. Prescott QB - DAL ,18.76,C. Ivory RB - JAX ,4.10,D. Johnson RB - ARI ,22.10,B. LaFell WR - CIN ,0.90,L. Fitzgerald WR - ARI ,13.20,G. Olsen TE - CAR ,3.90,G. Bernard RB - CIN ,3.60,C. Catanzaro K - ARI ,11.00,Seahawks DEF ,6.00,J. Maclin WR - KC ,0.00,D. Walker TE - TEN ,18.40,R. Wilson QB - SEA ,26.52,A. Hurns WR - JAX ,1.30,D. Jackson RB - GB ,0.00,Bengals DEF ,5.00,83.56,Leo,106.64
Owen,4,A. Dalton QB - CIN ,11.66,D. Sproles RB - PHI ,7.60,C. Hyde RB - SF ,1.40,D. Bryant WR - DAL ,17.60,J. Jones WR - ATL ,13.50,J. Graham TE - SEA ,4.80,B. Cooks WR - NO ,15.80,M. Bryant K - ATL ,9.00,Chiefs DEF ,13.00,T. Hightower RB - NO ,5.50,M. Stafford QB - DET ,0.00,G. Tate WR - DET ,0.00,M. Floyd WR - NE ,10.10,C. Beasley WR - DAL ,3.30,T. Riddick RB - DET ,0.00,94.36,Sawyer,122.18
Ben,8,A. Rodgers QB - GB ,27.54,A. Peterson RB - MIN ,0.00,D. Martin RB - TB ,10.60,K. Allen WR - LAC ,0.00,J. Landry WR - MIA ,5.30,G. Barnidge TE - CLE ,0.80,D. Johnson RB - CLE ,3.10,G. Gano K - CAR ,5.00,Panthers DEF ,6.00,R. Mathews RB - PHI ,27.90,T. Brady QB - NE ,11.34,D. Moncrief WR - IND ,0.00,T. Yeldon RB - JAX ,5.90,S. Shepard WR - NYG ,10.20,C. Coleman WR - CLE ,1.70,58.34,Dominic,86.80
Dominic,7,A. Luck QB - IND ,0.00,L. Miller RB - HOU ,8.30,T. Gurley RB - LA ,7.20,E. Sanders WR - DEN ,5.40,D. Baldwin WR - SEA ,23.90,R. Gronkowski TE - NE ,5.60,S. Diggs WR - MIN ,16.40,S. Hauschka K - SEA ,13.00,Jets DEF ,7.00,M. Forte RB - NYJ ,10.90,R. Jennings RB - NYG ,10.90,R. Cobb WR - GB ,3.10,M. Ingram RB - NO ,6.30,B. Marshall WR - NYJ ,1.50,T. Rawls RB - SEA ,0.00,86.80,Ben,58.34
