Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,5,P. Rivers QB - LAC ,26.36,M. Forte RB - NYJ ,6.00,D. Murray RB - TEN ,13.70,A. Green WR - CIN ,5.00,J. Matthews WR - PHI ,6.50,J. Reed TE - WAS ,5.30,F. Gore RB - IND ,7.90,S. Gostkowski K - NE ,7.00,Cardinals DEF ,15.00,M. Ryan QB - ATL ,14.98,L. Blount RB - NE ,9.70,E. Decker WR - NYJ ,0.00,C. Michael RB - GB ,0.00,D. Hopkins WR - HOU ,11.60,C. Sims RB - TB ,0.00,92.76,Owen,124.18
Sawyer,3,B. Hoyer QB - CHI ,23.78,L. Bell RB - PIT ,15.40,E. Elliott RB - DAL ,29.10,T. Hilton WR - IND ,23.10,M. Evans WR - TB ,14.90,Z. Ertz TE - PHI ,3.70,J. McKinnon RB - MIN ,4.60,A. Vinatieri K - IND ,21.00,Vikings DEF ,16.00,D. Williams RB - PIT ,0.00,S. Smith WR - BAL ,2.90,B. Cooks WR - NO ,0.00,A. Robinson WR - JAX ,0.00,I. Crowell RB - CLE ,4.00,W. Fuller WR - HOU ,0.40,151.58,Leo,95.62
Leo,1,C. Wentz QB - PHI ,16.92,L. McCoy RB - BUF ,15.80,D. Freeman RB - ATL ,18.30,A. Brown WR - PIT ,13.80,O. Beckham WR - NYG ,11.60,K. Rudolph TE - MIN ,1.50,M. Jones WR - DET ,9.70,J. Tucker K - BAL ,4.00,Broncos DEF ,4.00,J. Charles RB - KC ,0.00,J. Stewart RB - CAR ,0.00,C. Newton QB - CAR ,0.00,T. Pryor WR - CLE ,5.30,S. Ware RB - KC ,0.00,J. Hill RB - CIN ,1.20,95.62,Sawyer,151.58
Ari,4,A. Dalton QB - CIN ,22.16,M. Gordon RB - LAC ,12.70,J. Howard RB - CHI ,22.30,M. Crabtree WR - LV ,10.70,K. Benjamin WR - CAR ,7.00,D. Allen TE - IND ,11.00,M. Jones RB - WAS ,3.60,B. McManus K - DEN ,10.00,Patriots DEF ,10.00,J. Edelman WR - NE ,3.50,D. Brees QB - NO ,0.00,A. Jeffery WR - CHI ,7.70,T. Kelce TE - KC ,0.00,L. Murray RB - LV ,0.00,A. Cooper WR - LV ,21.80,109.46,Dominic,78.18
David,6,B. Roethlisberger QB - PIT ,29.20,E. Lacy RB - GB ,8.40,D. Johnson RB - ARI ,30.50,J. Maclin WR - KC ,0.00,L. Fitzgerald WR - ARI ,20.10,G. Olsen TE - CAR ,18.10,G. Bernard RB - CIN ,9.60,C. Catanzaro K - ARI ,7.00,Bengals DEF ,2.00,D. Walker TE - TEN ,12.60,C. Ivory RB - JAX ,0.00,R. Wilson QB - SEA ,0.00,S. Watkins WR - BUF ,0.00,A. Hurns WR - JAX ,0.00,Seahawks DEF ,0.00,124.90,Ben,33.66
Owen,2,D. Carr QB - LV ,21.98,C. Anderson RB - DEN ,6.20,C. Hyde RB - SF ,17.40,J. Nelson WR - GB ,9.80,J. Jones WR - ATL ,2.90,M. Bennett TE - NE ,24.70,T. Riddick RB - DET ,20.20,D. Hopkins K - WAS ,4.00,Bills DEF ,17.00,M. Stafford QB - DET ,18.80,J. Graham TE - SEA ,0.00,D. Bryant WR - DAL ,0.00,G. Tate WR - DET ,4.50,M. Floyd WR - NE ,0.00,Chiefs DEF ,0.00,124.18,Dylan,92.76
Ben,8,A. Rodgers QB - GB ,15.86,A. Peterson RB - MIN ,0.00,D. Martin RB - TB ,0.00,K. Allen WR - LAC ,0.00,J. Landry WR - MIA ,3.00,G. Barnidge TE - CLE ,7.60,D. Johnson RB - CLE ,2.20,G. Gano K - CAR ,2.00,Panthers DEF ,3.00,R. Mathews RB - PHI ,11.50,T. Brady QB - NE ,29.64,D. Moncrief WR - IND ,0.00,T. Yeldon RB - JAX ,0.00,S. Shepard WR - NYG ,1.40,C. Coleman WR - CLE ,0.00,33.66,David,124.90
Dominic,7,A. Luck QB - IND ,22.18,L. Miller RB - HOU ,2.40,T. Gurley RB - LA ,14.80,E. Sanders WR - DEN ,8.00,V. Cruz WR - NYG ,0.00,R. Gronkowski TE - NE ,10.90,D. Thomas WR - DEN ,10.90,C. Boswell K - PIT ,7.00,Rams DEF ,2.00,M. Ingram RB - NO ,0.00,B. Marshall WR - NYJ ,17.40,D. Baldwin WR - SEA ,0.00,J. Brown WR - ARI ,1.10,S. Diggs WR - MIN ,0.00,T. Rawls RB - SEA ,0.00,78.18,Ari,109.46
