Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,M. Ryan QB - ATL ,16.18,L. Blount RB - NE ,14.80,J. Hill RB - CIN ,10.50,A. Brown WR - PIT ,11.40,T. Gabriel WR - ATL ,4.40,K. Rudolph TE - MIN ,4.50,F. Gore RB - IND ,7.90,S. Gostkowski K - NE ,14.00,Broncos DEF ,17.00,D. Murray RB - TEN ,0.00,A. Green WR - CIN ,0.00,R. Matthews WR - TEN ,0.00,J. Reed TE - WAS ,0.00,J. Crowder WR - WAS ,10.20,T. Coleman RB - ATL ,4.90,100.68,Ben,56.86
Sawyer,1,P. Rivers QB - LAC ,14.80,L. Bell RB - PIT ,16.20,E. Elliott RB - DAL ,16.50,T. Hilton WR - IND ,14.60,M. Evans WR - TB ,5.80,M. Bennett TE - NE ,0.40,M. Thomas WR - NO ,4.20,M. Bryant K - ATL ,12.00,Vikings DEF ,8.00,J. Nelson WR - GB ,17.80,A. Morris RB - DAL ,1.10,S. Watkins WR - BUF ,3.80,A. Robinson WR - JAX ,3.10,M. Mariota QB - TEN ,0.00,R. Kelley RB - WAS ,6.30,92.50,David,91.16
Leo,3,A. Rodgers QB - GB ,15.96,L. McCoy RB - BUF ,19.10,S. Ware RB - KC ,17.20,J. Edelman WR - NE ,10.10,O. Beckham WR - NYG ,10.00,T. Eifert TE - CIN ,8.50,D. Freeman RB - ATL ,22.50,J. Tucker K - BAL ,10.00,Dolphins DEF ,0.00,D. Thomas WR - DEN ,6.10,M. Gillislee RB - BUF ,16.90,D. Hopkins WR - HOU ,11.80,J. Ajayi RB - MIA ,8.70,T. Rawls RB - SEA ,23.80,D. Booker RB - DEN ,9.70,113.36,Ari,122.14
Ari,5,D. Brees QB - NO ,7.04,M. Gordon RB - LAC ,19.80,J. Howard RB - CHI ,29.70,M. Crabtree WR - LV ,13.40,D. Adams WR - GB ,1.70,T. Kelce TE - KC ,14.00,L. Murray RB - LV ,22.50,B. McManus K - DEN ,8.00,Cardinals DEF ,6.00,J. Stewart RB - CAR ,3.30,M. Wallace WR - BAL ,5.90,T. Pryor WR - CLE ,0.00,T. West RB - BAL ,18.80,A. Cooper WR - LV ,11.90,T. Williams WR - LAC ,10.70,122.14,Leo,113.36
David,6,D. Prescott QB - DAL ,11.26,D. Johnson RB - ARI ,29.50,W. Smallwood RB - PHI ,1.90,B. LaFell WR - CIN ,15.50,L. Fitzgerald WR - ARI ,7.80,G. Olsen TE - CAR ,3.00,T. Hill WR - KC ,7.20,C. Catanzaro K - ARI ,7.00,Seahawks DEF ,8.00,J. Maclin WR - KC ,0.00,D. Walker TE - TEN ,0.00,C. Ivory RB - JAX ,0.00,R. Wilson QB - SEA ,15.98,A. Hurns WR - JAX ,0.00,Bengals DEF ,8.00,91.16,Sawyer,92.50
Owen,4,D. Carr QB - LV ,20.80,J. Starks RB - GB ,0.10,C. Hyde RB - SF ,9.80,D. Bryant WR - DAL ,14.40,J. Jones WR - ATL ,11.30,J. Graham TE - SEA ,12.30,B. Cooks WR - NO ,7.70,C. Santos K - KC ,3.00,Chiefs DEF ,11.00,T. Hightower RB - NO ,0.90,K. Britt WR - LA ,12.70,M. Stafford QB - DET ,23.84,D. Sproles RB - PHI ,10.90,C. Beasley WR - DAL ,2.30,T. Riddick RB - DET ,7.70,90.40,Dominic,85.22
Ben,8,T. Brady QB - NE ,14.86,D. Martin RB - TB ,12.80,T. Yeldon RB - JAX ,8.20,J. Landry WR - MIA ,8.60,D. Moncrief WR - IND ,8.60,G. Barnidge TE - CLE ,0.00,K. Benjamin WR - CAR ,1.80,G. Gano K - CAR ,1.00,Panthers DEF ,1.00,R. Mathews RB - PHI ,0.00,C. Newton QB - CAR ,12.48,A. Peterson RB - MIN ,0.00,D. Johnson RB ,0.00,D. Johnson RB - CLE ,0.00,S. Shepard WR - NYG ,8.10,56.86,Dylan,100.68
Dominic,7,A. Luck QB - IND ,29.72,L. Miller RB - HOU ,1.80,T. Gurley RB - LA ,4.70,R. Cobb WR - GB ,7.90,D. Baldwin WR - SEA ,6.50,V. Davis TE - WAS ,4.70,S. Diggs WR - MIN ,5.90,S. Hauschka K - SEA ,16.00,Raiders DEF ,8.00,M. Forte RB - NYJ ,7.90,R. Jennings RB - NYG ,11.30,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,3.20,M. Ingram RB - NO ,5.30,B. Marshall WR - NYJ ,4.30,85.22,Owen,90.40
