Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,P. Rivers QB - LAC ,23.80,M. Forte RB - NYJ ,28.90,L. McCoy RB - BUF ,9.00,A. Green WR - CIN ,3.80,A. Cooper WR - LV ,7.10,J. Reed TE - WAS ,7.00,R. Cobb WR - GB ,4.30,S. Gostkowski K - NE ,7.00,Cardinals DEF ,23.00,J. Charles RB - KC ,0.00,T. Smith WR - SF ,11.50,F. Gore RB - IND ,12.30,C. Michael RB - GB ,6.60,C. Sims RB - TB ,2.80,113.90,Leo,133.32
Sawyer,2,E. Manning QB - NYG ,12.32,D. Williams RB - PIT ,19.20,L. Miller RB - HOU ,9.70,M. Evans WR - TB ,13.00,B. Cooks WR - NO ,6.80,A. Gates TE - LAC ,7.50,W. Snead WR - NO ,11.40,D. Bailey K - DAL ,9.00,Texans DEF ,14.00,J. Forsett RB - DEN ,4.60,E. Decker WR - NYJ ,18.60,T. Hilton WR - IND ,4.10,L. Bell RB - PIT ,0.00,S. Ware RB - KC ,8.50,T. Gurley RB - LA ,7.00,102.92,Ari,61.04
Leo,1,C. Newton QB - CAR ,29.82,D. Murray RB - TEN ,14.50,L. Murray RB - LV ,16.10,A. Brown WR - PIT ,3.90,D. Hopkins WR - HOU ,17.30,J. Thomas TE - JAX ,7.10,A. Jeffery WR - CHI ,9.60,J. Tucker K - BAL ,13.00,Broncos DEF ,22.00,J. Edelman WR - NE ,7.60,D. Thomas WR - DEN ,11.00,J. Matthews WR - PHI ,7.10,D. Freeman RB - ATL ,9.30,T. Coleman RB - ATL ,13.10,W. Fuller WR - HOU ,10.40,133.32,Dylan,113.90
Ari,5,A. Smith QB - KC ,3.64,J. Stewart RB - CAR ,1.60,J. Langford RB - CHI ,7.40,O. Beckham WR - NYG ,8.60,A. Robinson WR - JAX ,5.40,T. Kelce TE - KC ,3.40,M. Gordon RB - LAC ,18.00,S. Hauschka K - SEA ,3.00,Eagles DEF ,10.00,M. Crabtree WR - LV ,9.10,A. Foster RB - MIA ,0.90,D. Brees QB - NO ,14.52,J. Hill RB - CIN ,5.90,I. Crowell RB - CLE ,20.80,T. Lockett WR - SEA ,9.90,61.04,Sawyer,102.92
David,4,R. Wilson QB - SEA ,11.56,E. Lacy RB - GB ,5.00,D. Johnson RB - ARI ,14.30,J. Maclin WR - KC ,6.80,L. Fitzgerald WR - ARI ,14.10,G. Olsen TE - CAR ,18.20,G. Bernard RB - CIN ,15.70,C. Catanzaro K - ARI ,10.00,Seahawks DEF ,7.00,D. Walker TE - TEN ,14.30,B. Roethlisberger QB - PIT ,19.76,C. Ivory RB - JAX ,0.00,S. Watkins WR - BUF ,2.00,A. Hurns WR - JAX ,6.40,Bengals DEF ,5.00,102.66,Dominic,57.78
Owen,3,D. Carr QB - LV ,24.96,C. Anderson RB - DEN ,15.30,C. Hyde RB - SF ,3.20,D. Bryant WR - DAL ,10.20,J. Jones WR - ATL ,16.60,J. Graham TE - SEA ,4.20,R. Jennings RB - NYG ,4.00,C. Santos K - KC ,14.00,Chiefs DEF ,7.00,J. Nelson WR - GB ,13.30,D. Woodhead RB - LAC ,3.10,G. Tate WR - DET ,1.30,C. Palmer QB - ARI ,24.16,M. Floyd WR - NE ,6.80,E. Ebron TE - DET ,5.30,99.46,Ben,73.12
Ben,8,A. Rodgers QB - GB ,17.42,A. Peterson RB - MIN ,2.60,D. Martin RB - TB ,2.30,K. Allen WR - LAC ,0.00,J. Landry WR - MIA ,11.50,G. Barnidge TE - CLE ,3.70,D. Johnson RB - CLE ,5.60,G. Gano K - CAR ,16.00,Panthers DEF ,14.00,R. Mathews RB - PHI ,15.50,T. Brady QB - NE ,0.00,D. Moncrief WR - IND ,0.90,T. Yeldon RB - JAX ,3.80,S. Shepard WR - NYG ,11.70,C. Coleman WR - CLE ,22.40,73.12,Owen,99.46
Dominic,7,A. Luck QB - IND ,10.08,M. Ingram RB - NO ,4.70,E. Elliott RB - DAL ,12.70,B. Marshall WR - NYJ ,10.10,D. Baldwin WR - SEA ,2.00,A. Seferian-Jenkins TE - NYJ ,1.40,T. Rawls RB - SEA ,0.80,C. Boswell K - PIT ,6.00,Ravens DEF ,10.00,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,3.90,K. Benjamin WR - CAR ,22.80,J. Brown WR - ARI ,1.40,A. Abdullah RB - DET ,3.80,M. Jones RB - WAS ,12.50,57.78,David,102.66
