Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,2,M. Ryan QB - ATL ,19.98,L. Blount RB - NE ,17.00,D. Murray RB - TEN ,6.00,A. Brown WR - PIT ,15.60,T. Gabriel WR - ATL ,1.50,C. Fiedorowicz TE - HOU ,4.20,F. Gore RB - IND ,6.40,S. Gostkowski K - NE ,11.00,Broncos DEF ,1.00,B. Powell RB - NYJ ,7.40,P. Rivers QB - LAC ,18.88,J. Reed TE - WAS ,0.00,J. Hill RB - CIN ,0.80,A. Cooper WR - LV ,7.60,K. Farrow RB - LAC ,5.70,82.68,Ari,116.46
Sawyer,1,K. Cousins QB - WAS ,29.80,L. Bell RB - PIT ,25.70,E. Elliott RB - DAL ,21.20,J. Nelson WR - GB ,27.40,M. Evans WR - TB ,15.70,Z. Ertz TE - PHI ,3.30,T. Hilton WR - IND ,12.50,M. Bryant K - ATL ,19.00,Titans DEF ,3.00,T. Tebow QB ,0.00,T. Ginn WR - CAR ,2.90,A. Robinson WR - JAX ,14.70,M. Mariota QB - TEN ,8.26,M. Thomas WR - NO ,9.80,R. Kelley RB - WAS ,8.20,157.60,Leo,136.68
Leo,3,A. Rodgers QB - GB ,37.18,L. McCoy RB - BUF ,20.50,J. Howard RB - CHI ,12.80,J. Edelman WR - NE ,8.90,O. Beckham WR - NYG ,15.00,C. Brate TE - TB ,7.20,L. Murray RB - LV ,5.10,J. Tucker K - BAL ,13.00,Patriots DEF ,17.00,A. Green WR - CIN ,0.00,A. Jeffery WR - CHI ,9.20,T. Eifert TE - CIN ,0.00,D. Hopkins WR - HOU ,4.30,S. Ware RB - KC ,8.20,D. Adams WR - GB ,10.40,136.68,Sawyer,157.60
Ari,4,D. Brees QB - NO ,16.06,J. Stewart RB - CAR ,5.20,J. Ajayi RB - MIA ,26.90,R. Matthews WR - TEN ,9.10,T. Williams WR - LAC ,12.40,T. Kelce TE - KC ,22.00,D. Freeman RB - ATL ,8.80,D. Bailey K - DAL ,6.00,Chargers DEF ,10.00,M. Crabtree WR - LV ,9.00,D. Thomas WR - DEN ,2.00,M. Lynch RB - SEA ,0.00,J. Crowder WR - WAS ,0.30,T. Rawls RB - SEA ,0.80,D. Booker RB - DEN ,5.10,116.46,Dylan,82.68
David,6,R. Wilson QB - SEA ,33.60,I. Crowell RB - CLE ,17.80,D. Johnson RB - ARI ,29.60,B. LaFell WR - CIN ,19.00,L. Fitzgerald WR - ARI ,3.10,G. Olsen TE - CAR ,5.90,T. Hill WR - KC ,15.50,C. Catanzaro K - ARI ,10.00,Seahawks DEF ,2.00,J. Maclin WR - KC ,0.90,D. Walker TE - TEN ,8.30,C. Ivory RB - JAX ,15.40,A. Hurns WR - JAX ,0.00,D. Prescott QB - DAL ,23.98,Bengals DEF ,8.00,136.50,Owen,114.48
Owen,5,D. Carr QB - LV ,22.08,C. Hyde RB - SF ,10.20,T. Coleman RB - ATL ,19.50,D. Bryant WR - DAL ,23.40,J. Jones WR - ATL ,6.00,J. Graham TE - SEA ,10.30,T. Montgomery RB - GB ,4.00,C. Santos K - KC ,9.00,Chiefs DEF ,10.00,K. Britt WR - LA ,1.50,M. Stafford QB - DET ,12.50,D. Sproles RB - PHI ,12.30,T. Pryor WR - CLE ,3.60,T. Riddick RB - DET ,0.00,B. Cooks WR - NO ,9.80,114.48,David,136.50
Ben,8,T. Brady QB - NE ,20.56,D. Martin RB - TB ,0.00,T. Yeldon RB - JAX ,0.50,J. Landry WR - MIA ,2.90,D. Moncrief WR - IND ,9.00,G. Barnidge TE - CLE ,4.20,K. Benjamin WR - CAR ,12.30,G. Gano K - CAR ,10.00,Panthers DEF ,3.00,R. Mathews RB - PHI ,6.20,C. Newton QB - CAR ,11.52,A. Peterson RB - MIN ,0.00,D. Johnson RB ,0.00,D. Johnson RB - CLE ,4.90,S. Shepard WR - NYG ,12.30,62.46,Dominic,84.32
Dominic,7,A. Luck QB - IND ,24.72,L. Miller RB - HOU ,0.00,T. Gurley RB - LA ,14.70,R. Cobb WR - GB ,0.00,D. Baldwin WR - SEA ,23.70,V. Davis TE - WAS ,1.30,S. Diggs WR - MIN ,8.90,S. Hauschka K - SEA ,5.00,Raiders DEF ,6.00,M. Forte RB - NYJ ,0.00,R. Jennings RB - NYG ,5.10,R. Gronkowski TE - NE ,0.00,E. Sanders WR - DEN ,2.60,M. Ingram RB - NO ,23.30,B. Marshall WR - NYJ ,2.80,84.32,Ben,62.46
