Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,24.18,L. Bell RB - PIT ,24.20,J. Howard RB - CHI ,3.30,K. Allen WR - LAC ,16.50,B. Cooks WR - NE ,2.20,J. Doyle TE - IND ,1.60,C. Hyde RB - SF ,6.60,H. Butker K - KC ,7.00,Titans DEF ,10.00,L. Blount RB - PHI ,2.60,D. Thomas WR - DEN ,2.70,L. Fitzgerald WR - ARI ,15.80,P. Rivers QB - LAC ,17.56,D. Parker WR - MIA ,0.50,D. Johnson RB - CLE ,1.20,95.58,Ben,103.12
Sawyer,5,J. Goff QB - LA ,15.00,L. Murray RB - MIN ,9.70,C. McCaffrey RB - CAR ,10.90,D. Baldwin WR - SEA ,8.40,D. Adams WR - GB ,4.20,K. Rudolph TE - MIN ,9.60,D. Lewis RB - NE ,9.20,M. Bryant K - ATL ,9.00,Chargers DEF ,11.00,M. Crabtree WR - LV ,0.00,L. Miller RB - HOU ,9.40,S. Watkins WR - LA ,9.80,J. McKinnon RB - MIN ,11.20,D. Johnson RB - ARI ,0.00,E. Elliott RB - DAL ,0.00,87.00,Leo,133.02
Leo,4,C. Wentz QB - PHI ,16.92,M. Ingram RB - NO ,18.20,S. Perine RB - WAS ,6.90,A. Green WR - CIN ,19.70,M. Thomas WR - NO ,13.00,R. Gronkowski TE - NE ,14.70,A. Kamara RB - NO ,24.60,J. Tucker K - BAL ,16.00,Steelers DEF ,3.00,D. Murray RB - TEN ,7.90,A. Rodgers QB - GB ,0.00,A. Peterson RB - ARI ,0.00,A. Brown WR - PIT ,16.10,K. Drake RB - MIA ,20.10,J. Smith-Schuster WR - PIT ,1.70,133.02,Sawyer,87.00
Ari,2,T. Taylor QB - BUF ,3.80,L. McCoy RB - BUF ,10.20,L. Fournette RB - JAX ,13.90,D. Funchess WR - CAR ,12.00,C. Kupp WR - LA ,6.80,J. Graham TE - SEA ,8.60,J. Williams RB - GB ,18.30,W. Lutz K - NO ,7.00,Jaguars DEF ,12.00,T. Hilton WR - IND ,11.10,R. Woods WR - LA ,0.00,A. Seferian-Jenkins TE - NYJ ,0.70,S. Diggs WR - MIN ,3.70,A. Collins RB - BAL ,21.80,T. Hill WR - KC ,30.50,92.60,Jack,105.02
Elijah,6,K. Cousins QB - WAS ,12.64,T. Coleman RB - ATL ,4.90,K. Hunt RB - KC ,6.30,J. Jones WR - ATL ,2.40,A. Thielen WR - MIN ,5.10,Z. Ertz TE - PHI ,2.40,R. Matthews WR - TEN ,0.00,G. Zuerlein K - LA ,16.00,Lions DEF ,-4.00,J. Cook TE - LV ,0.90,E. Sanders WR - DEN ,1.10,T. Montgomery RB - GB ,0.00,J. Ajayi RB - PHI ,4.60,D. Njoku TE - CLE ,13.40,Saints DEF ,4.00,45.74,Brad,80.98
Jack,1,T. Brady QB - NE ,8.32,M. Lynch RB - LV ,18.10,T. Gurley RB - LA ,15.80,J. Landry WR - MIA ,6.20,R. Anderson WR - NYJ ,11.40,H. Henry TE - LAC ,8.10,D. Freeman RB - ATL ,8.10,S. Gostkowski K - NE ,13.00,Ravens DEF ,16.00,D. Bryant WR - DAL ,12.10,M. Jones WR - DET ,9.00,J. Gordon WR - CLE ,8.50,I. Crowell RB - CLE ,4.40,O. Darkwa RB - NYG ,9.10,E. Engram TE - NYG ,15.90,105.02,Ari,92.60
Ben,3,C. Newton QB - CAR ,20.42,B. Powell RB - NYJ ,11.00,D. Henry RB - TEN ,16.90,D. Hopkins WR - HOU ,8.00,M. Evans WR - TB ,3.30,T. Kelce TE - KC ,21.40,F. Gore RB - IND ,6.10,M. Prater K - DET ,2.00,Broncos DEF ,14.00,J. Nelson WR - GB ,1.70,D. Brees QB - NO ,14.46,C. Hogan WR - NE ,0.00,D. Martin RB - TB ,0.00,J. Nelson WR - ARI ,4.20,Texans DEF ,4.00,103.12,Dylan,95.58
Brad,8,D. Prescott QB - DAL ,14.88,A. Abdullah RB - DET ,0.00,M. Gordon RB - LAC ,10.60,G. Tate WR - DET ,6.90,A. Jeffery WR - PHI ,6.10,D. Walker TE - TEN ,12.30,J. Mixon RB - CIN ,4.20,D. Bailey K - DAL ,8.00,Rams DEF ,18.00,J. Charles RB - DEN ,5.10,J. Stewart RB - CAR ,10.50,D. Amendola WR - NE ,3.40,C. Anderson RB - DEN ,11.00,A. Cooper WR - LV ,0.00,Panthers DEF ,3.00,80.98,Elijah,45.74
