Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,R. Wilson QB - SEA ,21.84,L. Bell RB - PIT ,30.50,J. Howard RB - CHI ,27.50,K. Allen WR - LAC ,11.10,B. Cooks WR - NE ,3.80,J. Doyle TE - IND ,6.40,C. Hyde RB - SF ,13.80,H. Butker K - KC ,16.00,Titans DEF ,12.00,L. Blount RB - PHI ,2.30,D. Thomas WR - DEN ,15.30,L. Fitzgerald WR - ARI ,4.40,P. Rivers QB - LAC ,20.76,D. Parker WR - MIA ,4.00,D. Johnson RB - CLE ,10.90,142.94,Elijah,78.04
Sawyer,5,M. Stafford QB - DET ,15.24,L. Miller RB - HOU ,6.00,A. Morris RB - DAL ,8.50,M. Crabtree WR - LV ,8.00,D. Adams WR - GB ,20.40,K. Rudolph TE - MIN ,10.10,D. Baldwin WR - SEA ,13.80,M. Bryant K - ATL ,10.00,Chargers DEF ,8.00,D. Lewis RB - NE ,6.70,L. Murray RB - MIN ,2.00,S. Watkins WR - LA ,8.10,N. Agholor WR - PHI ,6.40,E. Elliott RB - DAL ,0.00,C. McCaffrey RB - CAR ,5.30,100.04,Brad,101.38
Leo,4,C. Wentz QB - PHI ,27.24,M. Ingram RB - NO ,9.20,A. Kamara RB - NO ,2.70,A. Green WR - CIN ,4.40,A. Brown WR - PIT ,21.30,S. Anderson TE - HOU ,1.60,K. Drake RB - MIA ,19.30,J. Tucker K - BAL ,8.00,Patriots DEF ,2.00,R. Gronkowski TE - NE ,0.00,D. Murray RB - TEN ,4.70,A. Rodgers QB - GB ,0.00,D. Johnson RB - ARI ,0.00,M. Thomas WR - NO ,17.70,S. Perine RB - WAS ,5.20,95.74,Ari,100.62
Ari,1,A. Smith QB - KC ,11.12,L. McCoy RB - BUF ,21.60,J. Williams RB - GB ,23.80,M. Goodwin WR - SF ,10.60,T. Hill WR - KC ,7.50,J. Graham TE - SEA ,0.00,G. Bernard RB - CIN ,13.00,W. Lutz K - NO ,5.00,Jaguars DEF ,8.00,B. Roethlisberger QB - PIT ,28.74,T. Hilton WR - IND ,2.00,R. Woods WR - LA ,0.00,D. Funchess WR - CAR ,11.90,S. Diggs WR - MIN ,6.40,L. Fournette RB - JAX ,17.90,100.62,Leo,95.74
Elijah,7,K. Cousins QB - WAS ,8.84,T. Coleman RB - ATL ,3.20,K. Hunt RB - KC ,19.80,J. Jones WR - ATL ,9.80,A. Thielen WR - MIN ,16.50,Z. Ertz TE - PHI ,0.00,R. Matthews WR - TEN ,1.90,G. Zuerlein K - LA ,5.00,Lions DEF ,13.00,J. Cook TE - LV ,13.50,E. Sanders WR - DEN ,1.60,T. Montgomery RB - GB ,0.00,J. Ajayi RB - PHI ,8.00,D. Njoku TE - CLE ,0.30,Saints DEF ,8.00,78.04,Dylan,142.94
Jack,2,T. Brady QB - NE ,9.32,M. Lynch RB - LV ,12.40,T. Gurley RB - LA ,25.50,J. Gordon WR - CLE ,12.90,R. Anderson WR - NYJ ,2.70,E. Engram TE - NYG ,5.40,D. Freeman RB - ATL ,15.10,S. Gostkowski K - NE ,8.00,Ravens DEF ,-1.00,D. Bryant WR - DAL ,13.30,M. Jones WR - DET ,6.40,J. Landry WR - MIA ,16.60,I. Crowell RB - CLE ,13.10,H. Henry TE - LAC ,11.00,A. Collins RB - BAL ,22.60,90.32,Ben,101.34
Ben,3,D. Brees QB - NO ,17.04,B. Powell RB - NYJ ,3.50,D. Henry RB - TEN ,8.00,D. Hopkins WR - HOU ,24.90,M. Evans WR - TB ,2.50,T. Kelce TE - KC ,7.40,F. Gore RB - IND ,14.00,M. Prater K - DET ,6.00,Broncos DEF ,18.00,J. Nelson WR - GB ,3.30,C. Newton QB - CAR ,14.48,C. Hogan WR - NE ,0.10,D. Martin RB - TB ,9.00,J. Nelson WR - ARI ,2.60,Texans DEF ,4.00,101.34,Jack,90.32
Brad,8,D. Prescott QB - DAL ,26.58,C. Anderson RB - DEN ,7.30,M. Gordon RB - LAC ,14.30,G. Tate WR - DET ,14.50,A. Jeffery WR - PHI ,11.20,D. Walker TE - TEN ,4.20,R. Burkhead RB - NE ,11.30,D. Bailey K - DAL ,6.00,Rams DEF ,6.00,J. Charles RB - DEN ,1.20,D. Amendola WR - NE ,7.60,A. Abdullah RB - DET ,0.00,A. Cooper WR - LV ,0.00,J. Mixon RB - CIN ,0.00,Panthers DEF ,12.00,101.38,Sawyer,100.04
