Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,R. Wilson QB - SEA ,14.62,L. Bell RB - PIT ,15.70,J. Howard RB - CHI ,16.40,K. Allen WR - LAC ,6.30,B. Cooks WR - NE ,2.50,J. Doyle TE - IND ,4.10,D. Johnson RB - CLE ,10.10,C. Boswell K - PIT ,10.00,Steelers DEF ,18.00,L. Blount RB - PHI ,1.50,D. Thomas WR - DEN ,5.20,L. Fitzgerald WR - ARI ,18.74,P. Rivers QB - LAC ,15.60,C. Hyde RB - SF ,13.30,D. Parker WR - MIA ,6.30,97.72,Sawyer,85.82
Sawyer,5,M. Stafford QB - DET ,10.82,D. Lewis RB - NE ,27.30,C. McCaffrey RB - CAR ,5.80,M. Crabtree WR - LV ,0.00,D. Baldwin WR - SEA ,9.50,K. Rudolph TE - MIN ,0.60,E. Elliott RB - DAL ,11.80,M. Bryant K - ATL ,7.00,Chargers DEF ,13.00,L. Miller RB - HOU ,6.50,A. Morris RB - DAL ,0.00,L. Murray RB - MIN ,7.50,S. Watkins WR - LA ,9.00,E. Ebron TE - DET ,14.30,D. Adams WR - GB ,0.00,85.82,Dylan,97.72
Leo,4,C. Keenum QB - MIN ,9.36,M. Ingram RB - NO ,12.60,A. Kamara RB - NO ,9.00,A. Green WR - CIN ,8.10,M. Thomas WR - NO ,6.60,R. Gronkowski TE - NE ,12.70,K. Drake RB - MIA ,5.70,J. Tucker K - BAL ,11.00,Bears DEF ,14.00,T. Tebow QB ,0.00,C. Kaepernick QB ,0.00,A. Brown WR - PIT ,0.00,M. Bryant WR - PIT ,6.80,D. Johnson RB - ARI ,0.00,S. Perine RB - WAS ,5.40,89.06,Jack,89.86
Ari,1,B. Roethlisberger QB - PIT ,16.94,L. McCoy RB - BUF ,14.70,L. Fournette RB - JAX ,13.00,R. Woods WR - LA ,3.30,J. Smith-Schuster WR - PIT ,13.50,G. Olsen TE - CAR ,2.70,D. Funchess WR - CAR ,1.10,W. Lutz K - NO ,11.00,Jaguars DEF ,1.00,J. Graham TE - SEA ,6.30,M. Goodwin WR - SF ,3.70,J. McKinnon RB - MIN ,5.10,S. Diggs WR - MIN ,12.30,T. Hill WR - KC ,10.80,J. Williams RB - GB ,5.80,77.24,Ben,92.26
Elijah,7,K. Cousins QB - WAS ,22.76,T. Coleman RB - ATL ,11.20,K. Hunt RB - KC ,16.60,J. Jones WR - ATL ,14.90,A. Thielen WR - MIN ,2.40,Z. Ertz TE - PHI ,8.10,R. Matthews WR - TEN ,4.80,G. Zuerlein K - LA ,0.00,Lions DEF ,5.00,J. Cook TE - LV ,1.50,E. Sanders WR - DEN ,0.00,T. Montgomery RB - GB ,0.00,J. Ajayi RB - PHI ,11.30,D. Njoku TE - CLE ,1.30,Saints DEF ,13.00,85.76,Brad,70.14
Jack,2,T. Brady QB - NE ,15.56,T. Gurley RB - LA ,39.60,A. Collins RB - BAL ,6.60,D. Bryant WR - DAL ,2.30,M. Jones WR - DET ,5.00,E. Engram TE - NYG ,1.20,D. Freeman RB - ATL ,3.60,S. Gostkowski K - NE ,13.00,Ravens DEF ,3.00,D. Woodhead RB - BAL ,4.10,M. Lynch RB - LV ,7.20,J. Gordon WR - CLE ,1.90,J. Landry WR - MIA ,3.10,I. Crowell RB - CLE ,4.30,Y. Koo K ,0.00,89.86,Leo,89.06
Ben,3,D. Brees QB - NO ,11.16,B. Powell RB - NYJ ,20.50,D. Henry RB - TEN ,3.10,D. Hopkins WR - HOU ,12.50,M. Evans WR - TB ,10.70,T. Kelce TE - KC ,10.70,F. Gore RB - IND ,14.60,M. Prater K - DET ,5.00,Broncos DEF ,4.00,J. Nelson WR - GB ,1.10,C. Newton QB - CAR ,15.60,C. Hogan WR - NE ,0.00,D. Martin RB - TB ,0.70,J. Nelson WR - ARI ,0.00,Texans DEF ,-1.00,92.26,Ari,77.24
Brad,8,D. Prescott QB - DAL ,5.34,C. Anderson RB - DEN ,21.30,M. Gordon RB - LAC ,18.80,G. Tate WR - DET ,1.40,A. Jeffery WR - PHI ,0.00,D. Walker TE - TEN ,3.30,R. Burkhead RB - NE ,0.00,D. Bailey K - DAL ,16.00,Rams DEF ,4.00,J. Charles RB - DEN ,0.00,D. Amendola WR - NE ,2.80,A. Abdullah RB - DET ,2.60,A. Cooper WR - LV ,12.60,J. Mixon RB - CIN ,3.20,Panthers DEF ,19.00,70.14,Elijah,85.76
