Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,J. Winston QB - TB ,2.44,L. Bell RB - PIT ,25.10,C. Hyde RB - SF ,19.50,K. Allen WR - LAC ,4.50,B. Cooks WR - NE ,9.30,C. Brate TE - TB ,13.60,J. Howard RB - CHI ,17.60,J. Tucker K - BAL ,12.00,Chiefs DEF ,4.00,D. Jackson WR - TB ,9.80,D. Thomas WR - DEN ,11.30,R. Wilson QB - SEA ,0.00,M. Gillislee RB - NE ,2.40,M. Bryant WR - PIT ,2.70,D. Johnson RB - CLE ,3.90,108.04,Ben,83.44
Sawyer,2,C. Palmer QB - ARI ,20.92,C. McCaffrey RB - CAR ,12.40,A. Jones RB - GB ,4.20,K. Benjamin WR - BUF ,9.90,D. Adams WR - GB ,11.40,Z. Ertz TE - PHI ,13.80,M. Crabtree WR - LV ,11.20,M. Bryant K - ATL ,7.00,Redskins DEF ,5.00,D. McFadden RB ,0.00,D. Baldwin WR - SEA ,0.00,A. Morris RB - DAL ,0.00,A. Thielen WR - MIN ,9.60,D. Johnson RB - ARI ,0.00,E. Elliott RB - DAL ,0.00,95.82,Ari,96.80
Leo,6,M. Stafford QB - DET ,14.88,D. Martin RB - TB ,14.40,A. Kamara RB - NO ,8.70,A. Brown WR - PIT ,21.50,C. Hogan WR - NE ,1.90,R. Gronkowski TE - NE ,20.30,D. Murray RB - TEN ,14.70,D. Hopkins K - WAS ,8.00,Falcons DEF ,3.00,A. Green WR - CIN ,0.00,A. Peterson RB - ARI ,25.40,T. Pryor WR - WAS ,2.30,T. Coleman RB - ATL ,9.60,D. Henry RB - TEN ,20.50,M. Breida RB - SF ,3.60,107.38,Brad,78.92
Ari,4,D. Watson QB - HOU ,23.30,J. McKinnon RB - MIN ,19.90,L. Fournette RB - JAX ,19.80,T. Hilton WR - IND ,1.90,T. Hill WR - KC ,2.50,J. Reed TE - WAS ,3.70,S. Perine RB - WAS ,10.70,W. Lutz K - NO ,10.00,Jaguars DEF ,5.00,P. Garcon WR - SF ,5.50,L. McCoy RB - BUF ,0.00,A. Smith QB - KC ,15.14,S. Watkins WR - LA ,1.10,S. Diggs WR - MIN ,0.00,W. Fuller WR - HOU ,12.20,96.80,Sawyer,95.82
Elijah,3,K. Cousins QB - WAS ,27.80,L. Miller RB - HOU ,8.10,K. Hunt RB - KC ,11.00,J. Jones WR - ATL ,7.20,R. Matthews WR - TEN ,6.90,D. Njoku TE - CLE ,0.00,L. Blount RB - PHI ,8.70,G. Zuerlein K - LA ,11.00,Lions DEF ,17.00,M. Ryan QB - ATL ,11.92,E. Sanders WR - DEN ,7.60,G. Bernard RB - CIN ,0.00,J. Landry WR - MIA ,12.20,T. Montgomery RB - GB ,3.10,J. Ajayi RB - PHI ,13.00,97.70,Jack,91.78
Jack,1,T. Brady QB - NE ,16.18,D. Freeman RB - ATL ,7.90,T. Gurley RB - LA ,12.00,J. Nelson WR - GB ,6.00,L. Fitzgerald WR - ARI ,17.80,A. Seferian-Jenkins TE - NYJ ,8.60,M. Lynch RB - LV ,6.30,S. Gostkowski K - NE ,6.00,Patriots DEF ,11.00,D. Bryant WR - DAL ,0.00,R. Cobb WR - GB ,2.80,I. Crowell RB - CLE ,7.30,D. Parker WR - MIA ,0.00,W. Gallman RB - NYG ,3.20,Seahawks DEF ,0.00,91.78,Elijah,97.70
Ben,5,D. Brees QB - NO ,11.54,M. Ingram RB - NO ,25.00,F. Gore RB - IND ,6.70,M. Evans WR - TB ,15.50,M. Thomas WR - NO ,1.10,T. Kelce TE - KC ,3.70,D. Hopkins WR - HOU ,7.90,M. Prater K - DET ,8.00,Broncos DEF ,4.00,B. Powell RB - NYJ ,0.00,C. Newton QB - CAR ,20.66,J. Nelson WR - ARI ,1.60,R. Kelley RB - WAS ,0.00,Texans DEF ,22.00,83.44,Dylan,108.04
Brad,8,A. Rodgers QB - GB ,0.72,C. Anderson RB - DEN ,1.70,M. Gordon RB - LAC ,27.00,G. Tate WR - DET ,15.60,A. Jeffery WR - PHI ,7.10,D. Walker TE - TEN ,1.40,A. Abdullah RB - DET ,5.40,D. Bailey K - DAL ,0.00,Rams DEF ,20.00,J. Charles RB - DEN ,2.10,J. Stewart RB - CAR ,-0.40,A. Cooper WR - LV ,2.80,D. Prescott QB - DAL ,0.00,J. Mixon RB - CIN ,0.00,Panthers DEF ,4.00,78.92,Leo,107.38
