Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,8.32,L. Bell RB - PIT ,4.70,J. Howard RB - CHI ,12.60,D. Thomas WR - DEN ,6.70,B. Cooks WR - NE ,8.80,J. Reed TE - WAS ,3.60,C. Hyde RB - SF ,7.70,A. Vinatieri K - IND ,3.00,Patriots DEF ,1.00,M. Forte RB - NYJ ,3.60,B. Marshall WR - NYG ,1.00,M. Gillislee RB - NE ,22.50,T. Riddick RB - DET ,8.60,K. Allen WR - LAC ,9.50,M. Bryant WR - PIT ,1.40,56.42,Leo,92.92
Sawyer,6,D. Carr QB - LV ,18.68,D. Johnson RB - ARI ,7.00,E. Elliott RB - DAL ,14.00,M. Crabtree WR - LV ,8.30,D. Baldwin WR - SEA ,6.00,K. Rudolph TE - MIN ,8.60,K. Benjamin WR - BUF ,2.50,M. Bryant K - ATL ,11.00,Bills DEF ,9.00,D. McFadden RB ,0.00,J. Rodgers RB - TB ,0.00,T. Ginn WR - NO ,5.80,D. Adams WR - GB ,4.70,P. Perkins RB - NYG ,2.50,C. McCaffrey RB - CAR ,6.50,85.08,Jack,85.58
Leo,3,B. Roethlisberger QB - PIT ,15.72,B. Powell RB - NYJ ,3.90,T. Gurley RB - LA ,15.60,A. Brown WR - PIT ,18.20,D. Hopkins WR - HOU ,11.50,R. Gronkowski TE - NE ,3.30,D. Cook RB - MIN ,13.70,J. Tucker K - BAL ,8.00,Broncos DEF ,3.00,S. Watkins WR - LA ,5.80,O. Beckham WR - NYG ,0.00,D. Parker WR - MIA ,0.00,T. Coleman RB - ATL ,5.80,D. Henry RB - TEN ,2.50,J. Mixon RB - CIN ,2.40,92.92,Dylan,56.42
Ari,5,M. Mariota QB - TEN ,18.84,L. McCoy RB - BUF ,15.90,L. Fournette RB - JAX ,18.40,T. Pryor WR - WAS ,6.60,T. Hilton WR - IND ,3.70,G. Olsen TE - CAR ,1.80,A. Green WR - CIN ,7.40,W. Lutz K - NO ,13.00,Seahawks DEF ,7.00,P. Garcon WR - SF ,8.10,D. Martin RB - TB ,0.00,J. Matthews WR - BUF ,6.10,S. Diggs WR - MIN ,20.70,R. Kelley RB - WAS ,3.00,Z. Jones WR - BUF ,2.10,92.64,Elijah,101.04
Elijah,1,M. Ryan QB - ATL ,17.94,L. Miller RB - HOU ,9.60,K. Hunt RB - KC ,40.60,E. Sanders WR - DEN ,2.60,J. Jones WR - ATL ,6.60,T. Eifert TE - CIN ,0.40,T. Montgomery RB - GB ,15.30,M. Crosby K - GB ,5.00,Chiefs DEF ,3.00,D. Woodhead RB - BAL ,3.70,L. Blount RB - PHI ,10.70,G. Bernard RB - CIN ,7.90,J. Landry WR - MIA ,0.00,J. Ajayi RB - PHI ,0.00,D. Njoku TE - CLE ,2.00,101.04,Ari,92.64
Jack,4,T. Brady QB - NE ,10.68,M. Lynch RB - LV ,9.20,D. Freeman RB - ATL ,9.90,J. Nelson WR - GB ,13.90,D. Bryant WR - DAL ,4.30,J. Graham TE - SEA ,0.80,T. Hill WR - KC ,19.80,S. Gostkowski K - NE ,9.00,Cardinals DEF ,8.00,D. Jackson WR - TB ,0.00,E. Decker WR - TEN ,1.00,L. Fitzgerald WR - ARI ,7.40,A. Peterson RB - ARI ,1.80,T. West RB - BAL ,14.00,J. Crowder WR - WAS ,-0.60,85.58,Sawyer,85.08
Ben,8,C. Newton QB - CAR ,13.14,M. Ingram RB - NO ,7.10,F. Gore RB - IND ,5.20,A. Robinson WR - JAX ,1.70,M. Thomas WR - NO ,4.50,T. Kelce TE - KC ,4.40,I. Crowell RB - CLE ,8.60,M. Prater K - DET ,7.00,Texans DEF ,0.00,J. Maclin WR - BAL ,11.60,D. Brees QB - NO ,15.64,E. Lacy RB - SEA ,0.30,M. Evans WR - TB ,0.00,D. Moncrief WR - IND ,5.00,T. Lockett WR - SEA ,0.80,51.64,Brad,98.84
Brad,2,A. Rodgers QB - GB ,16.54,D. Murray RB - TEN ,6.00,M. Gordon RB - LAC ,13.90,A. Jeffery WR - PHI ,5.80,A. Cooper WR - LV ,12.20,D. Walker TE - TEN ,7.60,C. Anderson RB - DEN ,8.80,D. Bailey K - DAL ,13.00,Panthers DEF ,15.00,J. Charles RB - DEN ,2.00,G. Tate WR - DET ,11.40,D. Sproles RB - PHI ,4.50,W. Snead WR - NO ,0.00,A. Abdullah RB - DET ,4.10,D. Prescott QB - DAL ,17.12,98.84,Ben,51.64
