Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,8,R. Wilson QB - SEA ,15.32,L. Bell RB - PIT ,9.10,J. Howard RB - CHI ,0.70,D. Thomas WR - DEN ,7.10,B. Cooks WR - NE ,4.30,J. Reed TE - WAS ,4.80,M. Gillislee RB - NE ,12.90,A. Vinatieri K - IND ,7.00,Buccaneers DEF ,19.00,M. Forte RB - NYJ ,9.10,T. Riddick RB - DET ,3.70,K. Allen WR - LAC ,10.00,M. Bryant WR - PIT ,15.80,C. Hyde RB - SF ,14.30,T. Cohen RB - CHI ,4.80,80.22,Elijah,111.48
Sawyer,4,D. Carr QB - LV ,21.20,J. Rodgers RB - TB ,12.70,E. Elliott RB - DAL ,2.20,M. Crabtree WR - LV ,26.00,D. Baldwin WR - SEA ,4.40,Z. Ertz TE - PHI ,9.70,C. McCaffrey RB - CAR ,4.40,M. Bryant K - ATL ,14.00,Raiders DEF ,9.00,T. Ginn WR - NO ,2.40,A. Thielen WR - MIN ,2.40,K. Benjamin WR - BUF ,7.70,D. Adams WR - GB ,15.90,D. Johnson RB - ARI ,0.00,C. Davis WR - TEN ,0.40,103.60,Leo,86.56
Leo,5,J. Winston QB - TB ,12.46,T. West RB - BAL ,10.50,D. Cook RB - MIN ,6.40,A. Green WR - CIN ,6.70,A. Brown WR - PIT ,6.20,R. Gronkowski TE - NE ,17.60,I. Crowell RB - CLE ,3.70,J. Tucker K - BAL ,6.00,Ravens DEF ,17.00,J. Stewart RB - CAR ,4.00,D. Martin RB - TB ,0.00,O. Beckham WR - NYG ,3.60,T. Coleman RB - ATL ,10.50,D. Henry RB - TEN ,15.20,J. Mixon RB - CIN ,4.10,86.56,Sawyer,103.60
Ari,7,M. Mariota QB - TEN ,13.00,L. McCoy RB - BUF ,4.30,L. Fournette RB - JAX ,12.10,T. Pryor WR - WAS ,3.10,S. Diggs WR - MIN ,3.10,G. Olsen TE - CAR ,1.00,T. Gurley RB - LA ,23.60,W. Lutz K - NO ,8.00,Seahawks DEF ,8.00,P. Garcon WR - SF ,2.60,B. Roethlisberger QB - PIT ,17.52,T. Hilton WR - IND ,4.90,K. Williams RB - ARI ,2.20,T. Rawls RB - SEA ,0.40,C. Kupp WR - LA ,3.30,76.20,Ben,95.94
Elijah,1,M. Ryan QB - ATL ,14.88,T. Montgomery RB - GB ,23.00,K. Hunt RB - KC ,22.90,J. Jones WR - ATL ,10.80,J. Landry WR - MIA ,7.10,T. Eifert TE - CIN ,4.20,J. Ajayi RB - PHI ,12.60,M. Crosby K - GB ,5.00,Chiefs DEF ,11.00,D. Woodhead RB - BAL ,0.00,L. Blount RB - PHI ,0.00,E. Sanders WR - DEN ,18.20,L. Miller RB - HOU ,8.70,G. Bernard RB - CIN ,2.60,D. Njoku TE - CLE ,8.70,111.48,Dylan,80.22
Jack,2,T. Brady QB - NE ,30.78,M. Lynch RB - LV ,10.90,D. Freeman RB - ATL ,22.00,J. Nelson WR - GB ,0.00,D. Bryant WR - DAL ,11.90,K. Rudolph TE - MIN ,4.50,T. Hill WR - KC ,4.90,S. Gostkowski K - NE ,12.00,Cardinals DEF ,10.00,J. Graham TE - SEA ,0.10,R. Cobb WR - GB ,7.00,L. Fitzgerald WR - ARI ,2.10,A. Peterson RB - ARI ,2.60,S. Watkins WR - LA ,3.00,D. Parker WR - MIA ,8.50,106.98,Brad,97.52
Ben,6,D. Brees QB - NO ,22.24,B. Powell RB - NYJ ,1.30,M. Ingram RB - NO ,7.60,M. Evans WR - TB ,15.30,M. Thomas WR - NO ,8.90,T. Kelce TE - KC ,16.30,D. Hopkins WR - HOU ,7.30,M. Prater K - DET ,8.00,Texans DEF ,9.00,J. Maclin WR - BAL ,9.10,C. Newton QB - CAR ,11.82,F. Gore RB - IND ,10.60,D. Moncrief WR - IND ,1.80,T. Lockett WR - SEA ,6.40,R. Kelley RB - WAS ,7.80,95.94,Ari,76.20
Brad,3,A. Rodgers QB - GB ,18.52,D. Murray RB - TEN ,2.80,M. Gordon RB - LAC ,13.80,G. Tate WR - DET ,2.50,A. Cooper WR - LV ,3.30,D. Walker TE - TEN ,12.20,C. Anderson RB - DEN ,27.40,D. Bailey K - DAL ,7.00,Panthers DEF ,10.00,J. Charles RB - DEN ,5.20,D. Sproles RB - PHI ,5.80,A. Jeffery WR - PHI ,15.20,W. Snead WR - NO ,0.00,A. Abdullah RB - DET ,8.60,D. Prescott QB - DAL ,15.92,97.52,Jack,106.98
