Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,19.42,L. Bell RB - PIT ,11.20,C. Hyde RB - SF ,10.40,M. Jones WR - DET ,2.20,B. Cooks WR - NE ,7.40,C. Brate TE - TB ,1.00,J. Howard RB - CHI ,5.40,M. Nugent K - CHI ,1.00,Vikings DEF ,2.00,D. Jackson WR - TB ,8.20,D. Thomas WR - DEN ,10.40,L. Fitzgerald WR - ARI ,11.30,C. Thompson RB - WAS ,6.70,K. Allen WR - LAC ,5.40,Eagles DEF ,0.00,60.02,Ari,109.50
Sawyer,4,B. Roethlisberger QB - PIT ,17.94,D. McFadden RB ,-0.20,C. McCaffrey RB - CAR ,17.00,D. Baldwin WR - SEA ,9.50,A. Thielen WR - MIN ,22.60,K. Rudolph TE - MIN ,3.70,D. Adams WR - GB ,15.00,M. Bryant K - ATL ,11.00,Bears DEF ,3.00,M. Crabtree WR - LV ,0.00,Z. Ertz TE - PHI ,0.00,K. Benjamin WR - BUF ,4.20,D. Johnson RB - ARI ,0.00,E. Elliott RB - DAL ,0.00,A. Jones RB - GB ,1.20,99.54,Elijah,99.98
Leo,6,M. Ryan QB - ATL ,14.60,A. Peterson RB - ARI ,2.20,A. Kamara RB - NO ,19.80,A. Green WR - CIN ,17.50,A. Brown WR - PIT ,4.70,R. Gronkowski TE - NE ,7.40,D. Martin RB - TB ,5.10,C. Boswell K - PIT ,6.00,Steelers DEF ,6.00,J. Nelson WR - GB ,2.00,D. Murray RB - TEN ,25.20,C. Hogan WR - NE ,0.00,C. Wentz QB - PHI ,0.00,D. Henry RB - TEN ,5.20,J. Elliott K - PHI ,0.00,83.30,Jack,77.66
Ari,3,J. Goff QB - LA ,26.50,L. McCoy RB - BUF ,6.00,L. Fournette RB - JAX ,4.60,D. Funchess WR - CAR ,21.20,S. Diggs WR - MIN ,13.80,J. Graham TE - SEA ,14.70,J. McKinnon RB - MIN ,4.70,W. Lutz K - NO ,13.00,Jaguars DEF ,5.00,A. Smith QB - KC ,0.00,T. Hilton WR - IND ,2.30,A. Morris RB - DAL ,5.30,R. Woods WR - LA ,29.10,R. Smith RB - DAL ,2.90,T. Hill WR - KC ,0.00,109.50,Dylan,60.02
Elijah,5,K. Cousins QB - WAS ,27.58,L. Miller RB - HOU ,7.40,T. Montgomery RB - GB ,12.80,J. Jones WR - ATL ,5.70,R. Matthews WR - TEN ,5.00,D. Njoku TE - CLE ,0.30,J. Landry WR - MIA ,10.20,G. Zuerlein K - LA ,17.00,Lions DEF ,14.00,J. Cook TE - LV ,0.00,L. Blount RB - PHI ,0.00,E. Sanders WR - DEN ,13.70,J. Ajayi RB - PHI ,0.00,K. Hunt RB - KC ,0.00,Saints DEF ,8.00,99.98,Sawyer,99.54
Jack,1,M. Stafford QB - DET ,21.66,D. Freeman RB - ATL ,0.30,T. Gurley RB - LA ,13.60,D. Bryant WR - DAL ,3.90,T. Ginn WR - NO ,0.30,E. Engram TE - NYG ,9.10,O. Darkwa RB - NYG ,10.80,S. Gostkowski K - NE ,11.00,Seahawks DEF ,7.00,M. Lynch RB - LV ,0.00,T. Brady QB - NE ,22.64,J. Gordon WR - CLE ,0.00,I. Crowell RB - CLE ,15.50,S. Shepard WR - NYG ,14.20,R. Anderson WR - NYJ ,14.50,77.66,Leo,83.30
Ben,2,D. Brees QB - NO ,13.96,B. Powell RB - NYJ ,1.60,M. Ingram RB - NO ,31.10,D. Hopkins WR - HOU ,11.10,M. Thomas WR - NO ,11.70,J. Doyle TE - IND ,0.90,F. Gore RB - IND ,6.10,M. Prater K - DET ,8.00,Texans DEF ,2.00,C. Newton QB - CAR ,35.66,T. Kelce TE - KC ,0.00,M. Evans WR - TB ,0.00,J. Nelson WR - ARI ,1.70,R. Succop K - TEN ,6.00,Broncos DEF ,-3.00,86.46,Brad,79.54
Brad,8,D. Prescott QB - DAL ,13.24,A. Abdullah RB - DET ,11.50,M. Gordon RB - LAC ,4.20,D. Amendola WR - NE ,3.60,G. Tate WR - DET ,15.70,D. Walker TE - TEN ,6.30,J. Mixon RB - CIN ,10.00,D. Bailey K - DAL ,0.00,Rams DEF ,15.00,J. Charles RB - DEN ,3.80,J. Stewart RB - CAR ,11.00,A. Jeffery WR - PHI ,0.00,C. Anderson RB - DEN ,5.50,A. Cooper WR - LV ,0.00,Panthers DEF ,2.00,79.54,Ben,86.46
