Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,11.52,L. Bell RB - PIT ,9.30,C. Hyde RB - SF ,1.80,K. Allen WR - LAC ,6.70,B. Cooks WR - NE ,8.50,C. Clay TE - BUF ,3.10,J. Howard RB - CHI ,7.60,M. Crosby K - GB ,5.00,Chiefs DEF ,10.00,D. Jackson WR - TB ,10.60,D. Thomas WR - DEN ,0.00,M. Gillislee RB - NE ,5.20,T. Riddick RB - DET ,5.30,M. Bryant WR - PIT ,3.40,D. Johnson RB - CLE ,14.30,63.52,Jack,68.22
Sawyer,2,J. Winston QB - TB ,18.46,E. Elliott RB - DAL ,13.20,A. Jones RB - GB ,19.40,D. Baldwin WR - SEA ,3.70,A. Thielen WR - MIN ,4.50,Z. Ertz TE - PHI ,12.10,C. McCaffrey RB - CAR ,9.80,K. Fairbairn K - HOU ,2.00,Bills DEF ,8.00,M. Crabtree WR - LV ,14.20,L. Murray RB - MIN ,4.30,K. Benjamin WR - BUF ,11.80,D. Adams WR - GB ,18.60,D. Johnson RB - ARI ,0.00,M. Bryant K - ATL ,0.00,91.16,Brad,87.24
Leo,6,M. Stafford QB - DET ,15.16,D. Murray RB - TEN ,4.90,D. Martin RB - TB ,14.20,A. Green WR - CIN ,22.90,A. Brown WR - PIT ,15.70,E. Engram TE - NYG ,0.00,O. Beckham WR - NYG ,16.50,G. Zuerlein K - LA ,4.00,Steelers DEF ,5.00,R. Gronkowski TE - NE ,0.00,C. Hogan WR - NE ,13.40,I. Crowell RB - CLE ,6.70,T. Coleman RB - ATL ,0.00,D. Henry RB - TEN ,0.90,A. Kamara RB - NO ,0.00,98.36,Ari,110.94
Ari,5,T. Taylor QB - BUF ,8.94,L. McCoy RB - BUF ,8.90,L. Fournette RB - JAX ,30.40,S. Diggs WR - MIN ,0.40,T. Hill WR - KC ,6.80,C. Brate TE - TB ,12.80,T. Hilton WR - IND ,17.70,G. Gano K - CAR ,9.00,Seahawks DEF ,16.00,P. Garcon WR - SF ,9.40,T. Pryor WR - WAS ,0.00,C. Thompson RB - WAS ,0.00,S. Watkins WR - LA ,0.00,M. Mariota QB - TEN ,0.00,C. Clement RB - PHI ,3.90,110.94,Leo,98.36
Elijah,4,S. Bradford QB - MIN ,1.44,L. Miller RB - HOU ,8.90,K. Hunt RB - KC ,11.60,R. Matthews WR - TEN ,3.10,J. Landry WR - MIA ,10.40,D. Njoku TE - CLE ,10.90,J. Ajayi RB - PHI ,5.90,K. Forbath K - MIN ,8.00,Vikings DEF ,6.00,M. Ryan QB - ATL ,0.00,L. Blount RB - PHI ,7.40,E. Sanders WR - DEN ,0.00,J. Jones WR - ATL ,0.00,G. Bernard RB - CIN ,3.20,T. Montgomery RB - GB ,0.00,66.24,Ben,83.30
Jack,1,T. Brady QB - NE ,12.62,M. Lynch RB - LV ,11.30,T. Gurley RB - LA ,3.00,J. Nelson WR - GB ,8.40,D. Bryant WR - DAL ,11.20,J. Witten TE - DAL ,4.10,D. Parker WR - MIA ,0.60,S. Gostkowski K - NE ,13.00,Giants DEF ,4.00,C. Johnson RB ,2.90,R. Cobb WR - GB ,2.90,L. Fitzgerald WR - ARI ,5.10,D. Freeman RB - ATL ,0.00,S. Shepard WR - NYG ,0.90,W. Smallwood RB - PHI ,0.00,68.22,Dylan,63.52
Ben,3,C. Newton QB - CAR ,26.20,B. Powell RB - NYJ ,3.30,F. Gore RB - IND ,8.60,D. Hopkins WR - HOU ,23.20,M. Evans WR - TB ,4.90,T. Kelce TE - KC ,9.80,J. Maclin WR - BAL ,4.30,M. Prater K - DET ,6.00,Texans DEF ,-3.00,M. Ingram RB - NO ,0.00,D. Brees QB - NO ,0.00,J. Nelson WR - ARI ,7.40,M. Thomas WR - NO ,0.00,R. Kelley RB - WAS ,0.00,Broncos DEF ,0.00,83.30,Elijah,66.24
Brad,8,A. Rodgers QB - GB ,24.04,M. Gordon RB - LAC ,28.30,J. Mixon RB - CIN ,11.10,G. Tate WR - DET ,4.80,A. Jeffery WR - PHI ,3.10,D. Walker TE - TEN ,2.50,A. Abdullah RB - DET ,3.40,D. Bailey K - DAL ,7.00,Lions DEF ,3.00,J. Charles RB - DEN ,0.00,J. Stewart RB - CAR ,4.40,C. Anderson RB - DEN ,0.00,A. Cooper WR - LV ,0.80,D. Prescott QB - DAL ,29.74,Panthers DEF ,8.00,87.24,Sawyer,91.16
