Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,8,D. Carr QB - LV ,5.22,L. Bell RB - PIT ,15.80,C. Hyde RB - SF ,21.40,K. Allen WR - LAC ,6.10,B. Cooks WR - NE ,27.10,J. Witten TE - DAL ,0.30,M. Gillislee RB - NE ,3.10,G. Tavecchio K - LV ,4.00,Patriots DEF ,6.00,D. Thomas WR - DEN ,9.80,R. Wilson QB - SEA ,33.52,M. Bryant WR - PIT ,3.00,J. Howard RB - CHI ,26.60,T. Cohen RB - CHI ,10.20,C. Carson RB - SEA ,11.20,89.02,Ari,91.30
Sawyer,3,M. Stafford QB - DET ,16.46,J. Rodgers RB - TB ,1.50,E. Elliott RB - DAL ,15.40,K. Benjamin WR - BUF ,0.80,D. Adams WR - GB ,6.00,Z. Ertz TE - PHI ,9.50,D. Baldwin WR - SEA ,16.50,M. Bryant K - ATL ,12.00,Rams DEF ,4.00,M. Crabtree WR - LV ,0.70,A. Thielen WR - MIN ,9.80,J. White RB - NE ,2.80,D. Johnson RB - ARI ,0.00,C. Davis WR - TEN ,0.00,C. McCaffrey RB - CAR ,11.70,82.16,Ben,79.68
Leo,4,A. Smith QB - KC ,15.10,D. Henry RB - TEN ,6.40,D. Cook RB - MIN ,22.90,A. Green WR - CIN ,17.10,A. Brown WR - PIT ,17.00,R. Gronkowski TE - NE ,14.90,O. Beckham WR - NYG ,19.90,J. Tucker K - BAL ,1.00,Ravens DEF ,-4.00,D. Murray RB - TEN ,18.00,C. Hogan WR - NE ,18.80,D. Martin RB - TB ,0.00,I. Crowell RB - CLE ,5.40,T. Coleman RB - ATL ,8.90,J. Allen RB - BAL ,2.80,110.30,Jack,128.82
Ari,5,B. Roethlisberger QB - PIT ,12.00,L. McCoy RB - BUF ,6.90,L. Fournette RB - JAX ,14.00,T. Pryor WR - WAS ,1.90,T. Hill WR - KC ,15.00,M. Bennett TE - NE ,1.20,S. Diggs WR - MIN ,29.30,W. Lutz K - NO ,12.00,Seahawks DEF ,-1.00,D. Jackson WR - TB ,14.40,P. Garcon WR - SF ,14.20,T. Hilton WR - IND ,21.30,C. Thompson RB - WAS ,24.80,S. Watkins WR - LA ,22.60,M. Mariota QB - TEN ,19.70,91.30,Dylan,89.02
Elijah,2,M. Ryan QB - ATL ,13.66,T. Montgomery RB - GB ,5.00,K. Hunt RB - KC ,24.30,J. Jones WR - ATL ,9.10,R. Matthews WR - TEN ,14.70,D. Njoku TE - CLE ,7.20,J. Ajayi RB - PHI ,2.50,M. Crosby K - GB ,9.00,Chiefs DEF ,12.00,L. Blount RB - PHI ,12.70,E. Sanders WR - DEN ,7.50,L. Miller RB - HOU ,6.30,T. Eifert TE - CIN ,0.00,G. Bernard RB - CIN ,9.90,J. Landry WR - MIA ,4.80,97.46,Brad,56.92
Jack,1,T. Brady QB - NE ,35.72,M. Lynch RB - LV ,2.60,D. Freeman RB - ATL ,19.80,J. Nelson WR - GB ,17.20,D. Bryant WR - DAL ,7.20,K. Rudolph TE - MIN ,0.40,T. Gurley RB - LA ,32.90,S. Gostkowski K - NE ,4.00,Vikings DEF ,9.00,M. Forte RB - NYJ ,2.50,L. Fitzgerald WR - ARI ,20.90,A. Peterson RB - ARI ,3.70,D. Parker WR - MIA ,13.60,R. Higgins WR - CLE ,1.00,S. Perine RB - WAS ,3.50,128.82,Leo,110.30
Ben,7,C. Newton QB - CAR ,8.28,M. Ingram RB - NO ,8.60,F. Gore RB - IND ,11.70,M. Evans WR - TB ,6.70,M. Thomas WR - NO ,14.70,T. Kelce TE - KC ,0.10,D. Hopkins WR - HOU ,7.60,M. Prater K - DET ,18.00,Broncos DEF ,4.00,J. Maclin WR - BAL ,0.80,B. Powell RB - NYJ ,9.70,D. Brees QB - NO ,20.80,J. Nelson WR - ARI ,0.00,R. Kelley RB - WAS ,0.00,Texans DEF ,9.00,79.68,Sawyer,82.16
Brad,6,A. Rodgers QB - GB ,24.82,C. Anderson RB - DEN ,4.30,M. Gordon RB - LAC ,13.90,A. Jeffery WR - PHI ,5.60,A. Cooper WR - LV ,0.60,D. Walker TE - TEN ,3.10,T. West RB - BAL ,0.60,D. Bailey K - DAL ,4.00,Panthers DEF ,0.00,J. Charles RB - DEN ,11.70,J. Stewart RB - CAR ,6.10,G. Tate WR - DET ,11.80,A. Abdullah RB - DET ,8.60,D. Prescott QB - DAL ,22.92,J. Mixon RB - CIN ,10.10,56.92,Elijah,97.46
