Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,R. Wilson QB - SEA ,11.58,L. Bell RB - PIT ,22.50,J. Howard RB - CHI ,6.30,K. Allen WR - LAC ,5.40,B. Cooks WR - NE ,12.00,J. Doyle TE - IND ,4.70,C. Hyde RB - SF ,3.90,C. Boswell K - PIT ,8.00,Titans DEF ,3.00,L. Blount RB - PHI ,2.10,D. Thomas WR - DEN ,6.90,L. Fitzgerald WR - ARI ,6.00,P. Rivers QB - LAC ,7.08,D. Parker WR - MIA ,8.90,D. Johnson RB - CLE ,10.30,77.38,Elijah,105.94
Sawyer,5,M. Stafford QB - DET ,17.38,L. Murray RB - MIN ,16.40,C. McCaffrey RB - CAR ,19.60,M. Crabtree WR - LV ,15.90,D. Adams WR - GB ,11.70,K. Rudolph TE - MIN ,7.70,D. Baldwin WR - SEA ,0.60,M. Bryant K - ATL ,8.00,Chargers DEF ,0.00,D. Lewis RB - NE ,14.00,L. Miller RB - HOU ,3.30,A. Morris RB - DAL ,6.10,S. Watkins WR - LA ,1.40,N. Agholor WR - PHI ,11.90,E. Elliott RB - DAL ,0.00,97.28,Brad,106.98
Leo,4,A. Rodgers QB - GB ,21.90,M. Ingram RB - NO ,27.10,A. Kamara RB - NO ,14.90,A. Brown WR - PIT ,2.40,M. Thomas WR - NO ,15.30,R. Gronkowski TE - NE ,18.80,K. Drake RB - MIA ,17.30,J. Tucker K - BAL ,9.00,Eagles DEF ,2.00,T. Tebow QB ,0.00,D. Murray RB - TEN ,6.30,A. Green WR - CIN ,3.00,C. Ivory RB - JAX ,4.20,D. Johnson RB - ARI ,0.00,S. Perine RB - WAS ,6.60,128.70,Ari,82.44
Ari,1,B. Roethlisberger QB - PIT ,18.24,L. McCoy RB - BUF ,21.60,J. Williams RB - GB ,3.00,R. Woods WR - LA ,10.50,D. Funchess WR - CAR ,1.90,J. Graham TE - SEA ,-0.10,G. Bernard RB - CIN ,10.30,W. Lutz K - NO ,7.00,Jaguars DEF ,10.00,M. Goodwin WR - SF ,12.40,K. Williams RB - ARI ,6.10,T. Riddick RB - DET ,4.10,S. Diggs WR - MIN ,9.70,T. Hill WR - KC ,14.80,L. Fournette RB - JAX ,0.00,82.44,Leo,128.70
Elijah,7,K. Cousins QB - WAS ,15.84,T. Coleman RB - ATL ,0.00,K. Hunt RB - KC ,32.60,J. Jones WR - ATL ,5.40,A. Thielen WR - MIN ,3.00,Z. Ertz TE - PHI ,11.60,R. Matthews WR - TEN ,15.50,G. Zuerlein K - LA ,10.00,Lions DEF ,12.00,J. Cook TE - LV ,1.70,E. Sanders WR - DEN ,6.80,T. Montgomery RB - GB ,0.00,J. Ajayi RB - PHI ,8.90,D. Njoku TE - CLE ,0.00,Saints DEF ,6.00,105.94,Dylan,77.38
Jack,2,T. Brady QB - NE ,15.72,D. Freeman RB - ATL ,25.40,T. Gurley RB - LA ,42.00,D. Bryant WR - DAL ,5.50,M. Jones WR - DET ,8.50,H. Henry TE - LAC ,2.80,A. Collins RB - BAL ,5.20,S. Gostkowski K - NE ,7.00,Ravens DEF ,20.00,M. Lynch RB - LV ,9.20,J. Gordon WR - CLE ,4.70,J. Landry WR - MIA ,9.90,I. Crowell RB - CLE ,6.50,R. Anderson WR - NYJ ,4.00,E. Engram TE - NYG ,10.10,132.12,Ben,82.64
Ben,3,D. Brees QB - NO ,17.14,B. Powell RB - NYJ ,10.40,D. Henry RB - TEN ,2.80,D. Hopkins WR - HOU ,14.00,M. Evans WR - TB ,13.90,T. Kelce TE - KC ,4.60,F. Gore RB - IND ,6.80,M. Prater K - DET ,8.00,Broncos DEF ,5.00,J. Nelson WR - GB ,2.80,C. Newton QB - CAR ,31.48,C. Hogan WR - NE ,0.00,D. Martin RB - TB ,0.00,J. Nelson WR - ARI ,5.30,Texans DEF ,-3.00,82.64,Jack,132.12
Brad,8,D. Prescott QB - DAL ,13.68,C. Anderson RB - DEN ,15.80,M. Gordon RB - LAC ,22.90,G. Tate WR - DET ,3.30,A. Jeffery WR - PHI ,10.90,D. Walker TE - TEN ,7.70,R. Burkhead RB - NE ,7.70,D. Bailey K - DAL ,8.00,Rams DEF ,17.00,J. Charles RB - DEN ,0.00,D. Amendola WR - NE ,2.30,A. Abdullah RB - DET ,2.10,A. Cooper WR - LV ,0.00,J. Mixon RB - CIN ,0.00,Panthers DEF ,11.00,106.98,Sawyer,97.28
