Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,26.36,L. Bell RB - PIT ,19.20,J. Howard RB - CHI ,6.50,K. Allen WR - LAC ,4.10,B. Cooks WR - NE ,12.50,C. Brate TE - TB ,6.00,C. Hyde RB - SF ,8.80,J. Tucker K - BAL ,12.00,Chiefs DEF ,-1.00,D. Jackson WR - TB ,7.30,D. Thomas WR - DEN ,0.90,M. Jones WR - DET ,0.00,M. Gillislee RB - NE ,3.10,C. Thompson RB - WAS ,12.40,S. Watkins WR - LA ,4.20,94.46,Sawyer,114.22
Sawyer,2,T. Taylor QB - BUF ,20.02,E. Elliott RB - DAL ,39.90,C. McCaffrey RB - CAR ,4.60,D. Baldwin WR - SEA ,15.20,D. Adams WR - GB ,1.20,Z. Ertz TE - PHI ,14.90,M. Crabtree WR - LV ,8.40,M. Bryant K - ATL ,1.00,Steelers DEF ,9.00,D. McFadden RB ,0.00,A. Thielen WR - MIN ,4.10,K. Benjamin WR - BUF ,6.50,N. Agholor WR - PHI ,10.50,D. Johnson RB - ARI ,0.00,A. Jones RB - GB ,19.80,114.22,Dylan,94.46
Leo,6,C. Wentz QB - PHI ,31.02,A. Peterson RB - ARI ,3.30,D. Martin RB - TB ,8.00,A. Green WR - CIN ,4.10,A. Brown WR - PIT ,12.50,R. Gronkowski TE - NE ,5.10,C. Hogan WR - NE ,7.10,J. Elliott K - PHI ,12.00,Vikings DEF ,6.00,D. Murray RB - TEN ,7.60,T. Pryor WR - WAS ,1.40,T. Coleman RB - ATL ,1.60,D. Henry RB - TEN ,2.40,E. Engram TE - NYG ,12.00,A. Kamara RB - NO ,10.70,89.12,Elijah,97.32
Ari,4,A. Smith QB - KC ,25.68,L. McCoy RB - BUF ,22.20,J. McKinnon RB - MIN ,5.70,P. Garcon WR - SF ,4.90,T. Hill WR - KC ,19.20,K. Rudolph TE - MIN ,4.30,C. Ivory RB - JAX ,8.70,W. Lutz K - NO ,8.00,Jaguars DEF ,20.00,T. Hilton WR - IND ,2.70,M. Bryant WR - PIT ,0.50,S. Diggs WR - MIN ,0.00,W. Fuller WR - HOU ,0.00,L. Fournette RB - JAX ,0.00,D. Watson QB - HOU ,0.00,118.68,Brad,107.26
Elijah,3,M. Ryan QB - ATL ,17.02,J. Ajayi RB - PHI ,7.70,K. Hunt RB - KC ,11.70,J. Jones WR - ATL ,15.90,J. Landry WR - MIA ,15.30,D. Njoku TE - CLE ,5.80,L. Blount RB - PHI ,2.90,G. Zuerlein K - LA ,17.00,Saints DEF ,4.00,E. Sanders WR - DEN ,0.00,K. Cousins QB - WAS ,23.92,R. Matthews WR - TEN ,4.00,L. Miller RB - HOU ,0.00,T. Montgomery RB - GB ,1.50,Lions DEF ,0.00,97.32,Leo,89.12
Jack,1,T. Brady QB - NE ,18.46,D. Freeman RB - ATL ,9.00,T. Gurley RB - LA ,21.40,J. Nelson WR - GB ,1.30,D. Bryant WR - DAL ,12.30,A. Seferian-Jenkins TE - NYJ ,8.10,L. Fitzgerald WR - ARI ,2.90,S. Gostkowski K - NE ,11.00,Seahawks DEF ,7.00,M. Lynch RB - LV ,0.90,I. Crowell RB - CLE ,7.10,O. Darkwa RB - NYG ,4.80,D. Parker WR - MIA ,0.00,D. Johnson RB - CLE ,7.10,S. Shepard WR - NYG ,0.00,91.46,Ben,95.14
Ben,5,D. Brees QB - NO ,19.14,M. Ingram RB - NO ,17.00,F. Gore RB - IND ,3.40,M. Evans WR - TB ,14.80,M. Thomas WR - NO ,8.20,T. Kelce TE - KC ,9.30,B. Powell RB - NYJ ,8.30,R. Succop K - TEN ,12.00,Broncos DEF ,3.00,C. Newton QB - CAR ,7.44,D. Hopkins WR - HOU ,0.00,J. Nelson WR - ARI ,3.90,R. Kelley RB - WAS ,3.00,M. Prater K - DET ,0.00,Texans DEF ,0.00,95.14,Jack,91.46
Brad,8,D. Prescott QB - DAL ,29.96,C. Anderson RB - DEN ,6.10,M. Gordon RB - LAC ,4.40,A. Jeffery WR - PHI ,3.70,A. Cooper WR - LV ,33.00,D. Walker TE - TEN ,4.30,J. Mixon RB - CIN ,6.80,D. Bailey K - DAL ,2.00,Rams DEF ,17.00,J. Charles RB - DEN ,2.20,J. Stewart RB - CAR ,4.80,G. Tate WR - DET ,0.00,A. Rodgers QB - GB ,0.00,A. Abdullah RB - DET ,0.00,Panthers DEF ,11.00,107.26,Ari,118.68
