Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,27.60,L. Bell RB - PIT ,30.60,C. Hyde RB - SF ,9.50,K. Allen WR - LAC ,13.80,B. Cooks WR - NE ,4.20,C. Clay TE - BUF ,11.20,J. Howard RB - CHI ,12.30,B. Walsh K - SEA ,8.00,Cardinals DEF ,6.00,D. Jackson WR - TB ,2.00,D. Thomas WR - DEN ,1.10,M. Gillislee RB - NE ,4.90,M. Bryant WR - PIT ,4.80,T. Cohen RB - CHI ,4.80,C. Carson RB - SEA ,6.60,123.20,Brad,64.86
Sawyer,3,T. Siemian QB - DEN ,11.26,E. Elliott RB - DAL ,25.90,C. McCaffrey RB - CAR ,4.90,A. Thielen WR - MIN ,3.90,D. Adams WR - GB ,7.30,Z. Ertz TE - PHI ,8.10,D. Baldwin WR - SEA ,5.50,M. Bryant K - ATL ,5.00,Packers DEF ,10.00,M. Crabtree WR - LV ,0.00,J. Rodgers RB - TB ,10.80,K. Benjamin WR - BUF ,10.40,J. White RB - NE ,5.40,D. Johnson RB - ARI ,0.00,C. Davis WR - TEN ,0.00,81.86,Elijah,49.78
Leo,5,K. Cousins QB - WAS ,20.60,D. Murray RB - TEN ,3.50,D. Cook RB - MIN ,11.40,A. Green WR - CIN ,12.30,A. Brown WR - PIT ,3.40,R. Gronkowski TE - NE ,8.00,O. Beckham WR - NYG ,9.00,J. Tucker K - BAL ,3.00,Jaguars DEF ,15.00,A. Peterson RB - ARI ,0.40,C. Hogan WR - NE ,12.00,D. Martin RB - TB ,0.00,I. Crowell RB - CLE ,2.70,T. Coleman RB - ATL ,14.20,D. Henry RB - TEN ,0.70,86.20,Ben,126.92
Ari,6,M. Mariota QB - TEN ,15.74,L. McCoy RB - BUF ,10.80,L. Fournette RB - JAX ,20.50,S. Diggs WR - MIN ,9.80,T. Hill WR - KC ,3.50,B. Watson TE - BAL ,4.30,C. Thompson RB - WAS ,0.70,W. Lutz K - NO ,8.00,Seahawks DEF ,20.00,P. Garcon WR - SF ,3.60,T. Pryor WR - WAS ,13.00,T. Hilton WR - IND ,3.00,S. Watkins WR - LA ,1.70,T. Gabriel WR - ATL ,0.00,W. Smallwood RB - PHI ,13.90,93.34,Jack,117.68
Elijah,2,M. Ryan QB - ATL ,8.48,T. Montgomery RB - GB ,2.80,K. Hunt RB - KC ,12.10,J. Jones WR - ATL ,3.00,R. Matthews WR - TEN ,4.90,D. Njoku TE - CLE ,1.10,J. Ajayi RB - PHI ,5.40,M. Crosby K - GB ,5.00,Vikings DEF ,7.00,L. Blount RB - PHI ,15.60,E. Sanders WR - DEN ,2.70,L. Miller RB - HOU ,25.10,G. Bernard RB - CIN ,13.90,J. Landry WR - MIA ,4.00,Chiefs DEF ,9.00,49.78,Sawyer,81.86
Jack,1,T. Brady QB - NE ,20.48,D. Freeman RB - ATL ,13.80,T. Gurley RB - LA ,27.50,J. Nelson WR - GB ,19.50,D. Bryant WR - DAL ,9.80,K. Rudolph TE - MIN ,3.40,M. Lynch RB - LV ,1.20,S. Gostkowski K - NE ,14.00,Bengals DEF ,8.00,C. Johnson RB ,6.30,R. Cobb WR - GB ,10.40,L. Fitzgerald WR - ARI ,9.20,M. Sanu WR - ATL ,0.70,D. Parker WR - MIA ,6.90,J. Allen RB - BAL ,4.40,117.68,Ari,93.34
Ben,4,D. Brees QB - NO ,19.02,B. Powell RB - NYJ ,25.00,M. Ingram RB - NO ,6.20,M. Evans WR - TB ,12.70,M. Thomas WR - NO ,14.90,T. Kelce TE - KC ,17.40,D. Hopkins WR - HOU ,16.70,M. Prater K - DET ,6.00,Broncos DEF ,9.00,J. Maclin WR - BAL ,2.10,C. Newton QB - CAR ,33.04,F. Gore RB - IND ,8.00,J. Nelson WR - ARI ,3.40,R. Kelley RB - WAS ,2.30,Texans DEF ,19.00,126.92,Leo,86.20
Brad,8,A. Rodgers QB - GB ,23.06,M. Gordon RB - LAC ,2.90,J. Mixon RB - CIN ,4.80,A. Jeffery WR - PHI ,8.90,A. Cooper WR - LV ,0.90,D. Walker TE - TEN ,5.10,C. Anderson RB - DEN ,11.20,D. Bailey K - DAL ,6.00,Panthers DEF ,2.00,J. Charles RB - DEN ,4.70,J. Stewart RB - CAR ,4.80,G. Tate WR - DET ,3.10,T. West RB - BAL ,-0.70,A. Abdullah RB - DET ,16.90,D. Prescott QB - DAL ,22.58,64.86,Dylan,123.20
