Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,7,R. Wilson QB - SEA ,23.58,C. Thompson RB - WAS ,3.10,C. Hyde RB - SF ,12.50,D. Jackson WR - TB ,3.30,L. Fitzgerald WR - ARI ,7.00,C. Brate TE - TB ,0.90,M. Jones WR - DET ,22.70,H. Butker K - KC ,5.00,Eagles DEF ,8.00,D. Thomas WR - DEN ,13.00,J. Gordon WR - CLE ,0.00,K. Allen WR - LAC ,0.00,L. Bell RB - PIT ,0.00,B. Cooks WR - NE ,0.00,J. Howard RB - CHI ,0.00,86.08,Jack,94.94
Sawyer,2,T. Taylor QB - BUF ,26.90,E. Elliott RB - DAL ,15.30,A. Jones RB - GB ,1.10,M. Crabtree WR - LV ,4.00,D. Baldwin WR - SEA ,16.80,--empty--,-,C. McCaffrey RB - CAR ,15.40,M. Bryant K - ATL ,7.00,Cardinals DEF ,13.00,D. McFadden RB ,0.00,Z. Ertz TE - PHI ,0.00,A. Thielen WR - MIN ,0.00,K. Benjamin WR - BUF ,0.00,D. Adams WR - GB ,5.30,N. Agholor WR - PHI ,3.60,D. Johnson RB - ARI ,0.00,99.50,Ari,69.12
Leo,6,C. Wentz QB - PHI ,24.76,D. Martin RB - TB ,0.70,A. Kamara RB - NO ,25.20,A. Green WR - CIN ,0.60,D. Funchess WR - CAR ,8.60,E. Engram TE - NYG ,13.00,A. Peterson RB - ARI ,14.70,J. Elliott K - PHI ,9.00,Bills DEF ,0.00,R. Gronkowski TE - NE ,0.00,D. Murray RB - TEN ,4.10,A. Brown WR - PIT ,0.00,C. Hogan WR - NE ,0.00,T. Coleman RB - ATL ,8.40,D. Henry RB - TEN ,9.60,96.56,Brad,90.56
Ari,4,A. Smith QB - KC ,18.42,L. McCoy RB - BUF ,2.50,T. Yeldon RB - JAX ,3.20,W. Fuller WR - HOU ,3.20,T. Hill WR - KC ,13.30,J. Graham TE - SEA ,5.90,A. Collins RB - BAL ,4.60,W. Lutz K - NO ,6.00,Jaguars DEF ,12.00,T. Hilton WR - IND ,29.50,A. Morris RB - DAL ,1.10,J. McKinnon RB - MIN ,0.00,S. Diggs WR - MIN ,0.00,L. Fournette RB - JAX ,0.00,J. Smith-Schuster WR - PIT ,0.00,69.12,Sawyer,99.50
Elijah,5,K. Cousins QB - WAS ,8.28,L. Miller RB - HOU ,9.10,K. Hunt RB - KC ,6.10,J. Jones WR - ATL ,11.80,R. Matthews WR - TEN ,13.00,J. Cook TE - LV ,12.60,E. Sanders WR - DEN ,3.00,G. Zuerlein K - LA ,15.00,Lions DEF ,4.00,L. Blount RB - PHI ,3.70,J. Landry WR - MIA ,9.20,T. Montgomery RB - GB ,5.10,J. Ajayi RB - PHI ,13.70,D. Njoku TE - CLE ,0.00,Saints DEF ,16.00,82.88,Ben,93.72
Jack,1,M. Stafford QB - DET ,22.44,D. Freeman RB - ATL ,6.40,T. Gurley RB - LA ,22.40,J. Nelson WR - GB ,3.50,D. Bryant WR - DAL ,7.30,A. Seferian-Jenkins TE - NYJ ,2.00,T. Ginn WR - NO ,11.90,J. Tucker K - BAL ,8.00,Seahawks DEF ,11.00,M. Lynch RB - LV ,18.30,T. Brady QB - NE ,0.00,P. Richardson WR - SEA ,4.10,I. Crowell RB - CLE ,0.00,O. Darkwa RB - NYG ,7.90,S. Gostkowski K - NE ,0.00,94.94,Dylan,86.08
Ben,3,D. Brees QB - NO ,18.72,B. Powell RB - NYJ ,7.40,M. Ingram RB - NO ,7.90,M. Evans WR - TB ,1.30,M. Thomas WR - NO ,6.50,T. Kelce TE - KC ,13.30,D. Hopkins WR - HOU ,14.60,M. Prater K - DET ,12.00,Texans DEF ,12.00,C. Newton QB - CAR ,20.08,F. Gore RB - IND ,7.70,J. Nelson WR - ARI ,1.50,R. Kelley RB - WAS ,13.80,R. Succop K - TEN ,5.00,Broncos DEF ,6.00,93.72,Elijah,82.88
Brad,8,D. Prescott QB - DAL ,26.66,C. Anderson RB - DEN ,1.30,A. Abdullah RB - DET ,9.70,A. Jeffery WR - PHI ,20.40,A. Cooper WR - LV ,5.80,D. Walker TE - TEN ,7.10,J. Mixon RB - CIN ,10.60,D. Bailey K - DAL ,0.00,Rams DEF ,9.00,J. Charles RB - DEN ,2.40,J. Stewart RB - CAR ,-1.90,G. Tate WR - DET ,11.30,A. Rodgers QB - GB ,0.00,M. Gordon RB - LAC ,0.00,Panthers DEF ,5.00,90.56,Leo,96.56
