Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Dylan,6,R. Wilson QB - SEA ,35.08,L. Bell RB - PIT ,12.10,J. Howard RB - CHI ,12.10,K. Allen WR - LAC ,6.10,B. Cooks WR - NE ,2.60,C. Brate TE - TB ,6.40,C. Hyde RB - SF ,4.70,J. Tucker K - BAL ,12.00,Chiefs DEF ,20.00,D. Jackson WR - TB ,3.70,D. Thomas WR - DEN ,6.60,D. Lewis RB - NE ,5.40,M. Jones WR - DET ,12.80,C. Thompson RB - WAS ,7.40,S. Watkins WR - LA ,0.00,111.08,Leo,88.64
Sawyer,3,P. Rivers QB - LAC ,10.48,E. Elliott RB - DAL ,25.40,C. McCaffrey RB - CAR ,5.20,D. Baldwin WR - SEA ,5.40,K. Benjamin WR - BUF ,9.90,Z. Ertz TE - PHI ,9.40,M. Crabtree WR - LV ,8.30,M. Bryant K - ATL ,13.00,Steelers DEF ,5.00,D. McFadden RB ,0.00,A. Thielen WR - MIN ,15.80,D. Adams WR - GB ,0.00,N. Agholor WR - PHI ,2.60,D. Johnson RB - ARI ,0.00,A. Jones RB - GB ,0.00,92.08,Ben,113.16
Leo,7,C. Wentz QB - PHI ,17.14,D. Martin RB - TB ,7.50,A. Kamara RB - NO ,13.60,A. Green WR - CIN ,8.70,A. Brown WR - PIT ,7.00,R. Gronkowski TE - NE ,11.70,C. Hogan WR - NE ,6.00,J. Elliott K - PHI ,9.00,Vikings DEF ,8.00,D. Murray RB - TEN ,0.00,A. Peterson RB - ARI ,0.00,T. Coleman RB - ATL ,10.40,S. Shepard WR - NYG ,0.00,D. Henry RB - TEN ,0.00,E. Engram TE - NYG ,0.00,88.64,Dylan,111.08
Ari,2,A. Smith QB - KC ,13.38,L. McCoy RB - BUF ,23.30,J. McKinnon RB - MIN ,20.20,W. Fuller WR - HOU ,24.50,T. Hill WR - KC ,1.80,J. Reed TE - WAS ,0.50,S. Diggs WR - MIN ,2.60,W. Lutz K - NO ,8.00,Eagles DEF ,18.00,P. Garcon WR - SF ,1.70,T. Hilton WR - IND ,1.50,L. Fournette RB - JAX ,0.00,D. Watson QB - HOU ,32.78,J. Smith-Schuster WR - PIT ,25.30,Jaguars DEF ,0.00,112.28,Brad,64.02
Elijah,5,K. Cousins QB - WAS ,10.52,J. Ajayi RB - PHI ,4.10,K. Hunt RB - KC ,6.80,J. Jones WR - ATL ,7.40,J. Landry WR - MIA ,3.30,D. Njoku TE - CLE ,1.90,L. Miller RB - HOU ,19.30,K. Forbath K - MIN ,15.00,Saints DEF ,8.00,L. Blount RB - PHI ,11.20,E. Sanders WR - DEN ,0.00,R. Matthews WR - TEN ,0.00,T. Montgomery RB - GB ,0.00,G. Zuerlein K - LA ,0.00,Lions DEF ,5.00,76.32,Jack,83.22
Jack,1,T. Brady QB - NE ,17.52,D. Freeman RB - ATL ,6.10,I. Crowell RB - CLE ,15.80,D. Bryant WR - DAL ,3.90,T. Ginn WR - NO ,6.80,A. Seferian-Jenkins TE - NYJ ,2.80,D. Johnson RB - CLE ,4.30,S. Gostkowski K - NE ,13.00,Seahawks DEF ,13.00,J. Nelson WR - GB ,0.00,M. Lynch RB - LV ,0.00,L. Fitzgerald WR - ARI ,0.00,O. Darkwa RB - NYG ,0.00,D. Parker WR - MIA ,0.00,T. Gurley RB - LA ,0.00,83.22,Elijah,76.32
Ben,4,D. Brees QB - NO ,11.76,B. Powell RB - NYJ ,6.10,M. Ingram RB - NO ,11.90,M. Evans WR - TB ,6.00,M. Thomas WR - NO ,7.70,T. Kelce TE - KC ,19.30,D. Hopkins WR - HOU ,28.40,M. Prater K - DET ,17.00,Broncos DEF ,5.00,C. Newton QB - CAR ,12.56,F. Gore RB - IND ,10.10,J. Nelson WR - ARI ,0.00,R. Kelley RB - WAS ,7.90,R. Succop K - TEN ,0.00,Texans DEF ,0.00,113.16,Sawyer,92.08
Brad,8,D. Prescott QB - DAL ,7.32,C. Anderson RB - DEN ,8.50,M. Gordon RB - LAC ,19.90,A. Jeffery WR - PHI ,14.20,A. Cooper WR - LV ,5.20,D. Walker TE - TEN ,0.00,J. Mixon RB - CIN ,8.90,D. Bailey K - DAL ,0.00,Rams DEF ,0.00,J. Charles RB - DEN ,2.40,J. Stewart RB - CAR ,9.40,G. Tate WR - DET ,6.60,A. Rodgers QB - GB ,0.00,A. Abdullah RB - DET ,3.80,Panthers DEF ,16.00,64.02,Ari,112.28
